model_name,method,k0_1_true,k0_1_recovered,k0_1_error_pct,k0_2_true,k0_2_recovered,k0_2_error_pct,alpha_1_true,alpha_1_recovered,alpha_1_error_pct,alpha_2_true,alpha_2_recovered,alpha_2_error_pct,max_error_pct,time_s
NN D3-deeper,multistart,1.2631578947e-03,9.1880953880e-04,27.2609,5.2631578947e-05,3.8607924883e-05,26.6449,0.627000,0.730714,16.5414,0.500000,0.600405,20.0810,27.2609,5.92
NN D3-deeper,cascade,1.2631578947e-03,9.1855859730e-04,27.2808,5.2631578947e-05,3.8591470920e-05,26.6762,0.627000,0.730784,16.5525,0.500000,0.600487,20.0974,27.2808,0.73
NN D2-wider,multistart,1.2631578947e-03,1.0481623271e-03,17.0205,5.2631578947e-05,4.2396609766e-05,19.4464,0.627000,0.690265,10.0901,0.500000,0.560653,12.1307,19.4464,6.26
NN D2-wider,cascade,1.2631578947e-03,1.0478853794e-03,17.0424,5.2631578947e-05,4.2380824501e-05,19.4764,0.627000,0.690338,10.1017,0.500000,0.560733,12.1467,19.4764,0.99
GP,multistart,1.2631578947e-03,1.8303768874e-03,44.9048,5.2631578947e-05,5.2772056522e-05,0.2669,0.627000,0.525673,16.1606,0.500000,0.417481,16.5038,44.9048,347.08
GP,cascade,1.2631578947e-03,1.0000246095e-03,20.8314,5.2631578947e-05,2.9224944851e-05,44.4726,0.627000,0.499992,20.2565,0.500000,0.391921,21.6157,44.4726,31.60
POD-RBF log,multistart,1.2631578947e-03,1.3552958936e-03,7.2943,5.2631578947e-05,5.1344053356e-05,2.4463,0.627000,0.602593,3.8926,0.500000,0.484246,3.1508,7.2943,6.81
POD-RBF log,cascade,1.2631578947e-03,1.3552959474e-03,7.2943,5.2631578947e-05,5.1344055828e-05,2.4463,0.627000,0.602593,3.8926,0.500000,0.484246,3.1508,7.2943,0.25
RBF baseline,multistart,1.2631578947e-03,1.3166150030e-03,4.2320,5.2631578947e-05,5.2900591914e-05,0.5111,0.627000,0.612672,2.2851,0.500000,0.488906,2.2188,4.2320,1.17
RBF baseline,cascade,1.2631578947e-03,1.3166119958e-03,4.2318,5.2631578947e-05,5.2900427538e-05,0.5108,0.627000,0.612673,2.2850,0.500000,0.488907,2.2186,4.2318,0.05
