eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-4.651149969347441182e-01,6.830499999999999350e-01,-5.910700770171343802e-06,-5.910714337397910484e-06,4.000000000000000000e+00,1.000000000000000000e+00,2.095742536570391221e-05,2.405246204512595603e-11,9.999808959730952518e-01,3.184313256301868900e-01
-9.302299938694882364e-01,6.710999999999999188e-01,-2.502288400614112454e-05,-2.502307262906848081e-05,4.000000000000000000e+00,1.000000000000000000e+00,8.872325279958157213e-05,3.343974377352669302e-10,9.999174720289754070e-01,5.069796891027298358e-01
-1.395344990804232355e+00,6.591499999999999027e-01,-8.902794827353475505e-05,-8.903023574496896271e-05,6.000000000000000000e+00,1.000000000000000000e+00,3.156678847975818254e-04,4.055310757830801772e-09,9.996911798142201766e-01,8.070215660535188240e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-3.046938839506412857e-04,-3.047194191938581813e-04,8.000000000000000000e+00,1.000000000000000000e+00,1.080389589681204649e-03,4.526978784211849781e-08,9.989270633594357074e-01,1.283490218057763199e+00
-2.325574984673720813e+00,6.352499999999999813e-01,-1.024880336102329060e-03,-1.025154736392773925e-03,1.000000000000000000e+01,1.000000000000000000e+00,3.634375126661614375e-03,4.864665993874101977e-07,9.963738292618716796e-01,2.034339160767842714e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-3.342819596401110701e-03,-3.345603106226565683e-03,1.300000000000000000e+01,1.000000000000000000e+00,1.185747377357952194e-02,4.934705269280648173e-06,9.881481368271777255e-01,3.187934265095146102e+00
-3.255804978543208605e+00,6.113499999999999490e-01,-1.004209626839975937e-02,-1.006639464283010620e-02,1.500000000000000000e+01,1.000000000000000000e+00,3.564904824458779015e-02,4.307702284355682695e-05,9.643592288167194271e-01,4.835541267721700009e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-2.535482935799002191e-02,-2.550992947097560637e-02,1.600000000000000000e+01,1.000000000000000000e+00,9.017485446560621898e-02,2.749669995114507881e-04,9.098428026241397459e-01,6.843379588762219079e+00
-4.186034972412697286e+00,5.874499999999999167e-01,-5.044385804344243135e-02,-5.108822903039218072e-02,1.700000000000000000e+01,1.000000000000000000e+00,1.799996969661928348e-01,1.142363815494267789e-03,8.200275456687164954e-01,8.803739102196034949e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-8.087626126133072579e-02,-8.268828489970805884e-02,1.700000000000000000e+01,1.000000000000000000e+00,2.899730478502799969e-01,3.212419986662048282e-03,7.100528414265365740e-01,1.038151999949388582e+01
-5.116264966282185078e+00,5.635499999999999954e-01,-1.111912207903388156e-01,-1.150419871376201081e-01,1.700000000000000000e+01,1.000000000000000000e+00,4.010742814841296022e-01,6.826775609312520782e-03,5.989311909426677794e-01,1.149323954583998031e+01
-5.581379963216929418e+00,5.515999999999999792e-01,-1.381120721668158968e-01,-1.448913564853729907e-01,1.600000000000000000e+01,1.000000000000000000e+00,5.017185489424971223e-01,1.201855647959399441e-02,4.982548630135333334e-01,1.218412520475832928e+01
-6.046494960151673759e+00,5.396499999999999631e-01,-1.604006330554372528e-01,-1.708906372123944473e-01,1.500000000000000000e+01,1.000000000000000000e+00,5.873249528731728786e-01,1.859705265443125505e-02,4.126136120771061178e-01,1.252268235258875428e+01
-6.511609957086417211e+00,5.276999999999999469e-01,-1.779965584325640948e-01,-1.927861825363217096e-01,1.400000000000000000e+01,1.000000000000000000e+00,6.573368374291331806e-01,2.621957189734865773e-02,3.425721995348867677e-01,1.256767212444451154e+01
-6.976724954021161551e+00,5.157499999999999307e-01,-1.914095171442233845e-01,-2.108341821867885379e-01,1.300000000000000000e+01,1.000000000000000000e+00,7.131119439462539900e-01,3.443673741079411599e-02,2.867771905812550592e-01,1.236578972979815028e+01
-7.441839950955905891e+00,5.038000000000000256e-01,-2.013771410166061149e-01,-2.254868589097519804e-01,1.200000000000000000e+01,1.000000000000000000e+00,7.567596889508078073e-01,4.274256582109627056e-02,2.431202494234080969e-01,1.195748463151846686e+01
-7.906954947890650232e+00,4.918500000000000094e-01,-2.086763786825354128e-01,-2.372421216012489120e-01,1.000000000000000000e+01,1.000000000000000000e+00,7.905401852355415926e-01,5.064236555329982431e-02,2.093492124345612548e-01,1.138250988983125112e+01
-8.372069944825394572e+00,4.798999999999999932e-01,-2.140111797284451056e-01,-2.465780893072097302e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.165490461356177398e-01,5.773577618905968017e-02,1.833401056979526156e-01,1.068327744387715761e+01
-8.837184941760138912e+00,4.679499999999999771e-01,-2.179683842405030214e-01,-2.539294341567602808e-01,9.000000000000000000e+00,1.000000000000000000e+00,8.365972448566437736e-01,6.375302895926152069e-02,1.633067313879547899e-01,9.902014064635540791e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-2.209908823974677528e-01,-2.596782464075376717e-01,9.000000000000000000e+00,1.000000000000000000e+00,8.521473360730477120e-01,6.858633560018645436e-02,1.477655950621295511e-01,9.079501743429702287e+00
-9.767414935629625816e+00,4.440500000000000003e-01,-2.233995714582118486e-01,-2.641532510795863153e-01,8.000000000000000000e+00,1.000000000000000000e+00,8.643509932775895743e-01,7.224957344538966708e-02,1.355818686883252522e-01,8.250137658506767835e+00
