evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.14614262251019056,0.6472096376675818,0,0,0.0011428571428571427,4.7619047619047614e-05,0.3,0.3,-0.6470718952061049,-0.013352060671752795,0.0011428571428571427,4.7619047619047614e-05
2,0,0.03312283347646564,0.09627661294283194,0,0,0.0011428571428571427,4.7619047619047614e-05,0.9470718952061048,0.3133520606717528,0.09405881356039048,-0.020545700069736675,0.0011428571428571427,4.7619047619047614e-05
3,1,0.025000738121103955,0.09858945441618702,0,0,0.0011428571428571427,4.7619047619047614e-05,0.8654705641838109,0.32881502934291185,0.09481947032520659,-0.027002751143701775,0.0011428571428571427,4.7619047619047614e-05
4,1,0.014294265099525904,0.18218564495791864,0,0,0.0011428571428571427,4.7619047619047614e-05,0.5390652400946351,0.390666904027548,-0.16539413068604764,-0.07639627453835285,0.0011428571428571427,4.7619047619047614e-05
5,1,0.012995277774475698,0.08013737899592373,0,0,0.0011428571428571427,4.7619047619047614e-05,0.7354356674147378,0.3534558717128511,0.06894465901467096,-0.04084891070380049,0.0011428571428571427,4.7619047619047614e-05
6,2,0.19582655721172085,0.02849558684564694,0,0,0.0011428571428571427,4.7619047619047614e-05,0.05,0.8162403994618574,-0.028487561260012048,-0.0006762567078172085,0.0011428571428571427,4.7619047619047614e-05
7,2,0.009629962708580568,0.07646046826580179,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6993900804155264,0.3777927143224324,0.0506523066932093,-0.0572760598686986,0.0011428571428571427,4.7619047619047614e-05
8,2,0.05198537701297696,0.7144002982204816,0,0,0.0011428571428571427,4.7619047619047614e-05,0.37469504020776323,0.597016556892145,-0.7016222171187986,-0.1345141276699752,0.0011428571428571427,4.7619047619047614e-05
9,2,0.0035149588013739658,0.09594499789288413,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6023936775581372,0.4432816239658643,-0.03982095176707178,-0.08729109015833222,0.0011428571428571427,4.7619047619047614e-05
10,3,0.016135197061316903,0.2661405810453899,0,0,0.0011428571428571427,4.7619047619047614e-05,0.4171938409834165,0.822252731072858,-0.2646340276999354,-0.02827791121153703,0.0011428571428571427,4.7619047619047614e-05
