phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002823517842217855,-0.007374144457341946,1,10,5,4.165391994848102e-06,1.176110760690852e-08,0.01539088541246612;1.106198776846899e-05,
-2,-0.0230532046684027,-0.02721080290953057,1,11,5.5,5.309381000518256e-06,1.223988967298528e-07,0.1250667756833508;0.0006856599487471472,
-3,-0.06648225800875232,-0.06202917813359569,1,11,5.5,2.956898663430071e-06,1.965818811205944e-07,0.3561055733098101;0.006547081328744186,
-4,-0.1072782403066801,-0.1079505401508511,1,10,5,2.324908566976416e-06,2.494126798008311e-07,0.5642019515156432;0.02098783892511646,
-5,-0.1361146131989178,-0.1355706979747778,1,9,4.5,1.80464172346885e-06,2.456385534421734e-07,0.7015895470665874;0.04089916029935466,
-6,-0.154537761890617,-0.1532335800100119,1,9,4.5,5.955977442513687e-07,9.20423972039508e-08,0.7825628762633685;0.06042187290316884,
-7,-0.1656719930578431,-0.1652563670807953,1,8,4,6.350419807863498e-07,1.052087374442401e-07,0.8287979083556856;0.07492272149682766,
-8,-0.1721558045629183,-0.1683450563024825,1,8,4,2.446340488971701e-07,4.211518181418406e-08,0.8559053717672428;0.08318366350528425,
-9,-0.1758725748823358,-0.1757782868892751,1,7,3.5,2.429358903624069e-07,4.272577094899255e-08,0.8729470703390195;0.08641649626547782,
-10,-0.1780351923497441,-0.1775006558376629,1,7,3.5,3.468415986976663e-08,6.175001288077908e-09,0.8847345781686184;0.08642580444384379,
