evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,grad_4,grad_5,grad_6,grad_7,effective_k0_0,effective_k0_1
1,0,0.0003402478308699037,0.004030709042240186,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.1,0.1,0.1,0.1,0.10300730123178031,0.06897359793441074,0.0012999433293174904,0.00015989575622024505,-0.0006524787003839085,0.0016668164795708615,0.003110315439629415,-0.0004903338231939348,0.004999999999999999,0.0004999999999999999
2,0,0.0003244527713859452,0.0038075000152216106,0,0,0.004986365269060916,0.000499908585610469,0.39870005667068253,0.29984010424377977,0.10065247870038391,0.09833318352042915,0.09688968456037059,0.10049033382319394,0.10040539180018246,0.06974890176912156,0.0012499205770871405,0.00016092764972942415,-0.0004847683711139369,0.001438857472737302,0.003012880701116367,-0.00043667457141173636,0.004986365269060916,0.000499908585610469
3,1,8.434018998920172e-05,0.0019299949149308182,0,0,0.004600572078084338,0.0004966214330244149,0.36268745060780916,0.29419537947920177,0.09461118767123143,0.07986216599824825,0.00696060625916136,0.10819029837192899,0.038995402011692284,0.021454552999958305,0.0002495716801787702,4.1106988670824424e-05,0.0012363644925410529,-0.000984511153111143,0.0009734379958597574,0.0002102887713715154,0.004600572078084338,0.0004966214330244149
4,2,5.51905714915174e-05,0.001208926425127113,0,0,0.004480628329614606,0.0004959621011431962,0.353293109040858,0.29315588947328636,0.08018770544105296,0.08498180246586286,0.001,0.10758006362248049,0.040957988847822355,0.027878396158089982,0.0003438284659909802,6.45258024257508e-05,0.0005151248760907068,-0.0003943832695206318,0.000858123997359453,4.773235427692019e-05,0.004480628329614606,0.0004959621011431962
5,3,3.367956687307642e-05,0.0009770501312298912,0,0,0.004247103317086645,0.0004943169477487317,0.3332455940612921,0.29029330588112595,0.06047848974870613,0.09175094806137253,0.001,0.10791041984256514,0.0413544357246566,0.026971936324022443,0.0004345983203860395,6.313317254857511e-05,-0.00015764921443741525,0.00020475047831489904,0.0007208379098990783,-0.0001043342991725792,0.004247103317086645,0.0004943169477487317
6,4,1.6125860431635313e-05,0.0006623864451444785,0,0,0.003914629566285776,0.0004916683286496127,0.3005104390249837,0.285699941460268,0.04011647124961337,0.09651415552311586,0.001,0.11023064972739335,0.025311988772164704,0.00936216096052752,0.00028162516469654983,1.8470888775297195e-05,-0.00029594764920391677,0.00030066266975875767,0.0003417673125189563,-0.00011021012936084478,0.003914629566285776,0.0004916683286496127
7,5,1.1009498288936641e-05,9.440504341168888e-05,0,0,0.0036841206702024434,0.0004904764491018932,0.27440887109794926,0.28413108466840925,0.030615322944644488,0.09835657637319975,0.001,0.11314982907964763,0.001415656821257169,-0.005523018508884006,-1.528693395229682e-05,-1.0025289229055334e-05,-2.8947163395912122e-05,1.1166721545902353e-05,-8.537214344920497e-05,-1.1998155417321295e-05,0.0036841206702024434,0.0004904764491018932
8,6,1.0844907242518968e-05,9.064379005886866e-05,0,0,0.0036662524274250203,0.0004905156014341169,0.2730446011692719,0.28416614279994834,0.029921179174110475,0.09874020741997105,0.0032443209474390866,0.11345305683060396,0.0023466400361811437,-0.00485627545721487,-6.655594514991527e-07,-8.757696998361135e-06,-4.6277456489817115e-05,2.8826752144792248e-05,-6.669284761519164e-05,-1.7207996814788068e-05,0.0036662524274250203,0.0004905156014341169
9,7,9.920485216017203e-06,0.0002695692942824927,0,0,0.003412862683857451,0.0004908509544819879,0.25074434982012517,0.2844774817016021,0.020641600798351166,0.10336943773562823,0.03013136996144346,0.1179804531328254,0.008760064202113138,0.00033326140994754255,9.994240500806856e-05,3.3377956202728016e-06,-0.00014782553088190365,0.00014766902100621303,0.00010892620123358194,-4.904515032081824e-05,0.003412862683857451,0.0004908509544819879
10,8,9.565110995384676e-06,0.00015365624265226293,0,0,0.003390591343310299,0.0004909370783749975,0.24818554882947588,0.28458031724999533,0.020423358890562703,0.10328642197075018,0.030176775715559132,0.11855718734468045,0.005332583925718881,6.050025780145012e-06,5.4796471848606555e-05,5.060065729075349e-06,-8.9057866643316e-05,8.637162369825308e-05,5.109191560600287e-05,-2.9103308137094137e-05,0.003390591343310299,0.0004909370783749975
11,9,9.282527845005217e-06,2.9726349869213136e-05,0,0,0.003267607496789474,0.0004911754698354726,0.23557671811318032,0.2847177203685154,0.016917802354390533,0.10461696538608355,0.03900434885685468,0.12118541417162393,0.0010640180035819515,0.000649256046426178,4.301060894081456e-06,1.1539262807433997e-05,-1.512463341380246e-05,1.9258920724470594e-05,7.725448841313405e-06,-2.8337311043899035e-06,0.003267607496789474,0.0004911754698354726
12,10,9.272769254605121e-06,1.6457426730134097e-05,0,0,0.0032649571318261825,0.0004911844727288796,0.23549488622867976,0.28437434566203823,0.01705673431962213,0.10442687120795967,0.03891216189311073,0.12121437652465948,0.0003622115287208326,0.0005709241549598908,-5.240257195109378e-06,1.192319028655645e-05,-3.1846766779986436e-06,7.071228712272795e-06,-5.618014546284986e-06,1.298331587533825e-06,0.0032649571318261825,0.0004911844727288796
13,11,9.260103655604112e-06,2.5419784261428055e-05,0,0,0.0032570706613467486,0.0004911998974596325,0.2352649282677891,0.28357840695256803,0.01720593664137052,0.10410606364320069,0.03948042395037145,0.12128855635125402,-8.59085837209457e-05,0.0009342338626912253,-1.269231949304421e-05,1.3565878338474462e-05,1.1150051871838774e-05,-5.701604301046667e-06,-1.0501165015658039e-05,5.692045395571097e-06,0.0032570706613467486,0.0004911998974596325
