phi_applied,target_current_density,simulated_current_density
-1,-0.001950612355250416,-0.004764625383822761
-2,-0.02817036065758107,-0.02684925047625233
-3,-0.06810972414510592,-0.06852599202170567
-4,-0.1075108560589132,-0.1074744487041144
-5,-0.1353060930048016,-0.1351362223722066
-6.5,-0.1600213569215176,-0.1591722307247556
-8,-0.1690909416555833,-0.1708991850276506
-10,-0.1768863609127894,-0.1777178604237479
-13,-0.1794351058089441,-0.1812344014766805
-17,-0.1859818610262782,-0.1829862278406473
-22,-0.1843362347735441,-0.1843359379807052
-28,-0.1898856796273728,-0.1856159268817385
-35,-0.1834472154754039,-0.1868952284297916
-41,-0.1897294222235476,-0.1878851408118657
-46.5,-0.1865473215473971,-0.1887353880842886
