evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3,dJ_dk0_4,dJ_dk0_5,dJ_dk0_6,dJ_dk0_7
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,2.0,0.001657204100358968,0.0030270896102958336,9.38293155167493e-07,1,5,1.9567975243888084e-06,5.92340145552997e-09,1,,0.0008288579999059129,-4.234773501799585e-18,-8.288579999059127e-06,4.2347735017995826e-21,-8.786904247696125e-08,5.083864791638969e-09,2.224757628353304e-08,-3.0843007328491554e-07
1,0,3,1.0,0.0020274093050267556,0.001574687090307057,1.0247870185034719e-07,1,6,5.787286821968641e-07,9.113171120511687e-10,1,,-0.00014210788654892483,9.149754813508748e-18,7.105394327446241e-07,-4.574877406754372e-21,1.470028627525799e-08,-2.6898647489784637e-09,-2.249700059237129e-08,7.157094371546708e-08
1,0,4,0.5,0.0016963589498702508,0.0009477043832528034,2.802418300585763e-07,1,8,0.0,0.0,1,,-0.00014033605293796073,4.4590946907376253e-17,3.508401323449018e-07,-1.1147736726844061e-20,2.0550804529768346e-08,-8.484005857254441e-09,-6.77489388854957e-08,1.2212696660860599e-07
1,0,5,-0.25,9.787808224577296e-05,-0.0008506533025239095,4.4985589394654546e-07,1,9,0.0,0.0,1,,0.00015134157429555958,1.58226218626725e-06,1.8917696786944945e-07,1.9778277328340622e-10,-3.152068141766628e-08,5.7432152192930994e-08,3.3202302161625785e-07,-2.717834683849865e-07
1,0,6,-0.5,0.0008284357544344418,-0.002239214885400184,4.705240224038895e-06,1,9,0.0,0.0,1,,0.0012530817143792037,2.283052903791423e-05,3.1327042859480076e-06,5.707632259478554e-09,-1.0783535881206952e-07,6.356193304824993e-07,4.2982136076886426e-06,-2.680308134622586e-06
1,0,7,-1.0,-0.0030451579556228492,-0.008196009500658439,1.3265635819497718e-05,1,9,0.0,0.0,1,,0.006616491103031764,0.0003520008157464425,3.308245551515883e-05,1.760004078732212e-07,3.694417889431042e-07,9.019945623721577e-06,4.897972851511532e-05,-1.8828742223716214e-05
1,0,8,-1.5,-0.009629032660950181,-0.021170967220292172,6.660812668606661e-05,1,9,0.0,0.0,1,,0.0275626160515963,0.0036969696222003867,0.00020671962038697222,2.77272721665029e-06,-1.572722664356619e-05,0.00010593745761479068,0.000371401744100305,-9.855861248940936e-05
1,0,9,-2.0,-0.02806388000465943,-0.04096168437911842,8.31766788409044e-05,1,8,0.0,0.0,1,,0.03765188070176408,0.010176714860142906,0.0003765188070176407,1.0176714860142908e-05,-0.00011742572829066826,0.00033695872759221526,0.000779519376682574,-0.00016732820319202926
