applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-9.556893684850198412e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-9.556719772308446270e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-9.556589304356313264e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-9.556491109061259204e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-9.556416777748462099e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-9.556359947444688085e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-9.556315782090457622e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-9.556281477717462058e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-9.556251723487886318e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-9.556225331537586687e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-9.556200041102862475e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-9.556173684797758527e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-9.556144000664760219e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-9.556108429677380167e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-9.556063849444621505e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-9.556005691926807710e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-9.555930586418491801e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-9.555831342297432807e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-9.555699462366258334e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-9.555523656496937024e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-9.555288876376218932e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-9.554975030122008217e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-9.554555266818938186e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-9.553993687312221095e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-9.553242287881069661e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-9.552236881789770706e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-9.550891660836823283e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,-9.549091951635342301e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-9.546684582861683088e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,-9.543465103797833526e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-9.539160875811221185e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,-9.533408795284896708e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-9.525726106126592985e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,-9.515472447952499913e-01,2.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-9.501801023057375728e-01,2.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,-9.483596674620433653e-01,2.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-9.459398975684942812e-01,2.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,-9.427309477975269747e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-9.384884060179823351e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,-9.329016930473714719e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-9.257483025986712466e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,-9.164549947234663652e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-9.044734578371373956e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,-8.891798606481668976e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-8.699877371884310318e-01,3.000000000000000000e+00,1.000000000000000000e+00
3.775000000000006128e-02,-8.464424618839068160e-01,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-8.186799949761800477e-01,3.000000000000000000e+00,1.000000000000000000e+00
6.165000000000009361e-02,-7.859941603172966307e-01,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-7.493876163603954144e-01,3.000000000000000000e+00,1.000000000000000000e+00
8.555000000000012594e-02,-7.097145330573775279e-01,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-6.683107939854209256e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.094500000000000473e-01,-6.273369629765991329e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-5.881681250161779895e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.333500000000000796e-01,-5.534191089995008639e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-5.225834851844929352e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.572500000000000009e-01,-5.005223805269961579e-01,2.000000000000000000e+00,1.000000000000000000e+00
