applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,6.572842643663753259e-01,-7.733810698036917008e-01,-1.430665334170067027e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,6.572416830166679658e-01,-7.732632783513294639e-01,-1.430504961367997430e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,6.571201675112776641e-01,-7.730856176334205410e-01,-1.430205785144698094e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,6.569289584065022281e-01,-7.728525189925734562e-01,-1.429781477399075573e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,6.566791880792988145e-01,-7.725715210954292589e-01,-1.429250709174727962e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,6.562801161425888541e-01,-7.721492011997060922e-01,-1.428429317342295057e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,6.557537266643499452e-01,-7.716055468262119632e-01,-1.427359273490561797e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,6.550737026375432759e-01,-7.709127544686045219e-01,-1.425986457106147798e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,6.542057831611450824e-01,-7.700354596941348939e-01,-1.424241242855279976e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,6.531063645710004639e-01,-7.689292431320117194e-01,-1.422035607703012072e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,6.517207957424169251e-01,-7.675388550863750936e-01,-1.419259650828792019e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,6.499813976106671998e-01,-7.657961826962148555e-01,-1.415777580306881944e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,6.478052795567238453e-01,-7.636180277086436208e-01,-1.411423307265367466e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,6.450920966720734562e-01,-7.609038354507120516e-01,-1.405995932122785508e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,6.417220020596260399e-01,-7.575336265405872016e-01,-1.399255628600213353e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,6.375542056156981996e-01,-7.533665408156154930e-01,-1.390920746431313582e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,6.324267587211627184e-01,-7.482406113269647330e-01,-1.380667370048127562e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,6.261584296321865972e-01,-7.419746319374052046e-01,-1.368133061569591913e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,6.185537740090465419e-01,-7.343732219214652579e-01,-1.352926995930511911e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,6.094126454703318041e-01,-7.252363316211976052e-01,-1.334648977091529520e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,5.985452740702921215e-01,-7.143743164875592244e-01,-1.312919590557851457e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,5.857934512977216457e-01,-7.016291179640643527e-01,-1.287422569261785998e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,5.710570898810845009e-01,-6.869008200335855463e-01,-1.257957909914670047e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,5.543234184106908824e-01,-6.701768429358810897e-01,-1.224500261346571861e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,5.356936326337116139e-01,-6.515585985291187932e-01,-1.187252231162830407e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,5.153997888173370567e-01,-6.312783961976657920e-01,-1.146678185015002960e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,4.933917450730621601e-01,-6.092864068511215647e-01,-1.102678151924183725e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,4.705343189517308122e-01,-5.864478564448166731e-01,-1.056982175396547596e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,4.481030594280919765e-01,-5.640388992970203352e-01,-1.012141958725112367e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,4.257850119379277820e-01,-5.417474186946864556e-01,-9.675324306326142931e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,4.040586490172328737e-01,-5.200530711773126979e-01,-9.241117201945455717e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,3.833005505300149940e-01,-4.993340846567966285e-01,-8.826346351868116225e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,3.637498430863022048e-01,-4.798318374919636753e-01,-8.435816805782658800e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,3.454952658491878825e-01,-4.616380890455364927e-01,-8.071333548947243752e-01,2.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,3.822890831129462375e-01,-4.985090586560024239e-01,-8.807981417689486614e-01,2.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,4.280672318121382380e-01,-5.443852283117397439e-01,-9.724524601238779820e-01,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,4.623935691405782755e-01,-5.788385599952664551e-01,-1.041232129135844620e+00,3.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,4.855533011314149272e-01,-6.021624978958031171e-01,-1.087715799027217933e+00,3.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,4.774344271990035304e-01,-5.942653057542244266e-01,-1.071699732953228068e+00,3.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,4.610069650670801100e-01,-5.781243222853775787e-01,-1.039131287352457633e+00,3.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,4.416976973003984286e-01,-5.591815178758636762e-01,-1.000879215176261994e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,4.201081107228379352e-01,-5.380619413885854296e-01,-9.581700521114233648e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,3.969300964534741571e-01,-5.154879020486647923e-01,-9.124179985021390049e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,3.718512707583187527e-01,-4.911852613439005588e-01,-8.630365321022193115e-01,4.000000000000000000e+00,1.000000000000000000e+00
