applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-4.155643395543443669e-02,-7.674897466402817725e-02,-3.519254070859374056e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-4.237818493633648681e-02,-7.585780663213281816e-02,-3.347962169579633135e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-4.317182374937835604e-02,-7.501355757718593253e-02,-3.184173382780757650e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-4.393624612349228409e-02,-7.421252133634378967e-02,-3.027627521285150558e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-4.467093171955735520e-02,-7.345162656378526056e-02,-2.878069484422790536e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-4.537579214367459118e-02,-7.272828052033421253e-02,-2.735248837665962135e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-4.605105588995205002e-02,-7.204025407197607589e-02,-2.598919818202402587e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-4.669716044383386000e-02,-7.138562248303109703e-02,-2.468846203919723703e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-4.731402609401338943e-02,-7.076349597032238758e-02,-2.344946987630899815e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-4.790396100598990486e-02,-7.017042934171946467e-02,-2.226646833572955980e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-4.846695668194683088e-02,-6.960597580925999284e-02,-2.113901912731316196e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-4.900389495105290233e-02,-6.906879695735461400e-02,-2.006490200630171167e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-4.951569067900515181e-02,-6.855764087827032061e-02,-1.904195019926516880e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-5.000327618335552449e-02,-6.807132831637012493e-02,-1.806805213301460045e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-5.046758962588734909e-02,-6.760874256103290014e-02,-1.714115293514555105e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-5.090956646945630354e-02,-6.716882214228198089e-02,-1.625925567282567735e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-5.133013332907577358e-02,-6.675055564311881129e-02,-1.542042231404303770e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-5.173020373399014882e-02,-6.635297814176491227e-02,-1.462277440777476345e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-5.211067546485249891e-02,-6.597516895271109127e-02,-1.386449348785859237e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-5.247242925036643690e-02,-6.561625046114326343e-02,-1.314382121077682652e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-5.281632871100643695e-02,-6.527538795184521792e-02,-1.245905924083878097e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-5.314322153238047741e-02,-6.495179043030552268e-02,-1.180856889792504527e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-5.345394194522700565e-02,-6.464471252910634902e-02,-1.119077058387934337e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-5.374931468837346876e-02,-6.435345769892972245e-02,-1.060414301055625369e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-5.403016071019089289e-02,-6.407738306550721241e-02,-1.004722235531631952e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-5.429730448034249951e-02,-6.381590738191028622e-02,-9.518602901567786712e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-5.455157580701144177e-02,-6.356853620781391379e-02,-9.016960400802472020e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,-5.479369216707476176e-02,-6.333509372362969292e-02,-8.541401556554931163e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-5.502508979040606624e-02,-6.311438665372759438e-02,-8.089296863321528142e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,-5.524608212174599020e-02,-6.290737934295977107e-02,-7.661297221213780873e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-5.545827169734050127e-02,-6.271314076451302288e-02,-7.254869067172521613e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,-5.566274209693604369e-02,-6.253213248977798622e-02,-6.869390392841942528e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-5.586096657321614617e-02,-6.236476556256986131e-02,-6.503798989353715143e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,-5.605471360881535831e-02,-6.221178663529735448e-02,-6.157073026481996170e-03,3.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-5.624615265841297757e-02,-6.207438066740116056e-02,-5.828228008988182995e-03,3.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,-5.643799339330313886e-02,-6.195430676847568652e-02,-5.516313375172547662e-03,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-5.663366821314982230e-02,-6.185407689755827859e-02,-5.220408684408456290e-03,3.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,-5.683756988500224261e-02,-6.177718922568556370e-02,-4.939619340683321091e-03,3.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-5.705535815086470314e-02,-6.172842998895982508e-02,-4.673071838095121944e-03,3.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,-5.729435014068979398e-02,-6.171425869577469581e-02,-4.419908555084901824e-03,3.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-5.756400835631855090e-02,-6.174329076466016086e-02,-4.179282408341609967e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,-5.787653502455875759e-02,-6.182688795697135337e-02,-3.950352932412595774e-03,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-5.824760646167887607e-02,-6.197990009798305666e-02,-3.732293636304180595e-03,3.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,-5.869946201929159696e-02,-6.222385592360012152e-02,-3.524393904308524561e-03,2.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-5.925263203674843715e-02,-6.257806067871772571e-02,-3.325428641969288557e-03,2.000000000000000000e+00,1.000000000000000000e+00
3.775000000000006128e-02,-5.993857456346941837e-02,-6.307334378377464634e-02,-3.134769220305227977e-03,2.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-6.091997704785416523e-02,-6.387239090772213468e-02,-2.952413859867969448e-03,2.000000000000000000e+00,1.000000000000000000e+00
6.165000000000009361e-02,-6.215959736701198723e-02,-6.493653466005339103e-02,-2.776937293041403798e-03,3.000000000000000000e+00,1.000000000000000000e+00
