applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-1.990753428886774090e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-1.990726133291880195e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-1.990709860612050575e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-1.990699092005020931e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-1.990689578323371567e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-1.990678131158863051e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-1.990661055782893429e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-1.990632226896854151e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-1.990581558815633922e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-1.990491328871491605e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-1.990329987145155188e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-1.990041152791185652e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-1.989524001908335338e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-1.988598361410320203e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-1.986942862138940669e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-1.983986309772576506e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-1.978719947138722679e+00,2.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-1.969382514997870315e+00,2.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-1.952960101996700448e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-1.924451067508025526e+00,3.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-1.876502034800487717e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-1.800423764892851830e+00,3.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-1.685021224324666500e+00,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-1.531887088222824600e+00,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-1.355193809966535934e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-1.187366374982558481e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-1.059835397758551956e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-1.016440975625228393e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-9.813025685673105736e-01,4.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-9.475304016278366381e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-9.018045211428635799e-01,5.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-8.413356508714230353e-01,5.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-7.656249083547420620e-01,6.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-6.757981953632331562e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-5.745588735205028330e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-4.663501658292061869e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-3.575601236134348104e-01,8.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-2.567029988853861133e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-1.722704880795262739e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-1.089138642509676347e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,-6.577726134509273570e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.798999999999999932e-01,-3.849715431131056631e-02,8.000000000000000000e+00,1.000000000000000000e+00
5.038000000000000256e-01,-2.208481091069505742e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.276999999999999469e-01,-1.251250329625078900e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.515999999999999792e-01,-7.030571551103299496e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.755000000000000115e-01,-3.920798381382479061e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.993999999999999329e-01,-2.161934406212165805e-03,5.000000000000000000e+00,1.000000000000000000e+00
6.232999999999999652e-01,-1.162437305429784868e-03,5.000000000000000000e+00,1.000000000000000000e+00
6.471999999999999975e-01,-5.841352789973382025e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.710999999999999188e-01,-2.338955134065206891e-04,5.000000000000000000e+00,1.000000000000000000e+00
7.643750000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.337499999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.031249999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
