applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,1.980927404784065482e+00,-2.328643345135375853e+00,-4.309570749919441113e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,1.979014079317881647e+00,-2.326648605474856080e+00,-4.305662684792737949e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,1.977042515207198647e+00,-2.324616506360529300e+00,-4.301659021567727947e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,1.977099352761109596e+00,-2.324627952631772132e+00,-4.301727305392882172e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,1.976671698258214871e+00,-2.324166622900318391e+00,-4.300838321158533262e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,1.976377419587477258e+00,-2.323847371692458808e+00,-4.300224791279935843e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,1.976174710821801739e+00,-2.323626165073313654e+00,-4.299800875895115837e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,1.976034766673593568e+00,-2.323472551931671237e+00,-4.299507318605265027e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,1.975937713198768764e+00,-2.323365445163950049e+00,-4.299303158362718591e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,1.975869800744168181e+00,-2.323290204805677384e+00,-4.299160005549845565e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,1.975821464827165697e+00,-2.323236618573055967e+00,-4.299058083400221442e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,1.975785982055430434e+00,-2.323197499480113226e+00,-4.298983481535543660e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,1.975758532457295713e+00,-2.323167706517338615e+00,-4.298926238974634551e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,1.975735537240252082e+00,-2.323143453571185901e+00,-4.298878990811438427e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,1.975714180327830638e+00,-2.323121812277339604e+00,-4.298835992605170020e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,1.975692048616930041e+00,-2.323100342019809972e+00,-4.298792390636739569e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,1.975666843546020957e+00,-2.323076798697466305e+00,-4.298743642243486818e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,1.975636127829777822e+00,-2.323048885810150566e+00,-4.298685013639928165e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,1.975597077785645528e+00,-2.323014018616673670e+00,-4.298611096402319198e+00,2.000000000000000000e+00,1.000000000000000000e+00
