applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-1.773471446488089909e-01,-1.773471446488089909e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-1.773095086798827380e-01,-1.773095086798827380e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-1.772814020719290784e-01,-1.772814020719290784e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-1.772604175519038594e-01,-1.772604175519038594e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-1.772447578394618639e-01,-1.772447578394618639e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-1.772330817212380838e-01,-1.772330817212380838e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-1.772243892756076578e-01,-1.772243892756076578e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-1.772179374876838021e-01,-1.772179374876838021e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-1.772132262062666164e-01,-1.772132262062666164e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-1.772097277116272962e-01,-1.772097277116272962e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-1.772072124576394847e-01,-1.772072124576394847e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-1.772054647975080388e-01,-1.772054647975080388e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-1.772043342287471512e-01,-1.772043342287471512e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-1.772037201191259403e-01,-1.772037201191259403e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-1.772035305264884342e-01,-1.772035305264884342e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-1.772038348838096133e-01,-1.772038348838096133e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-1.772046178306737607e-01,-1.772046178306737607e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-1.772059464017699537e-01,-1.772059464017699537e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-1.772079343450113642e-01,-1.772079343450113642e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-1.772107518492543887e-01,-1.772107518492543887e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-1.772146400945432965e-01,-1.772146400945432965e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-1.772199318619595010e-01,-1.772199318619595010e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-1.772270799519305440e-01,-1.772270799519305440e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-1.772366958157180483e-01,-1.772366958157180483e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-1.772496016564228116e-01,-1.772496016564228116e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-1.772669003681201505e-01,-1.772669003681201505e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-1.772900691355744629e-01,-1.772900691355744629e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
