applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,1.963047409527700626e+00,-2.310746840004035629e+00,-4.273794249531736256e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,1.960073632755579442e+00,-2.307699125935291917e+00,-4.267772758690870916e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,1.956267594309444524e+00,-2.303838536874972753e+00,-4.260106131184417499e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,1.951445145926789193e+00,-2.298976193853519590e+00,-4.250421339780309005e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,1.945376825050717517e+00,-2.292879141808064514e+00,-4.238255966858782031e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,1.937781547024727713e+00,-2.285263737300311071e+00,-4.223045284325039006e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,1.928320509279740858e+00,-2.275789326337020135e+00,-4.204109835616760549e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,1.916592413919114390e+00,-2.264053298740010600e+00,-4.180645712659124769e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,1.902131688667605847e+00,-2.249589183768248901e+00,-4.151720872435854304e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,1.884412092147464968e+00,-2.231870161250643303e+00,-4.116282253398107827e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,1.862858830913828978e+00,-2.210321106493598364e+00,-4.073179937407427786e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,1.836872862124692141e+00,-2.184342835613227507e+00,-4.021215697737919648e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,1.805870991830967220e+00,-2.153352155713365246e+00,-3.959223147544332466e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,1.769344099908367607e+00,-2.116840047110356782e+00,-3.886184147018724389e+00,2.000000000000000000e+00,1.000000000000000000e+00
