phi_applied,target_current_density,simulated_current_density
-1,-0.005811162777964344,-0.0002270654824165657
-2.357142857142857,-0.005974064898636422,-0.0007757256519301105
-3.714285714285714,0.003125533943907826,-0.001987603023386492
-5.071428571428571,-0.006207163048749283,-0.004776030553127553
-6.428571428571429,-0.01158881227697504,-0.01111723385984863
-7.785714285714286,-0.02502639283466379,-0.02477155698469338
-9.142857142857142,-0.05269317406115371,-0.05083545140498909
-10.5,-0.0882162609813168,-0.09085200516563932
-11.85714285714286,-0.1367137254274985,-0.1360498493006725
-13.21428571428572,-0.1729074887708827,-0.1738476288480636
-14.57142857142857,-0.2058941561705718,-0.2015534425239668
-15.92857142857143,-0.2219656737436669,-0.2251381882071737
-17.28571428571428,-0.25258719785485,-0.2512037277030498
-18.64285714285714,-0.2808747561134667,-0.2824876033354537
-20,-0.3173270904947468,-0.3163247840434351
