evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00023158267043042635,0.0020262849353666844,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.1052894084221326,0.10740152357821584,0.0016050161283570742,0.00021227802719266093,0.004999999999999999,0.0004999999999999999
2,0,0.0002274945837255734,0.0020060816584717427,0,0,0.0049860636155577625,0.0004998576622801419,0.39839498387164296,0.29978772197280734,0.104549774167831,0.10642721711904918,0.0015888590458641588,0.00021004902064477115,0.0049860636155577625,0.0004998576622801419
3,1,3.73942439906649e-05,0.00023198434405183836,0,0,0.003760067669510904,0.0004850635877414258,0.24053993949218092,0.2798360367259563,-0.003869460919177427,-0.03712394688150697,-0.0001977364890374468,-0.00010897447815535825,0.003760067669510904,0.0004850635877414258
4,2,3.4697377434877735e-05,0.00010796964261915102,0,0,0.003789929988422568,0.000489064129607561,0.25750911906036067,0.2889080452834214,0.008740524213864601,-0.01947717010772159,-2.2025201238688528e-05,-6.980919814742483e-05,0.003789929988422568,0.000489064129607561
5,3,3.3313826170807525e-05,0.00011223320661442474,0,0,0.0037242200263119213,0.000492846514535186,0.2643223108982994,0.2989832992134961,0.010867866203748603,-0.014743904134016111,1.4720154226258427e-05,-5.843153738682866e-05,0.0037242200263119213,0.000492846514535186
6,4,2.60736059572774e-05,0.00017060370334410506,0,0,0.0031592763981493836,0.0005223765589148084,0.3033498422098491,0.3777054194780023,0.015637169303201182,0.005654809954558401,0.00012690436117054484,-3.870731732470215e-06,0.0031592763981493836,0.0005223765589148084
7,5,2.3289322530852808e-05,0.00010183796825167516,0,0,0.0028216079855895473,0.0005386837829379232,0.3157699747595838,0.42552485857803674,0.00870296000512031,0.00602820683291441,8.431719119364773e-05,2.92516096613489e-06,0.0028216079855895473,0.0005386837829379232
8,6,2.256622971472266e-05,1.9533282161541654e-05,0,0,0.0026832440462711176,0.0005448433477742167,0.3141771069691148,0.45030344241643677,0.00021772230500879697,0.0009886672693546375,1.8461603492882364e-05,-6.113132782743977e-06,0.0026832440462711176,0.0005448433477742167
9,7,2.251490464539299e-05,1.4304845978289343e-05,0,0,0.0026721281419961455,0.000545426941679237,0.3118950723993745,0.4550355068066498,-0.0017255908005071948,-0.0005210725549208827,1.8833316912311486e-06,-9.376997481690727e-06,0.0026721281419961455,0.000545426941679237
10,8,2.246639022207322e-05,2.438297317240328e-05,0,0,0.0026742124749014923,0.0005458135206875701,0.30878808439156347,0.4602568408595775,-0.0030557828742336984,-0.0015827315052714954,-9.918845599105611e-06,-1.1753137802932574e-05,0.0026742124749014923,0.0005458135206875701
