evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.007374144457341952,-0.007709282011235693,5.6158590014938004e-08,1,9,0.0,0.0,1,,0.00040600911517339093,2.1247390546280552e-05,2.030045575866955e-06,1.0623695273140268e-08
1,0,1,-2.0,-0.027210802909530558,-0.03696647158875435,4.758653568939454e-05,1,9,0.0,0.0,1,,0.030821683161315554,0.008549696861695086,0.00030821683161315545,8.549696861695082e-06
1,0,2,-3.0,-0.06202917813359604,-0.07888880316325814,0.00014212347807040956,1,9,0.0,0.0,1,,0.05141500606975618,0.04344244940754582,0.0007712250910463427,6.516367411131859e-05
1,0,3,-4.0,-0.10795054015085055,-0.11458703930852839,2.2021560534928557e-05,1,9,0.0,0.0,1,,0.013955692748408074,0.024999405030228582,0.00027911385496816234,4.999881006045711e-05
1,0,4,-5.0,-0.13557069797477647,-0.13975572737416356,8.757235536868742e-06,1,8,0.0,0.0,1,,0.0053645466513823825,0.01584703456996506,0.00013411366628455972,3.961758642491265e-05
1,0,5,-6.0,-0.1532335800100144,-0.1560359565746691,3.926657205063037e-06,1,8,0.0,0.0,1,,0.0020797091344008987,0.008377293035416278,6.239127403202635e-05,2.5131879106248887e-05
1,0,6,-7.0,-0.16525636708079586,-0.16604475781516145,3.107799750173746e-07,1,8,0.0,0.0,1,,0.0003359798588930401,0.0016043375365920565,1.1759295061256504e-05,5.6151813780722104e-06
1,0,7,-8.0,-0.168345056302483,-0.17202159436582776,6.7584660656127206e-06,1,8,0.0,0.0,1,,0.000910513768295927,0.004619437697703139,3.642055073183615e-05,1.8477750790812648e-05
1,0,8,-9.0,-0.17577828688927494,-0.17556127720651504,2.3546601205787052e-08,1,8,0.0,0.0,1,,-3.235736448802945e-05,-0.00015149947564212438,-1.4560814019612737e-06,-6.817476403895577e-07
1,0,9,-10.0,-0.177500655837663,-0.17769183647709066,1.8275018446202553e-08,1,7,0.0,0.0,1,,1.8209537684075538e-05,7.43905966345422e-05,9.104768842037769e-07,3.719529831727129e-07
2,0,0,-1.0,-0.007374144457341952,-0.007681973522310646,4.73793666197482e-08,1,9,0.0,0.0,1,,0.0003729885017580162,1.9452543278450387e-05,1.8597451083458634e-06,9.723503265610947e-09
2,0,1,-2.0,-0.027210802909530558,-0.036871285936536054,4.66624661575311e-05,1,9,0.0,0.0,1,,0.030569020651623185,0.008472389294553639,0.00030483827976371717,8.469977811526773e-06
2,0,2,-3.0,-0.06202917813359604,-0.07877158049549894,0.00014015401842393114,1,9,0.0,0.0,1,,0.05122786509280964,0.04326508343303444,0.0007662764755614103,6.487915343914141e-05
2,0,3,-4.0,-0.10795054015085055,-0.11448787885533267,2.1368398668559224e-05,1,9,0.0,0.0,1,,0.013800308177496735,0.024709494237274202,0.00027523696313207674,4.940492242449252e-05
2,0,4,-5.0,-0.13557069797477647,-0.13968378430754377,8.458739590400183e-06,1,8,0.0,0.0,1,,0.005294521911066043,0.015624613135302019,0.00013199416575478248,3.905041481473574e-05
2,0,5,-6.0,-0.1532335800100144,-0.15598741455471307,3.791802349787985e-06,1,8,0.0,0.0,1,,0.0020530142125328495,0.008255625207428013,6.14187802754235e-05,2.4759826264881417e-05
2,0,6,-7.0,-0.16525636708079586,-0.16601304726461535,2.8628245029314194e-07,1,8,0.0,0.0,1,,0.0003240561140256668,0.001543795443416701,1.1310355119093166e-05,5.401746123597606e-06
2,0,7,-8.0,-0.168345056302483,-0.1720010148851901,6.683016579236143e-06,1,8,0.0,0.0,1,,0.0009101881129170938,0.004604411540631679,3.630606053953396e-05,1.8412403976459465e-05
2,0,8,-9.0,-0.17577828688927494,-0.1755476913155572,2.658715930911965e-08,1,8,0.0,0.0,1,,-3.4575015138505514e-05,-0.0001612939359414398,-1.551539617832058e-06,-7.25616121943569e-07
2,0,9,-10.0,-0.177500655837663,-0.17768246390472273,1.6527086624203517e-08,1,7,0.0,0.0,1,,1.741677140573257e-05,7.083216562989434e-05,8.684116339329094e-07,3.540600239021368e-07
3,1,0,-1.0,-0.007374144457341952,-0.005321230160023924,2.107228556066399e-06,1,8,0.0,0.0,1,,-0.0024878293021516414,-9.860199868047001e-05,-9.356361670928993e-06,-4.7835275188762764e-08
3,1,1,-2.0,-0.027210802909530558,-0.027815904900296,1.8307420961418002e-07,1,9,0.0,0.0,1,,0.0022517994740406935,0.0005471089585983298,1.6937376106399914e-05,5.308433488777181e-07
3,1,2,-3.0,-0.06202917813359604,-0.06685095911891584,1.1624785935197276e-05,1,9,0.0,0.0,1,,0.020355344415497044,0.016132673867508964,0.0002296604081192382,2.347957153942679e-05
3,1,3,-4.0,-0.10795054015085055,-0.10411778416968677,7.3450092055738e-06,1,8,0.0,0.0,1,,-0.011875071351997907,-0.019586991233217266,-0.00017864161715803735,-3.800933564428499e-05
3,1,4,-5.0,-0.13557069797477647,-0.13202173631797434,6.29756442072448e-06,1,9,0.0,0.0,1,,-0.006983775335372878,-0.017668044729735707,-0.00013132478142642115,-4.285692952498329e-05
3,1,5,-6.0,-0.1532335800100144,-0.15072426014405568,3.148343094847433e-06,1,8,0.0,0.0,1,,-0.0029844490672595696,-0.00948186189758399,-6.734445527495848e-05,-2.7599895290719606e-05
3,1,6,-7.0,-0.16525636708079586,-0.16251266629006658,3.7639470145220935e-06,1,7,0.0,0.0,1,,-0.0019531707255962157,-0.006886206106830992,-5.141912344452573e-05,-2.3385174537484157e-05
3,1,7,-8.0,-0.168345056302483,-0.1696923511456692,9.076016972385315e-07,1,8,0.0,0.0,1,,0.0005786885727830978,0.002033888421586099,1.7410903801509437e-05,7.893682777372e-06
3,1,8,-9.0,-0.17577828688927494,-0.17400459300434334,1.572994998721962e-06,1,8,0.0,0.0,1,,-0.00047040319908408644,-0.0015114650249898312,-1.5922057884709363e-05,-6.599380513430877e-06
3,1,9,-10.0,-0.177500655837663,-0.1766106008811667,3.9609891279080243e-07,1,7,0.0,0.0,1,,-0.00015196339146648544,-0.00040452646073312087,-5.715120607638759e-06,-1.9624992220506494e-06
4,2,0,-1.0,-0.007374144457341952,-0.005434371697270391,1.8813591803578336e-06,1,8,0.0,0.0,1,,-0.002350634606779376,-9.501038347998339e-05,-8.907988186139116e-06,-4.647078353098611e-08
4,2,1,-2.0,-0.027210802909530558,-0.028418868833248123,7.29711638023846e-07,1,9,0.0,0.0,1,,0.004499734279310819,0.0011072140180555011,3.410447517896863e-05,1.0831048369859618e-06
4,2,2,-3.0,-0.06202917813359604,-0.06782932214870971,1.682083529803126e-05,1,9,0.0,0.0,1,,0.024221231906467793,0.01931868908624017,0.00027536706094721624,2.834704752512322e-05
4,2,3,-4.0,-0.10795054015085055,-0.10509515173569171,4.076621500711968e-06,1,8,0.0,0.0,1,,-0.008690185244090482,-0.014387349985792162,-0.00013172964826852645,-2.814814138352113e-05
4,2,4,-5.0,-0.13557069797477647,-0.1328231589845322,3.774485251455182e-06,1,9,0.0,0.0,1,,-0.005284094447921677,-0.01342090902614785,-0.00010012328326311292,-3.282168407806547e-05
4,2,5,-6.0,-0.1532335800100144,-0.15131928513939766,1.8322624258347054e-06,1,8,0.0,0.0,1,,-0.0022151295035541542,-0.007075090238520415,-5.036686022962278e-05,-2.0763098193730173e-05
4,2,6,-7.0,-0.16525636708079586,-0.16293037287772086,2.7051245163674426e-06,1,7,0.0,0.0,1,,-0.0016043039064247316,-0.0056936802780035755,-4.255780180779366e-05,-1.949395863923102e-05
4,2,7,-8.0,-0.168345056302483,-0.16997695594564738,1.3315482226805962e-06,1,8,0.0,0.0,1,,0.0006768283395987757,0.002395668303858319,2.051932303149619e-05,9.374014004193659e-06
4,2,8,-9.0,-0.17577828688927494,-0.17419705054010723,1.2501541959646992e-06,1,8,0.0,0.0,1,,-0.00040408129268636276,-0.001306223359812506,-1.3781794218453923e-05,-5.7500137033736485e-06
4,2,9,-10.0,-0.177500655837663,-0.17674297882487988,2.870372278491139e-07,1,7,0.0,0.0,1,,-0.00012461579027011333,-0.0003327557039208907,-4.722452329813169e-06,-1.6275503496800301e-06
5,3,0,-1.0,-0.007374144457341952,-0.005385097120489221,1.9781546541204837e-06,1,7,0.0,0.0,1,,-0.002462628209050289,-9.828844805342489e-05,-9.169362167877905e-06,-4.845020504974539e-08
5,3,1,-2.0,-0.027210802909530558,-0.0283770846619597,6.801065630246512e-07,1,9,0.0,0.0,1,,0.004418093392319461,0.0010878534312696825,3.2900701987254906e-05,1.0724906711404449e-06
5,3,2,-3.0,-0.06202917813359604,-0.06794207740954544,1.7481188923763326e-05,1,9,0.0,0.0,1,,0.025094309100325153,0.02002049360580555,0.0002803088273511167,2.96066436984889e-05
5,3,3,-4.0,-0.10795054015085055,-0.10533142664871889,3.4298777685244805e-06,1,8,0.0,0.0,1,,-0.008079476860031408,-0.01328898261442059,-0.0001203326579048442,-2.620262890797548e-05
5,3,4,-5.0,-0.13557069797477647,-0.13308744390050117,3.0832753987014696e-06,1,9,0.0,0.0,1,,-0.004831632426591084,-0.01208923769789356,-8.995062149182849e-05,-2.979628109702589e-05
5,3,5,-6.0,-0.1532335800100144,-0.15154902485960453,1.4188630273861387e-06,1,8,0.0,0.0,1,,-0.001969942531326434,-0.006151810618249862,-4.4009363134691674e-05,-1.819480265184772e-05
5,3,6,-7.0,-0.16525636708079586,-0.16310513464895135,2.313900487908145e-06,1,7,0.0,0.0,1,,-0.001498191366079751,-0.0051676572965348826,-3.904861248369151e-05,-1.783137717827084e-05
5,3,7,-8.0,-0.168345056302483,-0.17010010746860685,1.5401022978569662e-06,1,8,0.0,0.0,1,,0.0007345063966792396,0.0025129936162083155,2.1878918274463e-05,9.910019613113535e-06
5,3,8,-9.0,-0.17577828688927494,-0.17428025398455668,1.1220512918093894e-06,1,8,0.0,0.0,1,,-0.00038618522032166086,-0.0011995062255308654,-1.2941315795853818e-05,-5.321550127482581e-06
5,3,9,-10.0,-0.177500655837663,-0.17679837922538602,2.4659622007481725e-07,1,7,0.0,0.0,1,,-0.00011657344774056599,-0.00029667103470495265,-4.340501572926105e-06,-1.4624071036265103e-06
