evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.0003273680893980845,0.002201198357287849,1,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.1410430354045521,0.09040742697501586,0.0014731749030710145,0.00016556387176794882,0.004999999999999999,0.0004999999999999999
2,0,0.00032254539757291386,0.0021772107440724896,1,0,0.004981340011319181,0.0004998801816171759,0.398526825096929,0.299834436128232,0.14022330524877488,0.08943169543976927,0.0014546786207084873,0.00016356315005266683,0.004981340011319181,0.0004998801816171759
3,1,0.0001001487636927013,0.0003565503494097282,1,0,0.0033784795796422923,0.0004890501312493983,0.2824591158311752,0.2861457398439125,0.025145324036977546,-0.032910194698359575,-0.0002840760839211966,-8.241172928605388e-05,0.0033784795796422923,0.0004890501312493983
4,2,9.028686486161967e-05,0.0003026533437547496,1,0,0.003200355239695157,0.00049221873620911,0.3012701902209092,0.29264794704491437,0.024786700584452138,-0.027984089091215473,-0.00022865858596475818,-7.032321636839524e-05,0.003200355239695157,0.00049221873620911
5,3,5.205100749076783e-05,0.00010038552541268276,1,0,0.0021838897754879122,0.0005164305732352693,0.41541691566996486,0.3387023485218796,0.013955842802405452,-0.008403586955020323,-6.920382377835283e-05,-1.622469401858128e-05,0.0021838897754879122,0.0005164305732352693
6,4,4.4746930611444745e-05,4.070686311441164e-05,1,0,0.0017830668333179435,0.0005293435115367058,0.47545413032014255,0.35332373164817954,0.0069702591678548025,-0.0011344665577703655,-2.8352403169429027e-05,5.684590316471642e-06,0.0017830668333179435,0.0005293435115367058
7,5,4.251605241851596e-05,2.323689288341711e-05,1,0,0.0015404371603241526,0.0005305413576765501,0.5238585831048821,0.3317864045766605,-1.4698833533051636e-05,0.0017991621494490597,-1.8449393635879496e-05,1.395491463798078e-05,0.0015404371603241526,0.0005305413576765501
8,6,4.1266467980885476e-05,2.1901655325844296e-05,1,0,0.0013926392929673047,0.0005199532948831723,0.5658265472845212,0.27712943377887095,-0.003120637432264453,0.003096043110665359,-1.177886072196024e-05,1.5068648980277452e-05,0.0013926392929673047,0.0005199532948831723
9,7,3.9891828842072126e-05,3.368730008409251e-05,1,0,0.0012037971882456866,0.00048066938101318484,0.6403815808540974,0.1300634380584678,0.0031830411053746185,0.004584400235778154,3.0629838734025e-05,9.646701339142176e-06,0.0012037971882456866,0.00048066938101318484
10,8,3.970199239185686e-05,1.0600956366785773e-05,1,0,0.0012299287121313057,0.00047581809417280495,0.6322794025424721,0.12258030774047134,-1.640939594322258e-05,0.0027491162186557964,8.93350469517095e-06,4.8475441675558726e-06,0.0012299287121313057,0.00047581809417280495
11,9,3.961150834584167e-05,1.5718977837838886e-06,1,0,0.0012416435613566083,0.0004642270660848742,0.632629873610065,0.09249320570279765,-3.1824496781466054e-05,0.0014089629270681722,4.3524670198021885e-07,-6.994193592301957e-08,0.0012416435613566083,0.0004642270660848742
12,10,3.960754935535825e-05,1.4647384826280817e-06,1,0,0.00124340636640278,0.00046079551484114244,0.6325194756525289,0.0907676483475792,3.950410417666694e-05,0.0013155505954456433,1.177511315537564e-08,-4.291806314989784e-07,0.00124340636640278,0.00046079551484114244
13,11,3.958696905590792e-05,3.3570967808600283e-06,1,0,0.0012508560371981387,0.0004392165816089522,0.6318277132930106,0.08918113105451224,0.00011804363591558772,0.0010037161238390185,-2.747258670734138e-06,-1.605199156849925e-06,0.0012508560371981387,0.0004392165816089522
14,12,1000000000.0000356,1.667983068018411e-05,2,0,0.0012354089086214907,0.0003810642392642351,0.6381327873025842,0.07986909036363643,-0.002629618089117393,0.0007569213581842683,-1.4666628392245524e-05,2.5905138944411066e-06,0.0012354089086214907,0.0003810642392642351
