evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.006343116514669428,0.06798128740146313,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,-1.1777301682917631,11.748786417585624,-0.046438696571162445,0.04580494126737626,0.004999999999999999,0.0004999999999999999
2,0,0.0029167057719308048,0.035146748140621215,0,0,0.005158567574963421,0.0004846672941858136,0.4464386965711625,0.2541950587326237,-0.5656321921358101,6.278734620298446,-0.024003820741914185,0.023767056237105,0.005158567574963421,0.0004846672941858136
3,1,0.0011986495858636844,0.014232225279774911,0,0,0.005318582956445415,0.0004687089984787911,0.496133254209336,0.20478944615124028,-0.17595151501604658,2.642128289074593,-0.009559277376855978,0.009919793622122162,0.005318582956445415,0.0004687089984787911
4,2,0.0007040153839431102,0.006346226927421081,0,0,0.005389559465903788,0.0004580316821936701,0.5291179068519041,0.16934014221553192,-0.024976776602235514,1.220981049577544,-0.0039675997887423774,0.0047726785210562405,0.005389559465903788,0.0004580316821936701
5,3,0.0005221349004019747,0.0027252520651083723,0,0,0.005359986752122779,0.00044917623345502357,0.5532124042607932,0.13608841065129892,0.0514236745440378,0.5226931386844302,-0.0011750293080848664,0.0023132782739581567,0.005359986752122779,0.00044917623345502357
6,4,0.000443397948782174,0.0016032752250901415,0,0,0.0051879997932916845,0.0004416279721208767,0.5661909136736496,0.10235272178417334,0.0880751643446106,0.20438993316020126,0.00012520852245498354,0.0011851752159257123,0.0051879997932916845,0.0004416279721208767
7,5,0.00035968348968862626,0.0015670016172167575,0,0,0.004756269356017078,0.00043114378456492143,0.5710080489162708,0.05,0.11086270753249448,0.0206885030744276,0.000863744538206309,0.0004846540246075221,0.004756269356017078,0.00043114378456492143
8,6,0.0003228510404409568,0.0013405100373657401,0,0,0.004411894522726459,0.0004224172099121508,0.5716186843328012,0.05,0.10244760754441254,0.0739390585416507,0.000576220349984741,0.0006136966349765609,0.004411894522726459,0.0004224172099121508
9,7,0.00017394957613556066,0.001994739958176569,0,0,0.002377239268059349,0.0003511143949706237,0.6000773289062492,0.05,-0.029445714894250755,0.511156046443451,-0.0013439512651638418,0.0014057112414688094,0.002377239268059349,0.0003511143949706237
10,8,0.00013821384954638952,0.0017838590186004344,0,0,0.001974280659018478,0.0003267329631236634,0.630355724780422,0.05,-0.050169259310948115,0.4818213410624888,-0.0012526698338757374,0.0011956414989774261,0.001974280659018478,0.0003267329631236634
11,9,6.039919572802275e-05,0.0007370390463709843,0,0,0.0011573865390926115,0.0002610617187723761,0.7443067123407376,0.05,-0.061850318313137594,0.22945838995778742,-0.0005546236815803662,0.0004352300326252506,0.0011573865390926115,0.0002610617187723761
12,10,4.697124188375148e-05,0.00033544714846659796,0,0,0.0009576711933654502,0.00023968456986702555,0.7948512537970589,0.05,-0.038077765692827024,0.10987772848116674,-0.0002472468748016952,0.0002016585341162921,0.0009576711933654502,0.00023968456986702555
13,11,4.3730571035253164e-05,0.00010763296165853814,0,0,0.0008583427607847298,0.00022754603404476694,0.827191893368335,0.05,-0.011889789237546853,0.03783211321004252,-5.9334920880071794e-05,8.437480246595285e-05,0.0008583427607847298,0.00022754603404476694
14,12,4.351256728295908e-05,5.506724451440169e-05,0,0,0.0008325101931356382,0.0002239018469702589,0.8365849855262607,0.05,-0.002374452220964964,0.017373194126304073,-4.615719026630786e-06,5.3945849977871926e-05,0.0008325101931356382,0.0002239018469702589
15,13,4.350306613676326e-05,5.0780560825907515e-05,0,0,0.0008293978702487442,0.00022311007051847392,0.8376788659372367,0.05,-0.0011516036524036326,0.014778361429122693,2.2254610855786077e-06,5.011223449863422e-05,0.0008293978702487442,0.00022311007051847392
16,14,4.348939919763173e-05,4.766059473547503e-05,0,0,0.0008269960987310869,0.00022175281390052936,0.8384118901994391,0.05,0.0001158383360034996,0.012273459989392428,9.067529261328748e-06,4.636798117962311e-05,0.0008269960987310869,0.00022175281390052936
17,15,4.345027700764819e-05,4.5548074469983956e-05,0,0,0.0008240763647214351,0.00021759322044290728,0.8388587332166001,0.05,0.002505013104917161,0.007767558590342083,2.1773102057917865e-05,3.953251454498192e-05,0.0008240763647214351,0.00021759322044290728
18,16,4.3349555781554095e-05,5.21510875622489e-05,0,0,0.0008229552225361137,0.00020683700373085173,0.8372817285509675,0.05,0.006183574560667866,0.000769268562105966,4.1783579735398484e-05,2.892121289762189e-05,0.0008229552225361137,0.00020683700373085173
19,17,4.3013875131683465e-05,7.786422930322568e-05,0,0,0.0008310285077609464,0.0001761530676472191,0.8275622218980735,0.05,0.011030509803330205,-0.011136375165709417,7.380047589651289e-05,1.2264495484073728e-05,0.0008310285077609464,0.0001761530676472191
20,18,3.9201711572418514e-05,7.529384884076967e-05,0,0,0.0009528008021511093,4.749614005246407e-05,0.7330941907446236,0.05,-0.030402859877449367,0.0240691576271408,-3.322760144695401e-05,1.0447005506066843e-05,0.0009528008021511093,4.749614005246407e-05
21,19,0.0002513305240382294,0.0011758262602811645,0,0,0.00877217501128866,1e-08,0.05,0.05,-0.008215377144816953,12.072531647308693,-0.0011640576956360065,9.956492478589133e-07,0.00877217501128866,1e-08
22,19,3.402484059016565e-05,3.084486470434894e-05,0,0,0.0012892334753983232,1.4990893989462967e-05,0.6400437712252695,0.05,-0.007659455926178713,0.09045362865857594,-1.774022582357958e-05,1.0485311679623207e-05,0.0012892334753983232,1.4990893989462967e-05
23,20,0.0022188990924172794,0.0060426596157274574,0,0,0.07371574334132541,1e-08,0.05,0.05,0.024802876445825756,-0.06803643315931643,0.0043347399614361405,2.1412498823139124e-08,0.07371574334132541,1e-08
24,20,3.380524971151757e-05,3.6455847884256745e-05,0,0,0.0013419274587551243,1.3943930518009774e-05,0.6342020349791818,0.05,0.004349356476652161,0.07233796747896853,3.270156925362231e-05,8.580960895796917e-06,0.0013419274587551243,1.3943930518009774e-05
25,21,0.00302821122424611,0.006927433545482947,0,0,0.11124778541672178,1e-08,0.05,0.05,0.018833082798174135,-0.33852532258597695,0.004971527899947357,-3.3879569424342312e-09,0.11124778541672178,1e-08
26,21,3.380510665362041e-05,3.722352996763844e-05,0,0,0.0013425871967212423,1.3932702429415257e-05,0.6341370359058612,0.05,0.004500992250744435,0.07208354465712592,3.336776442754927e-05,8.557067550241496e-06,0.0013425871967212423,1.3932702429415257e-05
