evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.007374144457341952,-0.007709281727783144,5.6158495019384046e-08,1,9,0.0,0.0,1,,0.0004060420993129528,2.123350771165687e-05,2.030210496564764e-06,1.0616753855828437e-08
1,0,1,-2.0,-0.027210802909530558,-0.036966471480087734,4.758653462927903e-05,1,9,0.0,0.0,1,,0.030821733632316946,0.008549669041817965,0.0003082173363231694,8.549669041817968e-06
1,0,2,-3.0,-0.06202917813359604,-0.07888880317873365,0.00014212347833132086,1,9,0.0,0.0,1,,0.051414993100088714,0.04344245300952735,0.0007712248965013309,6.516367951429099e-05
1,0,3,-4.0,-0.10795054015085055,-0.11458708760035266,2.2021881024745737e-05,1,6,4.411785798537224e-06,5.05535916087152e-07,1,,0.013978722065161866,0.025054570618359535,0.0002795744413032373,5.0109141236719034e-05
1,0,4,-5.0,-0.13557069797477647,-0.13975572425354704,8.75722247700175e-06,1,8,0.0,0.0,1,,0.005364685667467134,0.015844184208696172,0.0001341171416866778,3.9610460521740366e-05
1,0,5,-6.0,-0.1532335800100144,-0.15603595194026373,3.926644217724806e-06,1,8,0.0,0.0,1,,0.0020797894066381375,0.008373827505753316,6.239368219914406e-05,2.5121482517259976e-05
1,0,6,-7.0,-0.16525636708079586,-0.16604475340592031,3.1077649882223583e-07,1,8,0.0,0.0,1,,0.00033596473320761784,0.0016038208641182999,1.1758765662266538e-05,5.613373024414024e-06
1,0,7,-8.0,-0.168345056302483,-0.17202159091063077,6.758453362455441e-06,1,8,0.0,0.0,1,,0.0009104665328876098,0.004619251570451395,3.641866131550342e-05,1.8477006281805625e-05
1,0,8,-9.0,-0.17577828688927494,-0.17556127504485528,2.3547070309223894e-08,1,7,0.0,0.0,1,,-3.2257064615651046e-05,-0.00015422937798047987,-1.4515679077043167e-06,-6.940322009121691e-07
1,0,9,-10.0,-0.177500655837663,-0.17769183546634792,1.8274825212270116e-08,1,7,0.0,0.0,1,,1.8208154405846405e-05,7.440218109244396e-05,9.104077202924068e-07,3.7201090546221313e-07
2,0,0,-1.0,-0.007374144457341952,-0.007573733418206437,1.9917876649481227e-08,1,9,0.0,0.0,1,,0.00022993294834846719,1.2199070241204376e-05,1.124425013983492e-06,5.910703600591432e-09
2,0,1,-2.0,-0.027210802909530558,-0.03661616895148921,4.423045519161495e-05,1,9,0.0,0.0,1,,0.030291386297780325,0.008325785930587708,0.0002962636951868413,8.068033367241238e-06
2,0,2,-3.0,-0.06202917813359604,-0.07853444761627847,0.00013621196034798903,1,9,0.0,0.0,1,,0.0515846413657322,0.04344958393530269,0.000756782290301765,6.315668500944011e-05
2,0,3,-4.0,-0.10795054015085055,-0.11432379327675204,2.030917770340587e-05,1,8,0.0,0.0,1,,0.01376432787522378,0.02469333310031853,0.0002692429192899536,4.7857736690020604e-05
