evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.0002575085042968453,0.001971605014499203,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.10273439916891747,0.10195198798496781,0.0015611276240476758,0.00019333005751671602,0.004999999999999999,0.0004999999999999999
2,0,0.00025363676447956115,0.0019530885109980732,0,0,0.004986401343024304,0.0004998648834966449,0.3984388723759523,0.2998066699424833,0.10205322617048836,0.1011053443637903,0.0015464148507810184,0.00019143994362728103,0.004986401343024304,0.0004998648834966449
3,1,6.386334703679362e-05,0.00022039447539180424,0,0,0.0037344340820934206,0.00048459726341760383,0.2343446427035829,0.280257098057327,-0.006506875965796352,-0.032376127123011286,-0.00019037614207257516,-8.885360212399752e-05,0.0037344340820934206,0.00048459726341760383
4,2,6.141996500305575e-05,8.243626810172723e-05,0,0,0.003784241047349918,0.000488343948187244,0.2520284268948379,0.28811158310791274,0.00662699704115814,-0.015458977025997805,-1.3987354187648643e-05,-5.4437946257875496e-05,0.003784241047349918,0.000488343948187244
5,3,6.0689171432885263e-05,8.303293777379837e-05,0,0,0.0037396190097890324,0.0004909157169200434,0.2560560644053867,0.2948912153060875,0.0075839427446543995,-0.013165873924409557,2.7733191022124683e-06,-4.8997072133485124e-05,0.0037396190097890324,0.0004909157169200434
6,3,5.847880238479928e-05,0.0001216683795046995,0,0,0.0035663308081211,0.0005013389441998445,0.2721666144475819,0.3220097440987864,0.011670946875614305,-0.003932396560378239,6.979920361232602e-05,-2.6935055139129013e-05,0.0035663308081211,0.0005013389441998445
7,4,5.4403991491958875e-05,0.00011363188235409148,0,0,0.003079925754089599,0.0005275603790628195,0.2994022318120821,0.39063240132092186,0.010107848936226725,0.005133758730988715,8.794757885404264e-05,3.4662022592438853e-07,0.003079925754089599,0.0005275603790628195
8,5,5.31008666999979e-05,1.8165347207004016e-05,0,0,0.0028562108861316477,0.0005356640328919151,0.3002005678156586,0.4320791608497709,0.000796788660652013,0.0009193101684552011,1.611071340592487e-05,-6.455942787495792e-06,0.0028562108861316477,0.0005356640328919151
9,6,5.3018868864569633e-05,1.2553762961365862e-05,0,0,0.0028123290323344746,0.0005374332603316847,0.29936058067696925,0.4439831659199549,-0.0014470848908083932,-7.046600551675943e-05,5.107471442965299e-07,-8.337682250776798e-06,0.0028123290323344746,0.0005374332603316847
10,7,5.297119342949252e-05,1.8241930212284466e-05,0,0,0.002799850960168769,0.0005381586468366843,0.2977362014985754,0.452510755982295,-0.0023430018978263887,-0.00032036417240002515,-5.066528314860841e-06,-8.875643570262317e-06,0.002799850960168769,0.0005381586468366843
11,8,5.2772994866179695e-05,3.606564082551091e-05,0,0,0.0027958694951485414,0.0005393745753418836,0.2881946537108336,0.4858530690226681,-0.004549971701127799,-0.000711914313562865,-1.8383780041871776e-05,-1.0197777723334657e-05,0.0027958694951485414,0.0005393745753418836
12,9,5.2372354408154184e-05,7.085353970252423e-05,0,0,0.0028629451176227488,0.0005394765002541876,0.25751797986469205,0.5728732889290072,-0.008126304789088067,-0.0007735919151690973,-4.508122703897247e-05,-1.0827578638605814e-05,0.0028629451176227488,0.0005394765002541876
13,10,5.198246332321013e-05,7.240763077143999e-05,0,0,0.0029802000582947854,0.0005358990439714927,0.23647989099301223,0.6169080957599211,-0.00774726141613083,0.0004985844363541196,-4.8351975274347445e-05,-8.847062451107716e-06,0.0029802000582947854,0.0005358990439714927
14,11,5.084934999064686e-05,4.1259067195785204e-05,0,0,0.003454817595801372,0.0004721720941722209,0.1848846625653401,0.7141883472861825,-0.003010873742459088,0.006697116871389943,-3.278485373833512e-05,-8.785514341475403e-07,0.003454817595801372,0.0004721720941722209
15,12,5.031342038886587e-05,2.7960976426194788e-05,0,0,0.0036681839509354114,0.00042119112121160316,0.182883052712671,0.7057982078462424,0.002142075102311592,0.011223131993576331,1.8010260238575683e-05,3.410452501371588e-06,0.0036681839509354114,0.00042119112121160316
16,13,5.014990430577735e-05,2.9482874156512126e-05,0,0,0.0037690785082232217,0.00039282729290857917,0.17714778455680963,0.7148581210403273,0.002500885239830098,0.01116956764575402,1.7136114335480635e-05,1.5643276226255197e-06,0.0037690785082232217,0.00039282729290857917
17,14,4.981703397726579e-05,0.00022507307219672834,0,0,0.004724947255861028,0.00011463270824755626,0.14951432521239383,0.95,0.013500484763366296,0.05806188764920868,0.00016976143222787276,5.5138107255097125e-06,0.004724947255861028,0.00011463270824755626
18,15,4.913025627040822e-05,7.224742316440703e-05,0,0,0.004878000207959447,9.712603777026599e-05,0.11931957570065972,0.95,0.001114765194494981,-0.05432843021545665,-5.8796703246113236e-05,-3.81868696613891e-05,0.004878000207959447,9.712603777026599e-05
19,16,4.671847085430291e-05,3.466407924650835e-05,0,0,0.00430975859687983,0.00012297912967723185,0.15097039404540824,0.95,0.002817719454819155,0.004034528627474026,1.1533663459324308e-05,-1.689381534953843e-05,0.00430975859687983,0.00012297912967723185
20,17,4.630110717395842e-05,2.1497502619770193e-05,0,0,0.0039789606343303375,0.00012723403991322352,0.17032297564959825,0.95,0.0008975572280671111,0.004349413561553738,8.134421564925397e-06,-1.8075592565913525e-05,0.0039789606343303375,0.00012723403991322352
21,18,4.628647425604266e-05,2.013644452321536e-05,0,0,0.003923526476185682,0.00012608004684339224,0.1734941293161047,0.95,-2.9886097049466843e-05,0.0006076942251177965,-1.1641767884250836e-07,-2.0133524823184618e-05,0.003923526476185682,0.00012608004684339224
