phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.003622400916858314
-2,-0.02789442154196056,-0.02501463527496904
-3,-0.06129697453964553,-0.06688326308006938
-4,-0.108061083948832,-0.1061631712439276
-5,-0.1354812639890666,-0.1345339814426045
-6.5,-0.1593150309425325,-0.1594908972157195
-8,-0.1716718651389106,-0.1712647384100378
-10,-0.1735978669086523,-0.1775666412934024
-13,-0.1808074919500438,-0.1806649606527783
-17,-0.1820896560953913,-0.1825055701790909
-22,-0.1891036002732425,-0.1841269562105881
-28,-0.1832562407713948,-0.1856867104093367
-35,-0.1885126321939949,-0.1872097460809644
-41,-0.1859119715816313,-0.1883777305719189
-46.5,-0.1886093566851096,-0.1893837394470863
