evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.007709281712261464,8.532811497559976e-08,1,9,0.0,0.0,1,,-0.0005005084588235427,-2.617202747467062e-05,-2.5025422941177122e-06,-1.3086013737335301e-08
1,0,1,-2.0,-0.02789442154196056,-0.036966471475032486,4.1151044994073605e-05,1,9,0.0,0.0,1,,0.028647850385604783,0.007950122086927292,0.00028647850385604776,7.95012208692729e-06
1,0,2,-3.0,-0.061296974539645534,-0.07888880317990819,0.000154736217454184,1,9,0.0,0.0,1,,0.053647915357134285,0.045329133674911114,0.0008047187303570147,6.799370051236655e-05
1,0,3,-4.0,-0.10806108394883196,-0.11458703931177758,2.1294046699579154e-05,1,9,0.0,0.0,1,,0.0137232313823487,0.024582992917743834,0.000274464627646974,4.916598583548766e-05
1,0,4,-5.0,-0.13548126398906657,-0.13975572346111978,9.135501889113892e-06,1,8,0.0,0.0,1,,0.005479184452990495,0.016185617242024344,0.0001369796113247625,4.046404310506092e-05
1,0,5,-6.5,-0.15931503094253247,-0.16166968083605263,2.7721880605286906e-06,1,8,0.0,0.0,1,,0.0013239715004610372,0.0058948272190815654,4.302907376498397e-05,1.9158188462015103e-05
1,0,6,-8.0,-0.1716718651389106,-0.17202159533963393,6.115560664956905e-08,1,8,0.0,0.0,1,,8.607374835522122e-05,0.0004267481326633728,3.4429499342088514e-06,1.7069925306534617e-06
1,0,7,-10.0,-0.17359786690865228,-0.17769183727380394,8.380296675364332e-06,1,8,0.0,0.0,1,,0.0003885393303502975,0.0016510069999991891,1.94269665175147e-05,8.255034999996018e-06
1,0,8,-13.0,-0.18080749195004384,-0.18062026861919553,1.75262878070765e-08,1,7,0.0,0.0,1,,-7.756533947182455e-06,-8.973258725090582e-06,-5.041747065667683e-07,-5.832618171308362e-08
1,0,9,-17.0,-0.1820896560953913,-0.1824211074803217,5.4930010286325246e-08,1,7,0.0,0.0,1,,9.22004655217692e-06,-5.924020025507822e-06,7.837039569348777e-07,-5.03541702167993e-08
1,0,10,-22.0,-0.18910360027324252,-0.1840271546388302,1.2885150139569803e-05,1,6,7.325604727906038e-08,1.3481102928425415e-08,1,,-9.925670316126191e-05,9.394691874414219e-05,-1.0918237347731595e-05,1.033416106184463e-06
1,0,11,-28.0,-0.18325624077139477,-0.18560178928813542,2.7507989221923994e-06,1,6,4.2804580905309837e-08,7.944606805754262e-09,1,,3.142437284314834e-05,-6.34754514273338e-05,4.399412198039103e-06,-8.886563199827908e-07
1,0,12,-35.0,-0.18851263219399492,-0.18716342540666425,9.101794774888551e-07,1,5,3.669124650234144e-07,6.867259377818513e-08,1,,-1.0741785694579094e-05,4.605439899393081e-05,-1.8798124965520357e-06,8.059519823937196e-07
1,0,13,-41.0,-0.1859119715816313,-0.1883547412712485,2.9835618782589194e-06,1,5,4.1330346046685775e-07,7.784769853746987e-08,1,,1.2564044653597823e-05,-8.210886306594291e-05,2.5756291539866512e-06,-1.6832316928519525e-06
1,0,14,-46.5,-0.18860935668510956,-0.18937167000974076,2.905608024540345e-07,1,5,1.4026748004644627e-06,2.656268694445352e-07,1,,2.7253399826055807e-06,-2.1939086187241376e-05,6.33641545956474e-07,-5.100837538533281e-07
2,0,0,-1.0,-0.008122387304030951,-0.0016120069666582546,2.119252606862437e-05,1,9,0.0,0.0,1,,-0.013902155092457855,-0.0001414363721465802,-9.954676485650615e-06,-3.1334770397699427e-09
2,0,1,-2.0,-0.02789442154196056,-0.015586073958140762,7.574771012206345e-05,1,9,0.0,0.0,1,,-0.18038587123037028,-0.01768181863205251,-0.0002583316009263564,-7.83469935830825e-07
2,0,2,-3.0,-0.061296974539645534,-0.055295457553302084,1.8009103068684064e-05,1,9,0.0,0.0,1,,-0.1402678018839274,-0.07186776821491386,-0.00030131743887651434,-4.776621420285473e-06
2,0,3,-4.0,-0.10806108394883196,-0.09792622370526062,5.1357696078361736e-05,1,9,0.0,0.0,1,,-0.18866796462744315,-0.3097751303029694,-0.0005403848651037672,-2.7451870931477845e-05
2,0,4,-5.0,-0.13548126398906657,-0.1294863334575278,1.7969596038986176e-05,1,9,0.0,0.0,1,,-0.07115302647706598,-0.28286289659497543,-0.0002547466039773906,-3.133367953487226e-05
2,0,5,-6.5,-0.15931503094253247,-0.1573669613997928,1.8974874716737556e-06,1,8,0.0,0.0,1,,-0.009914908605969656,-0.09572818264250767,-4.614738469361426e-05,-1.3785374835400465e-05
2,0,6,-8.0,-0.1716718651389106,-0.17052763378845978,6.546326916753602e-07,1,8,0.0,0.0,1,,-0.0023549854617276353,-0.03491425478336212,-1.3490350665201408e-05,-6.18811209953616e-06
2,0,7,-10.0,-0.17359786690865228,-0.17745647037914683,7.444410371250931e-06,1,8,0.0,0.0,1,,0.002632688925006754,0.04213237645070471,1.885144163728706e-05,9.334291613645592e-06
2,0,8,-13.0,-0.18080749195004384,-0.18071612299977224,4.174142536919579e-09,1,7,0.0,0.0,1,,-2.2904687950335783e-05,-0.00019713946696952003,-2.1321254448977063e-07,-5.6778293957063227e-08
2,0,9,-17.0,-0.1820896560953913,-0.1825925553451433,1.2645382770084036e-07,1,7,0.0,0.0,1,,7.696391831997155e-05,0.0002549197008085012,9.368738406686014e-07,9.60102786494243e-08
2,0,10,-22.0,-0.18910360027324252,-0.18422132628366353,1.1918299654657763e-05,1,6,2.483349753444668e-08,4.574859852057855e-09,1,,-0.0004561810141290751,-0.0003375964608507262,-7.186292805368922e-06,-1.645454867094403e-07
2,0,11,-28.0,-0.18325624077139477,-0.18575146545091478,3.1130731006431552e-06,1,6,5.491088050707719e-08,1.0199776523389659e-08,1,,0.00012411571263571715,-0.0013842903092934707,2.4884551510217404e-06,-8.587181032149373e-07
2,0,12,-35.0,-0.18851263219399492,-0.18723773156321832,8.126858091766051e-07,1,6,0.0,0.0,1,,-3.475278834902914e-05,0.0009119014494290919,-8.709690471780392e-07,7.071008495433387e-07
2,0,13,-41.0,-0.1859119715816313,-0.18839195847087187,3.0751674854052874e-06,1,5,2.1388909042165956e-07,4.02949932587493e-08,1,,4.359350121473152e-05,-0.0013323573176531164,1.2798251164585833e-06,-1.210235747786935e-06
2,0,14,-46.5,-0.18860935668510956,-0.18939222576576778,3.064419987241947e-07,1,5,2.45533851394111e-07,4.6502202616371946e-08,1,,9.036553501902645e-06,-0.0002869177575676073,3.00885180876981e-07,-2.955805068229584e-07
3,0,0,-1.0,-0.008122387304030951,-0.003635590266234653,1.0065673829188716e-05,1,7,0.0,0.0,1,,-0.0077500830388706945,-0.00018136517153116575,-1.4668704211335791e-05,-1.9097506828784034e-08
3,0,1,-2.0,-0.02789442154196056,-0.025106103078184307,3.887359927718261e-06,1,10,0.0,0.0,1,,-0.02006223094127338,-0.003487317703387269,-7.594420086108658e-05,-7.344196583315165e-07
