evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.005811162777964344,-0.0023587991448671825,5.959407327565967e-06,1,10,3.0936866928191907e-06,7.297408101403224e-09,1,,-0.0007922603697182148,-1.746282312410876e-05
1,0,1,-2.357142857142857,-0.005974064898636422,-0.007737466626196378,1.5548039995914805e-06,1,10,5.76724949146047e-06,4.4624157823774935e-08,1,,0.0012796426822192927,5.7220484883494234e-05
1,0,2,-3.7142857142857144,0.003125533943907826,-0.01856340274457293,0.00023520527617880608,1,11,3.7135449418329163e-06,6.893628636331361e-08,1,,0.03649539426219999,0.0032955857429892966
1,0,3,-5.071428571428571,-0.006207163048749283,-0.03968201961344908,0.0005602831711495788,1,12,1.0534939057254845e-06,4.1804809870760185e-08,1,,0.10712457976096555,0.020909042003551873
1,0,4,-6.428571428571429,-0.01158881227697504,-0.07523461710785756,0.002025391926548024,1,11,2.639199926550713e-07,1.9855924834888405e-08,1,,0.30655074949018374,0.14160904063901567
1,0,5,-7.7857142857142865,-0.025026392834663787,-0.12226663817140926,0.004727803686585707,1,11,4.692356987202888e-06,5.737187139254196e-07,1,,0.5131214768972281,0.6335525099495023
1,0,6,-9.142857142857142,-0.05269317406115371,-0.1704091606171076,0.006928385174889189,1,10,9.341741732899054e-06,1.5919183674051318e-06,1,,0.4909217869463986,1.788868823098985
1,0,7,-10.5,-0.0882162609813168,-0.21366894875922113,0.007868998774681528,1,10,2.229416087007138e-06,4.763569916577115e-07,1,,0.3256998208268259,3.543897508405745
1,0,8,-11.857142857142858,-0.13671372542749854,-0.2543140948902393,0.0069148774624474005,1,11,3.4500905053769224e-06,8.774096713071167e-07,1,,0.16674637508285164,4.921419413436373
1,0,9,-13.214285714285715,-0.17290748877088274,-0.29445485528541837,0.007386884565915028,1,11,4.0866787746999716e-06,1.2033473248962423e-06,1,,0.08800517211494861,5.9249512975971745
1,0,10,-14.571428571428573,-0.2058941561705718,-0.3311135680157236,0.007839963919280844,1,11,1.903362169142822e-06,6.30230238607421e-07,1,,0.04415400767157512,5.575603580336631
1,0,11,-15.928571428571429,-0.22196567374366694,-0.35970429792542086,0.009485988250078022,1,10,1.8967754906704467e-06,6.822795903249634e-07,1,,0.022670384410692006,4.533048858233906
1,0,12,-17.285714285714285,-0.25258719785485,-0.3787790780267445,0.00796220459731171,1,10,5.886633737098114e-07,2.2297350121824877e-07,1,,0.009365043261111705,2.6274086728049313
1,0,13,-18.642857142857142,-0.28087475611346674,-0.39011263582906597,0.005966476060307886,1,9,9.87991596833404e-07,3.8542838681765446e-07,1,,0.0035697280544515026,1.3033302506808362
1,0,14,-20.0,-0.31732709049474683,-0.3963727136562428,0.003124098398510503,1,9,0.0,0.0,1,,0.001121322655136095,0.510397343044123
2,0,0,-1.0,-0.005811162777964344,-0.0021118781563850006,6.842353355726767e-06,1,10,2.8931800165936393e-06,6.110061357041119e-09,1,,-0.0008527062129052519,-1.6773349845914754e-05
2,0,1,-2.357142857142857,-0.005974064898636422,-0.006942692769408111,4.691252226499831e-07,1,10,5.4370488017495285e-06,3.7747964640351406e-08,1,,0.0006855414618647573,2.8183703988391383e-05
2,0,2,-3.7142857142857144,0.003125533943907826,-0.01673735718094275,0.00019726746353566685,1,11,3.6802371746887063e-06,6.159767079738643e-08,1,,0.03405038579251225,0.0027320011965302287
2,0,3,-5.071428571428571,-0.006207163048749283,-0.03612617240806982,0.0004475737790427947,1,12,1.3077672247923238e-06,4.724468601752241e-08,1,,0.0995235679915754,0.017141905045198778
2,0,4,-6.428571428571429,-0.01158881227697504,-0.06960008596780247,0.0016826524858523939,1,12,4.2197549174894804e-07,2.9369530502032504e-08,1,,0.3006276807410774,0.12116120194287779
2,0,5,-7.7857142857142865,-0.025026392834663787,-0.11534362142461459,0.004078579044682258,1,11,4.033508961106057e-06,4.652395306226076e-07,1,,0.5353048221524849,0.5705085537412179
2,0,6,-9.142857142857142,-0.05269317406115371,-0.16328353662274192,0.006114993302608926,1,10,9.712039365265814e-06,1.5858161353798916e-06,1,,0.5375027057296248,1.6919080783146314
2,0,7,-10.5,-0.0882162609813168,-0.20620527357909046,0.006960331378267384,1,9,8.334196336986564e-06,1.7185552357301681e-06,1,,0.36473863570705733,3.5000025899274085
2,0,8,-11.857142857142858,-0.13671372542749854,-0.24589797936581512,0.0059604841980727885,1,10,5.794560660388864e-06,1.4248790142501466e-06,1,,0.1861212250112835,5.041786453787115
