evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.00031594301173800386,0.0013701909829846278,0,0,0.003000000000000001,0.0001,0.19792170858078453,0.39331612029248414,0.003000000000000001,0.0001
2,0,0.00031406605620972725,0.001365465335611048,0,0,0.0029905706034504265,9.997914895418282e-05,0.19785923410999792,0.3928380898137699,0.0029905706034504265,9.997914895418282e-05
3,1,4.127882923109108e-05,2.601642252845512e-05,0,0,0.001205391698238529,9.084583789869509e-05,0.00553981329470042,0.10032784287562707,0.001205391698238529,9.084583789869509e-05
4,2,4.1115517315301465e-05,1.9494654336728843e-05,0,0,0.0011920886369802303,8.950543628147281e-05,-0.0007361567310892128,0.0940816285958865,0.0011920886369802303,8.950543628147281e-05
5,3,4.0803553697122144e-05,2.8443064415621473e-05,0,0,0.0011790517813721896,8.542599648306486e-05,-0.008380343963758285,0.08678033896432293,0.0011790517813721896,8.542599648306486e-05
6,4,4.0021065280417053e-05,5.421293179765396e-05,0,0,0.0011672120732640057,7.387981398828654e-05,-0.01959191600880447,0.07584214218138147,0.0011672120732640057,7.387981398828654e-05
7,5,3.833164625785177e-05,7.918431049434591e-05,0,0,0.0011725258937570772,5.1823775468611324e-05,-0.029197428381194157,0.0628447971295701,0.0011725258937570772,5.1823775468611324e-05
8,6,3.5178725208572116e-05,6.410654532862062e-05,0,0,0.0012260630263465574,2.3881134411374735e-05,-0.022679187150890807,0.058443797294490986,0.0012260630263465574,2.3881134411374735e-05
9,7,3.323767269004231e-05,1.611544777321658e-05,0,0,0.001320634912425617,8.86124897777299e-06,0.005264637553230382,0.0905879389807406,0.001320634912425617,8.86124897777299e-06
10,8,3.3141348983116825e-05,2.0005285003154858e-05,0,0,0.0013271716559005887,7.390952723755784e-06,0.006527660185115155,0.08886131645910439,0.0013271716559005887,7.390952723755784e-06
11,9,3.292245885562909e-05,1.502370855733411e-05,0,0,0.0013300215670585668,4.490903873101155e-06,0.004900187689557637,0.06898133737576734,0.0013300215670585668,4.490903873101155e-06
12,10,3.2825596552887206e-05,4.368410978493239e-06,0,0,0.0013253031349797673,3.0633955581830882e-06,0.0014276728132742481,0.04527945438971231,0.0013253031349797673,3.0633955581830882e-06
13,11,3.2794118450661014e-05,2.42382899968816e-07,0,0,0.0013242813635583627,2.2054251399380825e-06,6.655320285966964e-05,0.02609878842681649,0.0013242813635583627,2.2054251399380825e-06
