evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.007374144457341946,-0.006079775910848922,8.376949670752388e-07,1,11,3.3186877850806584e-06,2.0176945012342906e-08,1,,-0.0021443936393421704,-8.595916807653973e-05
1,0,1,-2.0,-0.027210802909530568,-0.03574991769852719,3.645836136511136e-05,1,11,5.7093952517099175e-06,2.0411157571065264e-07,1,,0.04471400418139609,0.01204714580730065
1,0,2,-3.0,-0.06202917813359569,-0.080642148999828,0.00017322219709938526,1,11,2.8345450539346636e-06,2.285844525190539e-07,1,,0.09592611916247704,0.09641613931973002
1,0,3,-4.0,-0.10795054015085105,-0.1176666517558837,4.7202628771712126e-05,1,10,2.862513055492463e-06,3.3682329100837016e-07,1,,0.03421238941517413,0.09120226520535338
1,0,4,-5.0,-0.13557069797477783,-0.14279289918481927,2.608051050198238e-05,1,10,8.673158559097334e-07,1.2384665298847963e-07,1,,0.01516687763079925,0.08382625368879056
1,0,5,-6.0,-0.15323358001001194,-0.1585700958592685,1.4239644766434737e-05,1,9,9.470480141542114e-07,1.5017363660940752e-07,1,,0.006233086054039666,0.05732278906163999
1,0,6,-7.0,-0.16525636708079527,-0.16801405021912283,3.8025276068668527e-06,1,9,4.1596268544555804e-07,6.988760459236687e-08,1,,0.0017424198320922474,0.021921248161091332
1,0,7,-8.0,-0.1683450563024825,-0.17349037357147234,1.3237629505203846e-05,1,8,7.052030642274545e-07,1.2234602933536287e-07,1,,0.0017803745739989076,0.026371853238289066
1,0,8,-9.0,-0.17577828688927513,-0.17663808545957513,3.696972241941061e-07,1,8,5.068212921252597e-07,8.952398808381723e-08,1,,0.00017012357200556013,0.0025866111798950146
1,0,9,-10.0,-0.17750065583766286,-0.17849266566864327,4.921199300379689e-07,1,8,4.2785618753645647e-07,7.636922411125013e-08,1,,0.00012070779814386396,0.001707773798470718
2,0,0,-1.0,-0.007374144457341946,-0.0060636603663034834,8.586842764324601e-07,1,11,3.3113957053781335e-06,2.0079245386175892e-08,1,,-0.0021732826810287884,-8.686214689269416e-05
2,0,1,-2.0,-0.027210802909530568,-0.03570026957804277,3.603564178998889e-05,1,11,5.708711780433178e-06,2.0380371296147004e-07,1,,0.044575506683361944,0.011984545535942715
2,0,2,-3.0,-0.06202917813359569,-0.08059331340348411,0.00017231441031275135,1,11,2.834900891575069e-06,2.2847470372566736e-07,1,,0.09600014291283357,0.09632460136644794
2,0,3,-4.0,-0.10795054015085105,-0.11763311414484606,4.687732985456004e-05,1,10,2.8614180168594356e-06,3.365984753422868e-07,1,,0.034215087485810466,0.09105171675071276
2,0,4,-5.0,-0.13557069797477783,-0.14277279021976533,2.593547968131101e-05,1,10,8.6660042202677e-07,1.2372706748031703e-07,1,,0.015178291072241957,0.08372659607682313
2,0,5,-6.0,-0.15323358001001194,-0.1585588350918672,1.4179613711269676e-05,1,9,9.471583464975764e-07,1.5018046631287696e-07,1,,0.006241910918938589,0.057276329792477466
2,0,6,-7.0,-0.16525636708079527,-0.16800790934768364,3.7856119288720504e-06,1,9,4.1693586924911554e-07,7.004855293035739e-08,1,,0.0017446984234454398,0.02189507498251095
2,0,7,-8.0,-0.1683450563024825,-0.1734870011920182,1.3220284327035122e-05,1,8,7.071059833862355e-07,1.2267378332597723e-07,1,,0.0017855325422356952,0.026376958295570935
2,0,8,-9.0,-0.17577828688927513,-0.17663616257980458,3.6804587619565983e-07,1,8,5.085923963251341e-07,8.98358548939715e-08,1,,0.0001703499608349471,0.0025825673223008406
