evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,grad_0,effective_k0_0,k0_1,grad_1,effective_k0_1
1,0,0.07016236858743588,0.0869793612771739,0,0,0.01,2.089554335767961,0.01,0.001,31.46904752640849,0.001
2,0,0.06279237999795742,0.08246788365354142,0,0,0.008951302488578965,2.2176170578083036,0.008951302488578965,0.0008463302038749907,35.223812033538884,0.0008463302038749907
3,1,6.646478471523907e-05,0.00233863796726339,0,0,0.0010930585160950012,-0.46887286184008675,0.0010930585160950012,4.2101387972606985e-05,-20.827544567386973,4.2101387972606985e-05
4,2,4.820452778029209e-06,0.0005692993622971273,0,0,0.0011525839188553824,0.018391153286297732,0.0011525839188553824,4.586756078282965e-05,-5.370532410666749,4.586756078282965e-05
5,3,1.0732944179327752e-07,7.809550388955503e-05,0,0,0.0011483842128956411,0.02784287077496379,0.0011483842128956411,4.749085378528251e-05,-0.23820001348311787,4.749085378528251e-05
6,4,2.0358101427500348e-09,4.592215613523616e-06,0,0,0.0011436317353152807,-0.0015523004761425268,0.0011436317353152807,4.7603103566043035e-05,-0.019091902273758024,4.7603103566043035e-05
7,5,2.9733995745094227e-09,1.825494272293206e-06,0,0,0.001143842472904028,0.00033087274903148615,0.001143842472904028,4.760768900587958e-05,0.014632796533489232,4.760768900587958e-05
8,5,2.083122105695251e-09,4.682112567303555e-06,0,0,0.0011436449636358721,-0.0016049839314334299,0.0011436449636358721,4.760339141297216e-05,-0.01838077036037368,4.760339141297216e-05
9,5,2.0387447696552802e-09,4.597767618700097e-06,0,0,0.0011436325685901,-0.001555619130207246,0.0011436325685901,4.760312169806637e-05,-0.019047106344594913,4.760312169806637e-05
10,5,2.035997203154164e-09,4.5925694140122465e-06,0,0,0.0011436317884823105,-0.0015525122267511626,0.0011436317884823105,4.760310472295546e-05,-0.01908904405457889,4.760310472295546e-05
11,5,2.0358220871256244e-09,4.592238187112908e-06,0,0,0.0011436317387103568,-0.0015523139903807913,0.0011436317387103568,4.760310363991977e-05,-0.0190917197650538,4.760310363991977e-05
12,5,2.0358109054356467e-09,4.592217065690932e-06,0,0,0.0011436317355320897,-0.001552301343912443,0.0011436317355320897,4.760310357076078e-05,-0.019091890608539854,4.760310357076078e-05
13,5,2.035810191397888e-09,4.592215703004354e-06,0,0,0.0011436317353291268,-0.00155230052982963,0.0011436317353291268,4.760310356634434e-05,-0.019091901544781263,4.760310356634434e-05
14,5,2.035810145856604e-09,4.592215634283678e-06,0,0,0.001143631735316166,-0.0015523004857330555,0.001143631735316166,4.760310356606231e-05,-0.01909190223925649,4.760310356606231e-05
15,5,2.0743803644261706e-09,4.665094823590113e-06,0,0,0.0011436424995115684,-0.0015950100486376152,0.0011436424995115684,4.760333294425494e-05,-0.018521380216423473,4.760333294425494e-05
16,5,2.0382004550356113e-09,4.59671650605569e-06,0,0,0.0011436324107315014,-0.0015549803719073657,0.0011436324107315014,4.760311795876632e-05,-0.019056103622414524,4.760311795876632e-05
17,5,2.0359615714096248e-09,4.59250067029586e-06,0,0,0.0011436317781370962,-0.0015524703782914724,0.0011436317781370962,4.760310447855088e-05,-0.01908963261316784,4.760310447855088e-05
18,5,2.035819749147452e-09,4.592233716113193e-06,0,0,0.0011436317380319866,-0.0015523112634966136,0.0011436317380319866,4.760310362393444e-05,-0.019091758270897596,4.760310362393444e-05
19,5,2.0358107522111386e-09,4.592216758120122e-06,0,0,0.0011436317354876421,-0.0015523011586804334,0.0011436317354876421,4.7603103569715986e-05,-0.019091893146621786,4.7603103569715986e-05
