evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.011641343829378623,-0.0023587991448671825,4.3082817909975884e-05,1,10,3.0936866928191907e-06,7.297408101403224e-09,1,,-0.0021425049887437886,-4.698931816917847e-05
1,0,1,-2.357142857142857,-0.004296491949389814,-0.007737466626196378,5.9201751657888275e-06,1,10,5.76724949146047e-06,4.4624157823774935e-08,1,,0.0025316203229027623,0.0001118286719114138
1,0,2,-3.7142857142857144,-0.010425100950570046,-0.01856340274457293,3.3116086426247255e-05,1,11,3.7135449418329163e-06,6.893628636331361e-08,1,,0.013671657360903113,0.0012362055664496055
1,0,3,-5.071428571428571,0.0030646820604026195,-0.03968201961344908,0.0009136404564869618,1,12,1.0534939057254845e-06,4.1804809870760185e-08,1,,0.1367958755009885,0.026700414724101056
1,0,4,-6.428571428571429,-0.002344549770112888,-0.07523461710785756,0.0026564783130342048,1,11,2.639199926550713e-07,1.9855924834888405e-08,1,,0.35107587134749174,0.1621771188480385
1,0,5,-7.7857142857142865,-0.01736073170891072,-0.12226663817140926,0.0055025933515986175,1,11,4.692356987202888e-06,5.737187139254196e-07,1,,0.5535720886347464,0.6834969923949938
1,0,6,-9.142857142857142,-0.056606400201682325,-0.1704091606171076,0.006475397274799301,1,10,9.341741732899054e-06,1.5919183674051318e-06,1,,0.47460193394318,1.7294009465221336
1,0,7,-10.5,-0.10516003701971971,-0.21366894875922113,0.0058869279187067,1,10,2.229416087007138e-06,4.763569916577115e-07,1,,0.2817099197543589,3.0652491001567874
1,0,8,-11.857142857142858,-0.15177674053791357,-0.2543140948902393,0.005256914422598114,1,11,3.4500905053769224e-06,8.774096713071167e-07,1,,0.14538835103233883,4.2910501226941875
1,0,9,-13.214285714285715,-0.1411870115178984,-0.29445485528541837,0.011745520269773053,1,11,4.0866787746999716e-06,1.2033473248962423e-06,1,,0.11097206556102489,7.471198203942476
1,0,10,-14.571428571428573,-0.19527456681451125,-0.3311135680157236,0.009226131625228302,1,11,1.903362169142822e-06,6.30230238607421e-07,1,,0.04789861103003215,6.048458140848258
1,0,11,-15.928571428571429,-0.21222610473831807,-0.35970429792542086,0.010874934381025417,1,10,1.8967754906704467e-06,6.822795903249634e-07,1,,0.02427341693603939,4.853582671295887
1,0,12,-17.285714285714285,-0.26113211605052195,-0.3787790780267445,0.006920412488936846,1,10,5.886633737098114e-07,2.2297350121824877e-07,1,,0.008730901969383168,2.449497233080239
1,0,13,-18.642857142857142,-0.2967123437779395,-0.39011263582906597,0.00436182341857769,1,9,9.87991596833404e-07,3.8542838681765446e-07,1,,0.0030521298406001296,1.1142967120736729
1,0,14,-20.0,-0.3153992890607881,-0.3963727136562428,0.003278340705776422,1,9,0.0,0.0,1,,0.0011486700238278293,0.5228451646012218
2,0,0,-1.0,-0.011641343829378623,-0.002107761845142721,4.544459272507376e-05,1,10,2.8927844271742038e-06,6.097318280048197e-09,1,,-0.0022091163659122472,-4.317253035178215e-05
