evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0021505553151926235,0.0057671520036152195,0,0,0.003000000000000001,0.0001,-0.5419870978145555,19.05120174799985,0.003000000000000001,0.0001
2,0,0.0021176871961384814,0.005634549141728576,0,0,0.0030259738385618835,9.899500882287256e-05,-0.5224430698520077,18.86803064759659,0.0030259738385618835,9.899500882287256e-05
3,1,0.0012498534656120285,0.0017611602318456784,0,0,0.004095995907042765,5.9703718259462724e-05,-0.04049409232566334,12.506113867389503,0.004095995907042765,5.9703718259462724e-05
4,2,0.0010449233937399002,0.0011624717201135291,0,0,0.004230131540285489,4.245783263760771e-05,0.03967040112177899,11.21463813249475,0.004230131540285489,4.245783263760771e-05
5,3,0.0007340552934956052,0.000991247174614854,0,0,0.0035920719654669543,1.9429767408481837e-05,0.1014373592125002,11.799254302140644,0.0035920719654669543,1.9429767408481837e-05
6,4,0.0003480068445884052,0.00034946113289402724,0,0,0.001908261804487227,4.464031956511107e-06,0.06169175239610382,21.457214164097113,0.001908261804487227,4.464031956511107e-06
7,5,0.00027176685568005334,0.0002169230179881419,0,0,0.0013178321151387958,1.7625652451346358e-06,-0.05847221993096844,30.75001133069163,0.0013178321151387958,1.7625652451346358e-06
8,6,0.00026166543773205515,0.00023274058773006183,0,0,0.0012561051434764178,1.3051358840992216e-06,-0.07362334483042388,31.25932513287312,0.0012561051434764178,1.3051358840992216e-06
9,7,0.00024202790499775137,0.00011004404075258888,0,0,0.0012943703837094266,7.033589036796023e-07,-0.03383089228432493,27.217906524100805,0.0012943703837094266,7.033589036796023e-07
10,8,0.00023353597158309766,3.688258292049938e-05,0,0,0.0013302963486184992,4.0756344235244043e-07,-0.00925539769111098,25.139278790440365,0.0013302963486184992,4.0756344235244043e-07
11,9,0.0002285856240236934,1.3227805389894035e-05,0,0,0.0013373515239693788,2.1330124978588902e-07,-0.001123457508857023,25.99520795752701,0.0013373515239693788,2.1330124978588902e-07
12,10,0.00022532414374340382,1.2448091315295913e-05,0,0,0.0013236719359967179,9.6898710255966e-08,-0.0033157465715257977,32.57501286051915,0.0013236719359967179,9.6898710255966e-08
13,11,0.00022281196080387803,2.6839365951219108e-05,0,0,0.001350216813395517,3.397927111464357e-08,0.008503897511813388,59.06496517546427,0.001350216813395517,3.397927111464357e-08
14,12,0.0005115092063992548,0.0028843203893108163,0,1,0.0013351104911595944,1e-08,-0.9382325963742855,78.59279208943977,0.0006693822037697673,1.8319581899701414e-06
15,12,0.00022280808096995834,2.690206635942163e-05,0,0,0.0013501939065014557,3.3916657446338365e-08,0.008524628603697161,59.147978412010396,0.0013501939065014557,3.3916657446338365e-08
16,12,0.00022159836101120394,1.9471903477079053e-05,0,0,0.0013426310176924447,1.841647562546603e-08,0.006151742694596973,98.54061090676154,0.0013426310176924447,1.841647562546603e-08
17,13,0.000519161482232216,0.0029316207339342595,0,1,0.0013170259821003673,1e-08,-0.9667132421011637,79.89731968021171,0.0006603275336799531,1.8195426297695295e-06
18,13,0.00022159744374826066,1.942850956740423e-05,0,0,0.00134261220187215,1.8408292178689404e-08,0.006137465184431933,98.58160388522863,0.00134261220187215,1.8408292178689404e-08
19,13,0.00022100630079316727,5.756026068860098e-06,0,0,0.0013297575545002948,1.3567716159578752e-08,0.0013202439268285653,131.16283212238815,0.0013297575545002948,1.3567716159578752e-08
