phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.003103190436076125,0.001789441175982866,-0.003098757536253949
-2,-0.02789442154196056,-0.02373391775205141,-0.02120650459008381,-0.02349383088112377
-3,-0.06129697453964553,-0.06644024027564513,-0.06630909840075078,-0.06429411070923992
-4,-0.108061083948832,-0.1065082802439031,-0.0996292223073795,-0.09975006867068667
-5,-0.1354812639890666,-0.1350741347200312,-0.1239665942040159,-0.1218977742419802
-6.5,-0.1593150309425325,-0.1599283463874726,-0.1380865242451343,-0.1375411122766593
-8,-0.1716718651389106,-0.171579507134333,-0.1430134434584222,-0.1439674843529614
-10,-0.1735978669086523,-0.1777675106836627,-0.1496549084916584,-0.1488401471284766
-13,-0.1808074919500438,-0.1807979653625399,-0.1504691014621718,-0.1544475129046178
-17,-0.1820896560953913,-0.1826254096626578,-0.1615512154411468,-0.1605704366934245
-22,-0.1891036002732425,-0.1842334442317085,-0.1699537717041776,-0.1664852921757189
-28,-0.1832562407713948,-0.1857595376330842,-0.1665185114345139,-0.1714379063631752
-35,-0.1885126321939949,-0.1872488236065311,-0.1751931610113371,-0.1747581721418517
-41,-0.1859119715816313,-0.1884017628053462,-0.1802174673893505,-0.1758699126939523
-46.5,-0.1886093566851096,-0.1893992399938032,-0.1791819575124929,-0.1758967620505479
