evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1,J_cond_0,J_cond_1,J_cond_2
1,0.0009848365575551414,0.006387271443474893,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.0006351293301296927,0.0002852839846070194,6.442324281842933e-05
2,0.0009445023924633486,0.006235221432611649,0.0049533740732741385,0.000498998396327528,0.39539315820801013,0.2984966397109506,0.0006070267469461993,0.00027593834894823217,6.153729656891704e-05
3,0.0001800177562310589,0.0006304729017262388,0.0033816792504703557,0.00046050899092555905,0.20495746174240245,0.23798436622077226,3.794756778925985e-06,0.0001601219027226506,1.610109672948231e-05
4,0.00017208224093221322,0.0002149598755257749,0.003441152776483162,0.0004620242486421098,0.2271850204146685,0.24100269835923105,1.1253257678874348e-05,0.000147067397261953,1.3761585991385853e-05
5,0.00017017922089527474,0.00022038597750447528,0.003395273319010727,0.0004604985060766896,0.23434949860481433,0.23906358083791535,1.210676687081965e-05,0.00014471188832912766,1.3360565695327435e-05
6,0.00016359665502715473,0.0003035527014891224,0.0032177913941031384,0.00045444575429760115,0.2630074113653976,0.23130711075265253,1.5769079223798018e-05,0.00013585585581991382,1.1971719983442892e-05
7,0.00013317628646276406,0.00047189132796229014,0.0022147175513290234,0.0004136899965058793,0.4219303656596399,0.17548176323071346,2.3287936774601062e-05,0.00010140864852115842,8.479701167004576e-06
8,0.00011842037738918725,0.0002455420232003682,0.001528764007075963,0.00037699267647653715,0.5532515258201398,0.13471655918544828,2.6142900283690104e-05,8.331166796576761e-05,8.965809139729533e-06
9,0.00011654212688731501,5.391199449614565e-05,0.0013572589923239317,0.00036922253533528234,0.5817818929583881,0.1427049248625427,2.6892381520643595e-05,8.002186417595081e-05,9.62788119072061e-06
10,0.00011642111054849319,3.452982106517295e-05,0.001344777089410696,0.0003661703273594662,0.5853157291710087,0.13970697724216752,2.6892353160764538e-05,7.98364985682808e-05,9.692258819447844e-06
11,0.00011627528241831315,2.078645393270923e-05,0.0013451977281072223,0.0003605810440398298,0.5846779415497456,0.1382980707742307,2.642855889285108e-05,8.015527970505436e-05,9.691443820407713e-06
12,0.00011615575239972,4.217635774359745e-05,0.0013554996726657211,0.00035362301699756716,0.5813164967082608,0.139403940151445,2.582305454497247e-05,8.069181532362994e-05,9.640882531117578e-06
13,0.00011597227338770738,7.423182672631e-05,0.0013722385201955787,0.00034139078654944993,0.5762832027609968,0.14411482768827946,2.5060223516889507e-05,8.134940091135717e-05,9.562648959460698e-06
14,0.0001155059839603315,0.00012181534604094417,0.0014013408110532387,0.00031237600973357083,0.5680097233012679,0.15936462442170768,2.3842236349830166e-05,8.222520872693316e-05,9.43853888356817e-06
15,0.00011417776783288302,0.00020174745037072824,0.0014634278078616142,0.00023887633391991514,0.5521013282397244,0.20943961719699622,2.1541893895510715e-05,8.342772611119485e-05,9.208147826177464e-06
16,0.0001115210793445928,0.000277953540823978,0.0015328353063826293,0.0001302826922385257,0.538417726817988,0.3233924189947879,1.926933517422701e-05,8.327293028959308e-05,8.978813880772712e-06
17,0.00010828905540101713,0.00025909662632807415,0.0014556237308581688,5.482803219391396e-05,0.567352136544786,0.47626898617291963,2.141770955681973e-05,7.761994172418491e-05,9.251404120012492e-06
18,0.00010975543066228153,0.00018243955331590357,0.001917495593079003,7.3231419189639405e-06,0.4684175783544896,0.95,9.83068026219604e-06,9.061471461125775e-05,9.310035788827746e-06
19,0.00010707096329308368,0.00022911554279361494,0.0016023300527677256,2.7187030371841014e-05,0.5328796076791923,0.6413347260660474,1.5648799107722867e-05,8.212037996844292e-05,9.301784216917897e-06
20,0.00010403816552076643,0.00012549712016601055,0.0013928141841086066,2.737344860996019e-05,0.5871481979481303,0.6335777800035258,1.993784839745089e-05,7.43338786651404e-05,9.766438458175135e-06
21,0.00010366169730240842,8.233343048043614e-05,0.0013766984901445556,2.713996549082775e-05,0.6012853014575066,0.6389531487646375,2.1373122447156476e-05,7.231199348396574e-05,9.976581371286211e-06
22,0.00010344109131175639,6.375875275830748e-06,0.001353610318250349,2.749523420957642e-05,0.6022094335112692,0.6403745758134909,2.1154035765195243e-05,7.227348623459725e-05,1.0013569311963887e-05
23,0.00010343528456967776,7.624010235459752e-07,0.0013451054797115145,2.6591166256249443e-05,0.6042102199525692,0.6475173315982539,2.1267150713105385e-05,7.208936920024516e-05,1.0078764656327214e-05
