phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002652304557982092,-0.002162379248080931,1,10,5,3.948326360918803e-06,1.047220535115023e-08,0.01445821294822771;9.786750812511556e-06,
-2,-0.01727386115603058,-0.01907831744237518,1,11,5.5,3.457084799020302e-06,5.971740927104841e-08,0.09385287343772146;0.0003739442384710856,
-3,-0.04139946801815489,-0.0405974986304466,1,11,5.5,1.509954546198761e-06,6.251140933360988e-08,0.2236673009473316;0.002161776269499313,
-5,-0.07392227864716173,-0.07275151453074705,1,10,5,4.171121905221424e-07,3.083389643609991e-08,0.3965137540048737;0.006723310909420689,
-8,-0.08777581735141082,-0.0867614033085963,1,8,4,2.059431258864123e-07,1.807682620258433e-08,0.4713875938688623;0.007418844555165831,
-10,-0.08987515309908246,-0.08964795114910928,1,7,3.5,1.188439802323609e-07,1.068112091828777e-08,0.4840233386204209;0.006234721705055057,
-13,-0.09113239806634243,-0.09011189617756923,1,7,3.5,1.675088297370409e-07,1.526548135122319e-08,0.4926126119207536;0.004503567225652911,
-17,-0.09210418274478704,-0.09219912010763028,1,7,3.5,1.627765250366086e-07,1.49923988085332e-08,0.4995814496938509;0.002835697017896413,
-22,-0.09299519266881914,-0.09292791000683925,1,7,3.5,1.372858852403927e-07,1.276692734863971e-08,0.5057144547425103;0.001563043045414365,
-28,-0.09387160189435874,-0.09621114877886899,1,7,3.5,1.060503787794707e-07,9.955118937532426e-09,0.5113027044494437;0.0007554993751171694,
-35,-0.09478624503116263,-0.09543835277065839,1,7,3.5,8.302865762050538e-08,7.869974685825731e-09,0.5167264445236179;0.0003210266866145107,
-46.5,-0.09615767836466185,-0.098863280892194,1,7,3.5,9.90358956187846e-08,9.523061797467314e-09,0.5244504280144155;7.804570610794802e-05,
