evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0008312155334767333,0.002187973516454175,0,0,0.004999999999999999,0.0004999999999999999,0.18846241081315518,0.2447464837488673,0.004999999999999999,0.0004999999999999999
2,0,0.0008264338952335845,0.002181101061959759,0,0,0.0049750820848171165,0.0004996756999860632,0.1888049868440587,0.2446276600248849,0.0049750820848171165,0.0004996756999860632
3,1,6.0855835722505785e-05,4.989159702554678e-05,0,0,0.0010253330752446489,0.0003562168224186672,0.005386933315925515,0.05881761292586873,0.0010253330752446489,0.0003562168224186672
4,2,6.009189433336223e-05,4.5115275041528185e-05,0,0,0.00101226216812759,0.00034298524464113794,-0.0048105907531461305,0.05533341707541845,0.00101226216812759,0.00034298524464113794
5,3,5.651173183457909e-05,8.548162292918013e-05,0,0,0.000995908064069069,0.00026802522539048093,-0.03506068436129707,0.04704511502586676,0.000995908064069069,0.00026802522539048093
6,4,4.985748798699048e-05,0.00013522743804182923,0,0,0.001028145968408732,0.00015475992478635332,-0.05678529649916545,0.041069984318897364,0.001028145968408732,0.00015475992478635332
7,5,3.612547873947506e-05,5.4395202578602436e-05,0,0,0.0012162054016703267,3.501757709135001e-05,-0.01931479538666876,0.07142546140226723,0.0012162054016703267,3.501757709135001e-05
8,6,3.427186783833692e-05,7.199988067606449e-05,0,0,0.0013592919626037037,1.3129202920554428e-05,0.022966222072080072,0.13643496808340191,0.0013592919626037037,1.3129202920554428e-05
9,7,3.387786693539936e-05,3.092146230943565e-05,0,0,0.0013198293343142954,1.5184434558927717e-05,0.010094464338359673,0.11092652017846728,0.0013198293343142954,1.5184434558927717e-05
10,8,3.365906546709876e-05,1.581826954014403e-05,0,0,0.0013097303842995217,1.3815396108205224e-05,0.005139643439587955,0.09925314461002582,0.0013097303842995217,1.3815396108205224e-05
11,9,3.319882050139537e-05,6.243888554181018e-06,0,0,0.001302709635934703,8.671480090258091e-06,-0.0020240029247064863,0.0730370432058875,0.001302709635934703,8.671480090258091e-06
12,10,3.2956623137839466e-05,4.22486930876833e-06,0,0,0.0013123613111835281,5.396605954919142e-06,-0.0013761120896993665,0.06008757152031051,0.0013123613111835281,5.396605954919142e-06
13,11,3.283188967203604e-05,3.4343571981724064e-06,0,0,0.0013243364263821724,3.220257853895819e-06,0.001120413173478441,0.04705874584554299,0.0013243364263821724,3.220257853895819e-06
14,12,3.27972957226237e-05,3.824930296623268e-06,0,0,0.0013272431169936108,2.307741972445626e-06,0.0012502733883544613,0.032836954476452934,0.0013272431169936108,2.307741972445626e-06
15,13,3.28066709752031e-05,1.2617111467175047e-05,0,0,0.0013155397030267845,1.699770002134549e-06,-0.004165241905506704,0.001729241919763931,0.0013155397030267845,1.699770002134549e-06
16,13,3.279069224965638e-05,2.308692673792426e-06,0,0,0.0013229072165069425,2.061225050617705e-06,-0.0007571793263649565,0.0214411833011679,0.0013229072165069425,2.061225050617705e-06
17,14,3.278108257366188e-05,4.887994550141719e-07,0,0,0.0013256745339510418,1.6371198960538748e-06,-0.00015940441254391776,0.012346882368510398,0.0013256745339510418,1.6371198960538748e-06
