evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.007374144457341952,-0.009233467955809135,1.7285419359761108e-06,1,9,0.0,0.0,1,,0.0026347085462975037,0.00016181346533844182
1,0,1,-2.0,-0.027210802909530558,-0.04450528698074264,0.000149549589644705,1,9,0.0,0.0,1,,0.056830917467552755,0.01953523388939612
1,0,2,-3.0,-0.06202917813359604,-0.08972545300707345,0.00038354182093361665,1,9,0.0,0.0,1,,0.07814334957811975,0.08083705727586113
1,0,3,-4.0,-0.10795054015085055,-0.12494535780408363,0.00014441191353331938,1,8,0.0,0.0,1,,0.030411546212071632,0.0649941779189678
1,0,4,-5.0,-0.13557069797477647,-0.14807173962661083,7.813802119045357e-05,1,8,0.0,0.0,1,,0.012699882719067353,0.0431528388652861
1,0,5,-6.0,-0.1532335800100144,-0.1620760710163346,3.9094823598427076e-05,1,8,0.0,0.0,1,,0.004910600585647789,0.021877234024699883
1,0,6,-7.0,-0.16525636708079586,-0.17016658747523533,1.2055132160988488e-05,1,8,0.0,0.0,1,,0.0014898238216610156,0.007537912747392322
1,0,7,-8.0,-0.168345056302483,-0.17474296203350453,2.046659887152138e-05,1,7,0.0,0.0,1,,0.0010887963261684802,0.005583298058540834
1,0,8,-9.0,-0.17577828688927494,-0.17735243007257356,1.238963380762679e-06,1,7,0.0,0.0,1,,0.00015984490382310693,0.0007299180860046047
1,0,9,-10.0,-0.177500655837663,-0.17890787168959288,9.901282269629663e-07,1,7,0.0,0.0,1,,9.294065274578046e-05,0.00033699941738006783
2,0,0,-1.0,-0.007374144457341952,-0.00919775450427796,1.6627768016429632e-06,1,9,0.0,0.0,1,,0.002589612358259343,0.00015830784166506875
2,0,1,-2.0,-0.027210802909530558,-0.044422812197567635,0.00014812663186573814,1,9,0.0,0.0,1,,0.05682586680887121,0.01946996035883002
2,0,2,-3.0,-0.06202917813359604,-0.08965398497677084,0.0003815649765613671,1,9,0.0,0.0,1,,0.07836882180065716,0.08082400727185904
