evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.007374144457341952,-0.002955219074585347,9.763450769185334e-06,1,5,0.0,0.0,1,,-0.009047502684219753,-0.00011887245484015654,-1.1994043904323818e-05,-1.94608460911586e-10
1,0,1,-2.0,-0.027210802909530558,-0.02366498766094892,6.286402888536862e-06,1,10,0.0,0.0,1,,-0.03547690809137987,-0.002855660641973312,-9.406166720012794e-05,-9.35011770670498e-09
1,0,2,-3.0,-0.06202917813359604,-0.06692211576363634,1.197041932573371e-05,1,9,0.0,0.0,1,,0.06126934678730259,0.016199027562009877,0.00024366963824322657,7.95592509554743e-08
1,0,3,-4.0,-0.10795054015085055,-0.10693678959691792,5.138450927994693e-07,1,9,0.0,0.0,1,,-0.00954167653225137,-0.005918806311237853,-5.059663036001571e-05,-3.875918229206695e-08
1,0,4,-5.0,-0.13557069797477647,-0.1349776956069037,1.758259041511251e-07,1,8,0.0,0.0,1,,-0.0036791437482131288,-0.004478227557840205,-2.4386735868756636e-05,-3.665697716998476e-08
1,0,5,-6.0,-0.1532335800100144,-0.15290997691198122,5.235948252832392e-08,1,9,0.0,0.0,1,,-0.001213903462009583,-0.0028273793293455756,-9.65544543756673e-06,-2.777255372257862e-08
1,0,6,-7.0,-0.16525636708079586,-0.16396583924418742,8.327310485296208e-07,1,8,0.0,0.0,1,,-0.0030458898869184666,-0.011084746067485676,-2.826501059414745e-05,-1.2702940830850008e-07
1,0,7,-8.0,-0.168345056302483,-0.17067867946824516,2.722898539891747e-06,1,8,0.0,0.0,1,,0.0033288707308431653,0.018592112281370247,3.530399323755023e-05,2.4350013540399045e-07
1,0,8,-9.0,-0.17577828688927494,-0.174742674727707,5.362462745937729e-07,1,7,0.0,0.0,1,,-0.0008956753912245227,-0.006970916560249401,-1.06863665114962e-05,-1.0271003575064183e-07
1,0,9,-10.0,-0.177500655837663,-0.17722776633677612,3.723433984683631e-08,1,7,0.0,0.0,1,,-0.00014399357881264625,-0.0014601998569717185,-1.908886204843759e-06,-2.3905222380634192e-08
2,0,0,-1.0,-0.007374144457341952,-0.002955059993262263,9.764153750335263e-06,1,5,0.0,0.0,1,,-0.009047480838589635,-0.00011887279614292586,-1.1993883981159192e-05,-1.9460902122537946e-10
2,0,1,-2.0,-0.027210802909530558,-0.023663573748105845,6.291417361830763e-06,1,10,0.0,0.0,1,,-0.03549039405773607,-0.002856794837982651,-9.40963957521822e-05,-9.353831411403293e-09
2,0,2,-3.0,-0.06202917813359604,-0.06691956713417918,1.1957952288513806e-05,1,9,0.0,0.0,1,,0.06123851465974984,0.01619185722566311,0.00024354435884786638,7.952403549215845e-08
2,0,3,-4.0,-0.10795054015085055,-0.10693426335608147,5.164092617931706e-07,1,9,0.0,0.0,1,,-0.009565806160420824,-0.005934366362648262,-5.072402863125815e-05,-3.8861077282618294e-08
2,0,4,-5.0,-0.13557069797477647,-0.13497564491163894,1.770440739744504e-07,1,8,0.0,0.0,1,,-0.003692050595067084,-0.0044945511396074925,-2.4472020046138623e-05,-3.6790595767376535e-08
2,0,5,-6.0,-0.1532335800100144,-0.152908449805048,5.2854825090732415e-08,1,9,0.0,0.0,1,,-0.0012197052044375636,-0.002841400683591518,-9.701486838752225e-06,-2.7910281774377657e-08
