evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.008122387304030951,-0.0022862188734773924,1.7030430974894865e-05,1,9,0.0,0.0,1,,-1.2456450356629868e-05,-7.526239165658251e-09
1,0,1,-2.0,-0.02789442154196056,-0.017465504999976754,5.438115011983353e-05,1,10,0.0,0.0,1,,-0.00023483443017603141,-1.0900086641524147e-06
1,0,2,-3.0,-0.061296974539645534,-0.05491190268575836,2.0384571289650664e-05,1,9,0.0,0.0,1,,-0.0003199072384761624,-6.5970939577245925e-06
1,0,3,-4.0,-0.10806108394883196,-0.0949292984958823,8.622189459115048e-05,1,9,0.0,0.0,1,,-0.0007141125645442313,-4.254452506191902e-05
1,0,4,-5.0,-0.13548126398906657,-0.12562025644885313,4.8619734854070366e-05,1,9,0.0,0.0,1,,-0.0004429530329408162,-5.883161187911402e-05
1,0,5,-6.5,-0.15931503094253247,-0.15405723493653453,1.3822209420340699e-05,1,9,0.0,0.0,1,,-0.0001409229426827964,-4.191675377131659e-05
1,0,6,-8.0,-0.1716718651389106,-0.16832923074792844,5.586602335882819e-06,1,8,0.0,0.0,1,,-4.758299722212366e-05,-2.138669555156344e-05
1,0,7,-10.0,-0.17359786690865228,-0.17635884412162303,3.8114975852680333e-06,1,8,0.0,0.0,1,,1.72075099394018e-05,8.686161819249445e-06
1,0,8,-13.0,-0.18080749195004384,-0.18022113770766077,1.719056487806533e-07,1,7,0.0,0.0,1,,-1.649238239468442e-06,-4.909011960717337e-07
1,0,9,-17.0,-0.1820896560953913,-0.1822198837082196,8.479615571550918e-09,1,7,0.0,0.0,1,,2.8543459598928136e-07,3.7078032194552245e-08
1,0,10,-22.0,-0.18910360027324252,-0.183891930517484,1.3580750821541832e-05,1,6,3.081420046439911e-08,5.666482810751106e-09,1,,-1.0257901364598701e-05,-1.660825480743005e-06
1,0,11,-28.0,-0.18325624077139477,-0.1855168388154451,2.5551517583823204e-06,1,6,2.491815403280836e-08,4.622737165282942e-09,1,,3.879365555149646e-06,6.852056742477936e-07
1,0,12,-35.0,-0.18851263219399492,-0.18712674708974594,9.603387610888637e-07,1,6,0.0,0.0,1,,-1.721990021815811e-06,-2.0964873337718513e-07
1,0,13,-41.0,-0.1859119715816313,-0.18834401875390902,2.957426724094709e-06,1,5,2.3625337759092532e-07,4.4496921092207486e-08,1,,1.9729671641556625e-06,-3.273075730744884e-08
1,0,14,-46.5,-0.18860935668510956,-0.18937143524605668,2.9038186652651783e-07,1,5,3.11172671947518e-07,5.8927215496051844e-08,1,,3.813959011122106e-07,-5.062108645734488e-08
2,0,0,-1.0,-0.008122387304030951,-0.0022902958945886175,1.70066451040454e-05,1,8,0.0,0.0,1,,-1.2476595249708294e-05,-7.534553850301292e-09
2,0,1,-2.0,-0.02789442154196056,-0.017508477785078042,5.3933913860565265e-05,1,10,0.0,0.0,1,,-0.00023421603687769603,-1.086607257170823e-06
2,0,2,-3.0,-0.061296974539645534,-0.055007609076776195,1.9778058962766387e-05,1,9,0.0,0.0,1,,-0.00031512532429269825,-6.486616333437794e-06
2,0,3,-4.0,-0.10806108394883196,-0.09503330300169671,8.486153820327046e-05,1,9,0.0,0.0,1,,-0.000707943615564272,-4.205800531088361e-05
2,0,4,-5.0,-0.13548126398906657,-0.12570678626780923,4.777020736167528e-05,1,9,0.0,0.0,1,,-0.0004385957719577655,-5.8068116446439134e-05
2,0,5,-6.5,-0.15931503094253247,-0.15410953498883204,1.354859406199259e-05,1,9,0.0,0.0,1,,-0.00013933082561944007,-4.13343948170744e-05
2,0,6,-8.0,-0.1716718651389106,-0.16835735731170484,5.4929810682986385e-06,1,8,0.0,0.0,1,,-4.709802079327098e-05,-2.1137515010340114e-05
2,0,7,-10.0,-0.17359786690865228,-0.17637115847690948,3.845573061279398e-06,1,8,0.0,0.0,1,,1.724126670699395e-05,8.704977742876193e-06
2,0,8,-13.0,-0.18080749195004384,-0.1802265052130984,1.68772794253586e-07,1,7,0.0,0.0,1,,-1.6285205483612853e-06,-4.882895413176481e-07
2,0,9,-17.0,-0.1820896560953913,-0.18222394676034778,9.016991347302389e-09,1,7,0.0,0.0,1,,2.928015275451459e-07,3.940901352546556e-08
2,0,10,-22.0,-0.18910360027324252,-0.18389571316352812,1.3561044073762527e-05,1,6,3.099991940446951e-08,5.700752286896815e-09,1,,-1.0166382244540472e-05,-1.7253464752138017e-06
2,0,11,-28.0,-0.18325624077139477,-0.18552013775892606,2.5626147850768856e-06,1,6,2.4777066482119764e-08,4.596644787024928e-09,1,,3.8305341102699726e-06,7.256073094939852e-07
2,0,12,-35.0,-0.18851263219399492,-0.1871291043085832,9.570747048551715e-07,1,6,0.0,0.0,1,,-1.676685015526408e-06,-2.3816350041934833e-07
2,0,13,-41.0,-0.1859119715816313,-0.18834554922389807,2.9611500704730226e-06,1,5,2.337088196322877e-07,4.401802627951312e-08,1,,1.8997560995583845e-06,2.311445249782198e-08
2,0,14,-46.5,-0.18860935668510956,-0.18937240979684267,2.911250256616886e-07,1,5,3.0805790739018117e-07,5.8337668279451194e-08,1,,3.633952932064466e-07,-3.792658321319261e-08
3,1,0,-1.0,-0.008122387304030951,-0.002756024305186157,1.4398925917685128e-05,1,8,0.0,0.0,1,,-1.3628143105893183e-05,-8.249012770531174e-09
3,1,1,-2.0,-0.02789442154196056,-0.022345446646793898,1.539556119359589e-05,1,10,0.0,0.0,1,,-0.00014361797186433536,-6.192380053144792e-07
3,1,2,-3.0,-0.061296974539645534,-0.064987751278117,6.810916466621286e-06,1,9,0.0,0.0,1,,0.00018332433385563282,3.0206410469774743e-06
3,1,3,-4.0,-0.10806108394883196,-0.10545260708983255,3.4020757619677907e-06,1,8,0.0,0.0,1,,-0.0001302738898758609,-5.532587898296623e-06
3,1,4,-5.0,-0.13548126398906657,-0.1341977808417715,8.236644946948691e-07,1,9,0.0,0.0,1,,-5.080746270561446e-05,-4.581220971580409e-06
3,1,5,-6.5,-0.15931503094253247,-0.15914465839784983,1.4513401990714077e-08,1,8,0.0,0.0,1,,-3.844239888630013e-06,-8.086371447766135e-07
3,1,6,-8.0,-0.1716718651389106,-0.17100836289013693,2.2011761706275926e-07,1,8,0.0,0.0,1,,-7.952702931241175e-06,-2.6845313867811825e-06
3,1,7,-10.0,-0.17359786690865228,-0.17749857713127679,7.60777012043824e-06,1,8,0.0,0.0,1,,1.945381441770447e-05,8.644188096715032e-06
3,1,8,-13.0,-0.18080749195004384,-0.18070615681216048,5.134405084978003e-09,1,7,0.0,0.0,1,,-2.1217277884544033e-07,-9.494117489504616e-08
3,1,9,-17.0,-0.1820896560953913,-0.18256336786468322,1.1220142018310523e-07,1,7,0.0,0.0,1,,6.543799213403701e-07,3.678573394636129e-07
3,1,10,-22.0,-0.18910360027324252,-0.18416134113424773,1.2212962698486715e-05,1,6,0.0,0.0,1,,-3.765087560651632e-06,-5.342922093236665e-06
3,1,11,-28.0,-0.18325624077139477,-0.1856801610297852,2.9376947095180674e-06,1,6,0.0,0.0,1,,2.936027385003005e-07,3.326203260049458e-06
3,1,12,-35.0,-0.18851263219399492,-0.1872011617059034,8.599774205668141e-07,1,6,0.0,0.0,1,,-9.53811478649836e-09,-1.2939102038851215e-06
3,1,13,-41.0,-0.1859119715816313,-0.18837946954846804,3.0442731081744495e-06,1,6,2.3920678015904125e-08,4.50616463587572e-09,1,,1.943274767213229e-09,1.3940914280725396e-06
3,1,14,-46.5,-0.18860935668510956,-0.18938936291342726,3.042048581060745e-07,1,6,0.0,0.0,1,,9.989247139327677e-11,2.282065657863097e-07
4,2,0,-1.0,-0.008122387304030951,-0.0028004041378896145,1.4161752410345768e-05,1,8,0.0,0.0,1,,-1.3715376897411458e-05,-8.29400282735599e-09
4,2,1,-2.0,-0.02789442154196056,-0.022796581751701562,1.2993985263574832e-05,1,10,0.0,0.0,1,,-0.0001333115078154771,-5.694760698959543e-07
4,2,2,-3.0,-0.061296974539645534,-0.06584815066844552,1.035660207767971e-05,1,9,0.0,0.0,1,,0.00022564164309439938,3.631622049914309e-06
4,2,3,-4.0,-0.10806108394883196,-0.10631378343551888,1.5265295419121245e-06,1,8,0.0,0.0,1,,-8.610817103754706e-05,-3.5631252590466826e-06
4,2,4,-5.0,-0.13548126398906657,-0.13488347395925548,1.7867645987060302e-07,1,9,0.0,0.0,1,,-2.340743242982111e-05,-2.024190089739965e-06
4,2,5,-6.5,-0.15931503094253247,-0.1595429171708402,2.5966066526303833e-08,1,8,0.0,0.0,1,,5.0790078502146825e-06,1.0222806229901397e-06
4,2,6,-8.0,-0.1716718651389106,-0.17121379732467806,1.0491306121712965e-07,1,8,0.0,0.0,1,,-5.316614166147689e-06,-1.7542110533532242e-06
4,2,7,-10.0,-0.17359786690865228,-0.1775835984394952,7.943027917972182e-06,1,8,0.0,0.0,1,,1.9592093239749558e-05,8.446910804897921e-06
4,2,8,-13.0,-0.18080749195004384,-0.1807417264268132,2.1625520229388268e-09,1,7,0.0,0.0,1,,-1.225628428426704e-07,-5.5358914562593915e-08
4,2,9,-17.0,-0.1820896560953913,-0.18258656013216504,1.2345681088129659e-07,1,7,0.0,0.0,1,,6.677836993191382e-07,3.8880324969172005e-07
4,2,10,-22.0,-0.18910360027324252,-0.18417346034194404,1.2153139871089852e-05,1,6,0.0,0.0,1,,-3.316373752965431e-06,-5.599876663044404e-06
4,2,11,-28.0,-0.18325624077139477,-0.18568151229235905,2.940970975200461e-06,1,6,0.0,0.0,1,,1.9080882251882453e-07,3.4155467689404793e-06
4,2,12,-35.0,-0.18851263219399492,-0.18720100606440748,8.601815519075648e-07,1,6,0.0,0.0,1,,-5.188586675071544e-09,-1.3011956290165608e-06
4,2,13,-41.0,-0.1859119715816313,-0.1883793363024643,3.0439443328084032e-06,1,6,2.409498474046809e-08,4.538997233627384e-09,1,,9.476382576455207e-10,1.4005997174748307e-06
4,2,14,-46.5,-0.18860935668510956,-0.18938928999802726,3.041479862982655e-07,1,6,0.0,0.0,1,,4.418859341935117e-11,2.294406681751962e-07
5,3,0,-1.0,-0.008122387304030951,-0.0028051471381766854,1.4136521490686832e-05,1,7,0.0,0.0,1,,-1.3735376958083996e-05,-8.295383850139888e-09
5,3,1,-2.0,-0.02789442154196056,-0.02284461366028922,1.2750279820895868e-05,1,10,0.0,0.0,1,,-0.00013219811914978795,-5.635373212962373e-07
5,3,2,-3.0,-0.061296974539645534,-0.06593881596665957,1.0773345916772172e-05,1,9,0.0,0.0,1,,0.00023009211133753367,3.688104952554805e-06
5,3,3,-4.0,-0.10806108394883196,-0.10640354133671279,1.3737237554954712e-06,1,8,0.0,0.0,1,,-8.162020152166513e-05,-3.3582411866243924e-06
5,3,4,-5.0,-0.13548126398906657,-0.1349538527582666,1.390813031868221e-07,1,9,0.0,0.0,1,,-2.0630567709605438e-05,-1.7720904399571359e-06
5,3,5,-6.5,-0.15931503094253247,-0.15958237662984112,3.5736858261432245e-08,1,8,0.0,0.0,1,,5.952742461962736e-06,1.1897583783888133e-06
5,3,6,-8.0,-0.1716718651389106,-0.17123328890696732,9.617455561205862e-08,1,8,0.0,0.0,1,,-5.086046822733144e-06,-1.6677936789186558e-06
5,3,7,-10.0,-0.17359786690865228,-0.17759135742530074,7.973983253275059e-06,1,8,0.0,0.0,1,,1.9613318154160586e-05,8.416272216586454e-06
5,3,8,-13.0,-0.18080749195004384,-0.18074494161889046,1.956271963735024e-09,1,7,0.0,0.0,1,,-1.163438085730774e-07,-5.261676510851751e-08
5,3,9,-17.0,-0.1820896560953913,-0.18258853368633784,1.2443942537459376e-07,1,7,0.0,0.0,1,,6.68524723400084e-07,3.907893156149236e-07
5,3,10,-22.0,-0.18910360027324252,-0.18417401396068644,1.2150410606468062e-05,1,6,0.0,0.0,1,,-3.2605585704390257e-06,-5.644464516631333e-06
5,3,11,-28.0,-0.18325624077139477,-0.1856808246273899,2.939303437376409e-06,1,6,0.0,0.0,1,,1.7991261904478295e-07,3.434541093767622e-06
5,3,12,-35.0,-0.18851263219399492,-0.18720042999080702,8.609373110248915e-07,1,6,0.0,0.0,1,,-4.7875803660679774e-09,-1.310271366176156e-06
5,3,13,-41.0,-0.1859119715816313,-0.18837900286789447,3.043121683703371e-06,1,6,2.4118772543773483e-08,4.543470322193599e-09,1,,8.604873902901949e-10,1.4137914464691216e-06
5,3,14,-46.5,-0.18860935668510956,-0.18938911594835703,3.040122543089935e-07,1,6,0.0,0.0,1,,3.9544588181996465e-11,2.3220684200243566e-07
6,4,0,-1.0,-0.008122387304030951,-0.002805761685875285,1.4133253981814441e-05,1,6,1.008096456053017e-06,2.8284812634421508e-09,1,,-1.3747458677248818e-05,-8.292777699594611e-09
6,4,1,-2.0,-0.02789442154196056,-0.022850785095421124,1.2719134302431341e-05,1,10,0.0,0.0,1,,-0.0001320550108119475,-5.62104186651422e-07
6,4,2,-3.0,-0.061296974539645534,-0.06595010557559734,1.08258142188693e-05,1,9,0.0,0.0,1,,0.00023064904934254855,3.6886844107559912e-06
6,4,3,-4.0,-0.10806108394883196,-0.10641397311782758,1.3564870448060214e-06,1,8,0.0,0.0,1,,-8.11029919255056e-05,-3.3272745828629163e-06
6,4,4,-5.0,-0.13548126398906657,-0.13496097358396866,1.3535105281832727e-07,1,9,0.0,0.0,1,,-2.0352464669042082e-05,-1.7424024228473226e-06
6,4,5,-6.5,-0.15931503094253247,-0.159584839353492,3.6398289312417166e-08,1,8,0.0,0.0,1,,6.0091351189104345e-06,1.196996681693006e-06
6,4,6,-8.0,-0.1716718651389106,-0.171233523291588,9.607178755636906e-08,1,8,0.0,0.0,1,,-5.08578742482601e-06,-1.6629440085168756e-06
6,4,7,-10.0,-0.17359786690865228,-0.1775910874003988,7.972904947846635e-06,1,8,0.0,0.0,1,,1.9623374001034896e-05,8.403433928289894e-06
6,4,8,-13.0,-0.18080749195004384,-0.1807447896891314,1.965786761801668e-09,1,7,0.0,0.0,1,,-1.1661262888474619e-07,-5.2763644363888717e-08
6,4,9,-17.0,-0.1820896560953913,-0.1825883021472386,1.2432394251172476e-07,1,7,0.0,0.0,1,,6.679283571972159e-07,3.909550330773477e-07
6,4,10,-22.0,-0.18910360027324252,-0.18417339053000392,1.215348405616036e-05,1,6,0.0,0.0,1,,-3.2443207099115756e-06,-5.668315809747966e-06
6,4,11,-28.0,-0.18325624077139477,-0.18567987700155555,2.9370062880742627e-06,1,6,0.0,0.0,1,,1.7627399309942609e-07,3.4490748388483257e-06
6,4,12,-35.0,-0.18851263219399492,-0.18719974975181267,8.618301534945228e-07,1,6,0.0,0.0,1,,-4.657835132457487e-09,-1.3205693428889878e-06
6,4,13,-41.0,-0.1859119715816313,-0.18837861520107105,3.0421653726641293e-06,1,6,0.0,0.0,1,,8.312761477678111e-10,1.429140488468964e-06
6,4,14,-46.5,-0.18860935668510956,-0.1893889078924761,3.0385004245218224e-07,1,6,2.2907596956868093e-08,4.338444770102257e-09,1,,3.795789394947559e-11,2.3546435710529413e-07
7,5,0,-1.0,-0.008122387304030951,-0.0028113008076554326,1.410381988599107e-05,1,5,3.105311405966675e-06,8.729991572958146e-09,1,,-1.3769009486145481e-05,-8.209686513725072e-09
7,5,1,-2.0,-0.02789442154196056,-0.02290587418663921,1.2442802358142673e-05,1,10,0.0,0.0,1,,-0.000130776434991188,-5.442379940881868e-07
7,5,2,-3.0,-0.061296974539645534,-0.06604813674101576,1.1286771131864897e-05,1,9,0.0,0.0,1,,0.00023550787668028306,3.640433809642991e-06
7,5,3,-4.0,-0.10806108394883196,-0.10649881584532214,1.220340813622124e-06,1,8,0.0,0.0,1,,-7.692946499486017e-05,-3.022086317515803e-06
7,5,4,-5.0,-0.13548126398906657,-0.13501020376937173,1.109488652893452e-07,1,9,0.0,0.0,1,,-1.7794859301739413e-05,-1.5233956021962078e-06
7,5,5,-6.5,-0.15931503094253247,-0.15958733456508353,3.707463142738347e-08,1,8,0.0,0.0,1,,6.096742272901582e-06,1.1548006182150871e-06
7,5,6,-8.0,-0.1716718651389106,-0.17121841605379487,1.0280803639539677e-07,1,7,0.0,0.0,1,,-5.339312692391669e-06,-1.6635360561279733e-06
7,5,7,-10.0,-0.17359786690865228,-0.17757889321362325,7.924285220429857e-06,1,8,0.0,0.0,1,,1.9777994615661327e-05,8.206733481774962e-06
7,5,8,-13.0,-0.18080749195004384,-0.18073898341755426,2.346709511977516e-09,1,7,0.0,0.0,1,,-1.2753376520483605e-07,-5.777462031638153e-08
7,5,9,-17.0,-0.1820896560953913,-0.18258232992356174,1.213637504823355e-07,1,7,0.0,0.0,1,,6.578206848839699e-07,3.9065073005509374e-07
7,5,10,-22.0,-0.18910360027324252,-0.18416184990361403,1.2210448357859598e-05,1,6,0.0,0.0,1,,-3.02188867010802e-06,-6.0304537715106705e-06
7,5,11,-28.0,-0.18325624077139477,-0.18566398128734593,2.8986071960766517e-06,1,6,0.0,0.0,1,,1.3183660903863487e-07,3.6664122923986254e-06
7,5,12,-35.0,-0.18851263219399492,-0.18718816645909048,8.771047414672804e-07,1,6,0.0,0.0,1,,-3.1797946139423042e-09,-1.490682355868777e-06
7,5,13,-41.0,-0.1859119715816313,-0.18837173711079871,3.0252232292428377e-06,1,6,0.0,0.0,1,,5.136652339303345e-10,1.6907753633179697e-06
7,5,14,-46.5,-0.18860935668510956,-0.1893852127092501,3.0097628509646494e-07,1,6,0.0,0.0,1,,2.1352751979914457e-11,2.92784391366308e-07
8,6,0,-1.0,-0.008122387304030951,-0.002816211125826064,1.4077752817074394e-05,1,5,1.7151008142019078e-06,4.830094278967384e-09,1,,-1.3778401566433073e-05,-8.071484862186513e-09
8,6,1,-2.0,-0.02789442154196056,-0.02295400443142678,1.2203860613028324e-05,1,10,0.0,0.0,1,,-0.00012965802897569757,-5.205518066995369e-07
8,6,2,-3.0,-0.061296974539645534,-0.06612949946070903,1.1676648556350234e-05,1,9,0.0,0.0,1,,0.00023957919312952186,3.511039486470373e-06
8,6,3,-4.0,-0.10806108394883196,-0.10656022954151918,1.1262819759751347e-06,1,8,0.0,0.0,1,,-7.395972711735468e-05,-2.714865341299499e-06
8,6,4,-5.0,-0.13548126398906657,-0.1350314051297232,1.0118649666473486e-07,1,9,0.0,0.0,1,,-1.70461193779417e-05,-1.3509191569486503e-06
8,6,5,-6.5,-0.15931503094253247,-0.1595596930049133,2.992976238436981e-08,1,8,0.0,0.0,1,,5.529309466059635e-06,9.662581641237664e-07
8,6,6,-8.0,-0.1716718651389106,-0.171178272727473,1.2181673431358091e-07,1,7,0.0,0.0,1,,-5.905785537430143e-06,-1.7125416151378309e-06
8,6,7,-10.0,-0.17359786690865228,-0.17755240884007129,7.819200943670082e-06,1,8,0.0,0.0,1,,2.0039196147282982e-05,7.876187402321872e-06
8,6,8,-13.0,-0.18080749195004384,-0.1807265148259868,3.2786473103205675e-09,1,7,0.0,0.0,1,,-1.5173535450165925e-07,-6.820342525803808e-08
8,6,9,-17.0,-0.1820896560953913,-0.18257041453969775,1.1556434088624613e-07,1,7,8.537247380933515e-09,1.5586487933649806e-09,1,,6.369860378139956e-07,4.003769793182639e-07
8,6,10,-22.0,-0.18910360027324252,-0.18414035365546572,1.2316908494434388e-05,1,6,0.0,0.0,1,,-2.6823201949733094e-06,-6.610852706849009e-06
8,6,11,-28.0,-0.18325624077139477,-0.18563577138516463,2.8310829709342453e-06,1,6,2.0454070070345363e-08,3.79700715313902e-09,1,,8.412154484400911e-08,3.981007427561698e-06
8,6,12,-35.0,-0.18851263219399492,-0.1871664797451608,9.06063207750347e-07,1,6,0.0,0.0,1,,-1.8047901713397136e-09,-1.7872621808697148e-06
8,6,13,-41.0,-0.1859119715816313,-0.18835783048060575,2.9911128768489593e-06,1,6,0.0,0.0,1,,2.5206990413680785e-10,2.1773382869704017e-06
8,6,14,-46.5,-0.18860935668510956,-0.18937718504619272,2.9478019604071875e-07,1,6,0.0,0.0,1,,9.104158249343215e-12,4.0964522987763564e-07
9,7,0,-1.0,-0.008122387304030951,-0.0028253133578457503,1.4029496195676907e-05,1,5,1.4671726180274546e-06,4.145228477744206e-09,1,,-1.3795692880769447e-05,-7.667182262949067e-09
