phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.002947765531332285
-2,-0.02789442154196056,-0.0236023115097704
-3,-0.06129697453964553,-0.06681347845635688
-4,-0.108061083948832,-0.1068365891431504
-5,-0.1354812639890666,-0.1349096719132342
-6.5,-0.1593150309425325,-0.1591079754034946
-8,-0.1716718651389106,-0.1707211979267859
-10,-0.1735978669086523,-0.1773042888741293
-13,-0.1808074919500438,-0.1806551768532876
-17,-0.1820896560953913,-0.1825549642036564
-22,-0.1891036002732425,-0.184178750201623
-28,-0.1832562407713948,-0.185731330085675
-35,-0.1885126321939949,-0.187247549309666
-41,-0.1859119715816313,-0.1884046112743392
-46.5,-0.1886093566851096,-0.1894012643866919
