evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00025750850370882946,0.0019716055872417704,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.10273443287834061,0.10195188245901605,0.0015611280980762552,0.00019332977011070687,0.004999999999999999,0.0004999999999999999
2,0,0.00025363676328187483,0.0019530887249733578,0,0,0.004986401338568359,0.0004998648836364791,0.3984388719019238,0.29980667022988927,0.10205323859171886,0.10110528940629177,0.0015464150372055683,0.0001914397926614536,0.004986401338568359,0.0004998648836364791
3,1,6.386275072267533e-05,0.00022033192281659765,0,0,0.0037344577143494065,0.0004845966022383083,0.23434778767273234,0.2802555812932428,-0.0064997742946332265,-0.032372909543009025,-0.00019032513495676671,-8.884742941879607e-05,0.0037344577143494065,0.0004845966022383083
4,2,6.141990019230347e-05,8.243152265566859e-05,0,0,0.0037842131487674617,0.0004883430609991802,0.25202691008121575,0.2881099986096732,0.006624736715617031,-0.015461728253832595,-1.4016944445265898e-05,-5.4443510684442116e-05,0.0037842131487674617,0.0004883430609991802
5,3,6.068878439547766e-05,8.303520375469266e-05,0,0,0.003739583812006805,0.0004909165256663179,0.2560596592077841,0.2948936512897267,0.007584609422392854,-0.013164475399052576,2.784639210077285e-06,-4.8993910641718896e-05,0.003739583812006805,0.0004909165256663179
6,3,5.847921939334461e-05,0.0001218391493816348,0,0,0.003566268142740305,0.000501346717034488,0.2721906557140576,0.3220282620099409,0.011683838672966943,-0.003914555448626786,6.996996663436819e-05,-2.68964643220553e-05,0.003566268142740305,0.000501346717034488
7,4,5.4409703847448146e-05,0.00011381076886238043,0,0,0.003080780590495615,0.0005275128308917235,0.2993722347864286,0.39050756636372086,0.010125062047914943,0.005133605178645439,8.806305942397032e-05,3.344292107591409e-07,0.003080780590495615,0.0005275128308917235
8,5,5.310135558220788e-05,1.8149065039355126e-05,0,0,0.0028561847352582236,0.0005356488958561328,0.30021302811841283,0.4320317198443027,0.0007960050362070132,0.0009157798868971845,1.609170190639437e-05,-6.462549919684963e-06,0.0028561847352582236,0.0005356488958561328
9,6,5.3019522839750554e-05,1.2530917789013966e-05,0,0,0.0028122687759833415,0.000537422228509123,0.2993873693966125,0.4439187251161899,-0.00144283866437712,-6.910385146595921e-05,5.406938431472933e-07,-8.332527033649264e-06,0.0028122687759833415,0.000537422228509123
10,7,5.297186303643129e-05,1.8171836409057018e-05,0,0,0.0027997539248346744,0.0005381520501935243,0.29776912603078765,0.4524442202215681,-0.0023359390354765843,-0.00031327364112524017,-4.99263796415108e-06,-8.852348246055076e-06,0.0027997539248346744,0.0005381520501935243
11,8,5.2773530598230545e-05,3.597563523896082e-05,0,0,0.0027961157495934967,0.0005393567078666606,0.28823342096464694,0.4856226133470722,-0.004537000182488595,-0.0007146874957289845,-1.8332048706891246e-05,-1.0204836846599547e-05,0.0027961157495934967,0.0005393567078666606
12,9,5.237035556869379e-05,7.120405596375589e-05,0,0,0.0028638350875557733,0.0005395257728516002,0.2571414130068295,0.5739554062657423,-0.008159436715906885,-0.0007631305420606961,-4.5358661031138446e-05,-1.080352521231669e-05,0.0028638350875557733,0.0005395257728516002
