evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.007709281775448715,8.532808887259522e-08,1,9,0.0,0.0,1,,-0.0005004983263105928,-2.617659607325908e-05,-2.5024916315529643e-06,-1.3088298036629538e-08
1,0,1,-2.0,-0.02789442154196056,-0.03696647150002609,4.115104522081684e-05,1,9,0.0,0.0,1,,0.02864782770269164,0.007950131885849908,0.0002864782770269163,7.950131885849906e-06
1,0,2,-3.0,-0.061296974539645534,-0.0788888031758439,0.0001547362173826857,1,9,0.0,0.0,1,,0.053647918447930924,0.04532913241018034,0.0008047187767189644,6.799369861527037e-05
1,0,3,-4.0,-0.10806108394883196,-0.11458703931098072,2.1294046694378866e-05,1,9,0.0,0.0,1,,0.013723231861141195,0.024582992294915982,0.00027446463722282304,4.9165984589832056e-05
1,0,4,-5.0,-0.13548126398906657,-0.1397557273417937,9.135518476904821e-06,1,8,0.0,0.0,1,,0.005479189815541861,0.016185626832629797,0.000136979745388547,4.046406708157437e-05
1,0,5,-6.5,-0.15931503094253247,-0.16166968083070327,2.7721880479328207e-06,1,8,0.0,0.0,1,,0.001323971501145489,0.005894837337732616,4.302907378722811e-05,1.9158221347630937e-05
1,0,6,-8.0,-0.1716718651389106,-0.1720215953379009,6.115560604347599e-08,1,8,0.0,0.0,1,,8.60737474119989e-05,0.00042674926951994166,3.4429498964799177e-06,1.7069970780797756e-06
1,0,7,-10.0,-0.17359786690865228,-0.17769183727324944,8.38029667309422e-06,1,8,0.0,0.0,1,,0.0003885393479956561,0.0016510084312495886,1.9426967399783148e-05,8.255042156248119e-06
1,0,8,-13.0,-0.18080749195004384,-0.18062026861896952,1.752628784939153e-08,1,7,0.0,0.0,1,,-7.756534331879146e-06,-8.973302926691595e-06,-5.041747315721467e-07,-5.832646902347902e-08
1,0,9,-17.0,-0.1820896560953913,-0.18242110748032173,5.4930010286334445e-08,1,7,0.0,0.0,1,,9.220046528124759e-06,-5.924019776974696e-06,7.83703954890765e-07,-5.035416810428359e-08
1,0,10,-22.0,-0.18910360027324252,-0.1840271546388301,1.2885150139570367e-05,1,6,7.325604893811605e-08,1.3481103233736746e-08,1,,-9.925670314828288e-05,9.394691857555884e-05,-1.0918237346314587e-05,1.033416104330532e-06
1,0,11,-28.0,-0.18325624077139477,-0.1856017892881354,2.750798922192334e-06,1,6,4.280458075576616e-08,7.944606777998686e-09,1,,3.1424372844164894e-05,-6.347545143693678e-05,4.399412198185098e-06,-8.886563201169828e-07
1,0,12,-35.0,-0.18851263219399492,-0.18716342540666428,9.101794774888176e-07,1,5,3.6691246309556716e-07,6.867259341736265e-08,1,,-1.0741785596575872e-05,4.605440044421704e-05,-1.8798124794009507e-06,8.059520077739714e-07
1,0,13,-41.0,-0.1859119715816313,-0.1883547412712484,2.983561878258716e-06,1,5,4.133034612036473e-07,7.784769867624775e-08,1,,1.2564044518250779e-05,-8.210886557452786e-05,2.575629126242381e-06,-1.683231744277821e-06
1,0,14,-46.5,-0.18860935668510956,-0.18937167000974092,2.9056080245416146e-07,1,5,1.4026748013438614e-06,2.6562686961106863e-07,1,,2.725339978655455e-06,-2.193908629350686e-05,6.336415450362482e-07,-5.100837563239539e-07
2,0,0,-1.0,-0.008122387304030951,-0.007682662424072114,9.667898502739707e-08,1,9,0.0,0.0,1,,-0.000532818380403642,-2.7782540692603418e-05,-2.6568462852585464e-06,-1.388751647043396e-08
2,0,1,-2.0,-0.02789442154196056,-0.03687375154423443,4.0314183644866296e-05,1,9,0.0,0.0,1,,0.028412269822689507,0.007875023991010715,0.0002833499605512488,7.872895901802108e-06
2,0,2,-3.0,-0.061296974539645534,-0.07877469638363353,0.00015273538042790885,1,9,0.0,0.0,1,,0.053473323659604326,0.04516311760503955,0.0007999183580218496,6.772636957891113e-05
2,0,3,-4.0,-0.10806108394883196,-0.11449059714693144,2.0669319982267518e-05,1,9,0.0,0.0,1,,0.013571335851085048,0.024300334869001863,0.0002706885090160452,4.858753624648437e-05
2,0,4,-5.0,-0.13548126398906657,-0.13968582356051182,8.839160594917094e-06,1,8,0.0,0.0,1,,0.005411669621360065,0.015970923977424948,0.0001349237832191977,3.9916520277712916e-05
2,0,5,-6.5,-0.15931503094253247,-0.1616315197047176,2.683060092666403e-06,1,8,0.0,0.0,1,,0.0013085325702316233,0.00581452980241394,4.2411645638461054e-05,1.8892115210049107e-05
2,0,6,-8.0,-0.1716718651389106,-0.1720016363277981,5.4374518510685283e-08,1,8,0.0,0.0,1,,8.158031790177633e-05,0.0004032657475440986,3.2543376510900356e-06,1.612627087765655e-06
2,0,7,-10.0,-0.17359786690865228,-0.17768274426277225,8.343111499095414e-06,1,8,0.0,0.0,1,,0.00038984510461598763,0.0016494858932314513,1.943924151491506e-05,8.245200740801292e-06
2,0,8,-13.0,-0.18080749195004384,-0.18061557176371923,1.8416678959547744e-08,1,7,0.0,0.0,1,,-7.999944459904494e-06,-9.069275809259065e-06,-5.185821389235024e-07,-5.893436246181158e-08
2,0,9,-17.0,-0.1820896560953913,-0.18241723281745367,5.365325441874813e-08,1,7,0.0,0.0,1,,9.182829425381133e-06,-6.199342676098819e-06,7.784176399558464e-07,-5.268017299195785e-08
2,0,10,-22.0,-0.18910360027324252,-0.1840235652389054,1.2903377975044192e-05,1,6,4.6389734272159046e-08,8.536804291248146e-09,1,,-0.00010032550899252196,9.808188547557262e-05,-1.1005791551319247e-05,1.0786091859420568e-06
2,0,11,-28.0,-0.18325624077139477,-0.18559874013663516,2.743651638076078e-06,1,6,4.2834877816304613e-08,7.950099356612839e-09,1,,3.18766690483147e-05,-6.623930371298692e-05,4.4505962259215206e-06,-9.270996515940751e-07
2,0,12,-35.0,-0.18851263219399492,-0.18716121091234322,9.131697402498402e-07,1,5,3.6682919384045547e-07,6.865619611717833e-08,1,,-1.1010592862483319e-05,4.774937693933692e-05,-1.9216132245760337e-06,8.353882861623518e-07
2,0,13,-41.0,-0.1859119715816313,-0.18835311755506462,2.9795968318075462e-06,1,5,4.154417415072771e-07,7.824977968362568e-08,1,,1.2946339709677692e-05,-8.507842681611354e-05,2.6467814719707345e-06,-1.743636434737055e-06
2,0,14,-46.5,-0.18860935668510956,-0.18937044461440578,2.896274180591032e-07,1,5,1.4085502640901295e-06,2.667377897724865e-07,1,,2.8302327656997663e-06,-2.285485208263973e-05,6.562394549896475e-07,-5.312317159220324e-07
3,1,0,-1.0,-0.008122387304030951,-0.005260211582906485,4.096024929297115e-06,1,9,0.0,0.0,1,,-0.003454604393391221,-0.00013621783182610295,-1.2901074026925195e-05,-6.601069846719874e-08
