phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.00520129025831548
-2,-0.02789442154196056,-0.02652608970004749
-3,-0.06129697453964553,-0.06570291026157135
-4,-0.108061083948832,-0.1055024752696479
-5,-0.1354812639890666,-0.1346718567776022
-6.5,-0.1593150309425325,-0.1592010425180048
-8,-0.1716718651389106,-0.1704122739247188
-10,-0.1735978669086523,-0.1766078094875936
-13,-0.1808074919500438,-0.179819729312316
-17,-0.1820896560953913,-0.1816530504338784
-22,-0.1891036002732425,-0.1832283496058237
-28,-0.1832562407713948,-0.1847878895201071
-35,-0.1885126321939949,-0.186378037500101
-41,-0.1859119715816313,-0.1873677854993378
-46.5,-0.1886093566851096,-0.1881776932458364
