evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
1,0,1,3.0,-0.002908532692799996,0.002806055129043482,1.6328256986780943e-05,1,5,6.466430898216368e-09,1.814516158854529e-11,1,,0.0032070471187104765,-6.569431307139022e-19
1,0,2,2.0,0.00436153144295444,0.0019275158709069252,2.9622159024849036e-06,1,5,3.808749170035796e-08,7.341424473547575e-11,1,,-0.0009381657608546832,3.193333395074223e-18
1,0,3,1.0,-0.00026569384474186473,0.0012619657157532894,1.1668718663861249e-06,1,5,6.0197052775763565e-06,7.596707409180184e-09,1,,0.0003847274792302119,-2.369101125072847e-17
1,0,4,0.5,0.0006895594317925579,0.0008518295509979781,1.3165795793471243e-08,1,8,0.0,0.0,1,,2.7387268547088806e-05,-8.63666823472445e-18
1,0,5,-0.25,0.0009017890435330913,-0.0008910464570561492,1.6071295660865404e-06,1,8,0.0,0.0,1,,0.00030336799665422836,3.3282860734974956e-06
1,0,6,-0.5,-0.0002934224807384304,-0.002434035932816444,2.291112975608676e-06,1,9,0.0,0.0,1,,0.0009457961769233245,1.8909112789065635e-05
1,0,7,-1.0,0.0004921341653420035,-0.009233467885199043,4.729366762274407e-05,1,9,0.0,0.0,1,,0.013902677105910179,0.0008488623665631426
1,0,8,-1.5,-0.009127153923927083,-0.023568496453596346,0.00010427618702961693,1,9,0.0,0.0,1,,0.03818285159268157,0.006086748610701396
1,0,9,-2.0,-0.022588090738443464,-0.04450528458258351,0.00024018169300080543,1,8,0.0,0.0,1,,0.07204262766682054,0.024757744750244285
1,0,10,-3.0,-0.07007531546109648,-0.08972545222134788,0.0001930639373482923,1,9,0.0,0.0,1,,0.05544347892772874,0.05734760931095967
1,0,11,-4.0,-0.10539000769620259,-0.12494536811920814,0.00019120606063682382,1,9,0.0,0.0,1,,0.03499129825317776,0.0747580183879895
1,0,12,-5.0,-0.1370569911908219,-0.14807173908984653,6.0662335639529404e-05,1,9,0.0,0.0,1,,0.011189780252664795,0.037996790371125334
1,0,13,-6.5,-0.15897384798703867,-0.16668883203985457,2.9760489467596675e-05,1,8,0.0,0.0,1,,0.0031614837278008782,0.01525104339568372
1,0,14,-8.0,-0.17156627129280105,-0.17474296545063264,5.045692886201115e-06,1,8,0.0,0.0,1,,0.0005429959913782099,0.00273872447836311
