evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,1,3.0,-0.002908532692799996,0.00554428806044402,3.572508934323644e-05,1,5,3.182310643243824e-09,1.7643646960108228e-11,1,,0.009372714345488363,-1.8795952782482258e-18,-0.0001405907151823254,2.819392917372339e-21
1,0,2,2.0,0.00436153144295444,0.0030348106066765967,8.800940887068941e-07,1,5,1.1341375653109925e-07,3.441893102994198e-10,1,,-0.0008050549778405605,2.6605034084476588e-18,8.050549778405605e-06,-2.6605034084476577e-21
1,0,3,1.0,-0.00026569384474186473,0.0015827827000537845,1.7084327683298322e-06,1,6,1.231753436055751e-06,1.9496004307478776e-09,1,,0.0005834396126172705,-3.524461793522878e-17,-2.9171980630863525e-06,1.7622308967614374e-20
1,0,4,0.5,0.0006895594317925579,0.0009534178438441288,3.481063080518928e-08,1,8,0.0,0.0,1,,4.978686253656632e-05,-1.5543034752818528e-17,-1.2446715634141578e-07,3.885758688204631e-21
1,0,5,-0.25,0.0009017890435330913,-0.0008439873668263078,1.5238676374836784e-06,1,8,0.0,0.0,1,,0.0002805738078289654,2.929751164775479e-06,3.507172597862068e-07,3.6621889559693483e-10
1,0,6,-0.5,-0.0002934224807384304,-0.0021919897436824378,1.8022788259613507e-06,1,9,0.0,0.0,1,,0.0007626983054928407,1.3845613997687285e-05,1.9067457637321014e-06,3.461403499421821e-09
1,0,7,-1.0,0.0004921341653420035,-0.007709281747896805,3.363161149096336e-05,1,9,0.0,0.0,1,,0.010174100922174549,0.0005244229898635825,5.087050461087274e-05,2.6221149493179123e-07
1,0,8,-1.5,-0.009127153923927083,-0.019234206712721576,5.107625803773915e-05,1,9,0.0,0.0,1,,0.023989935372433754,0.003108909848102683,0.0001799245152932531,2.3316823860770117e-06
1,0,9,-2.0,-0.022588090738443464,-0.03696647473597518,0.0001033689631902383,1,8,0.0,0.0,1,,0.04548123997143992,0.012602985253894642,0.0004548123997143991,1.2602985253894641e-05
1,0,10,-3.0,-0.07007531546109648,-0.07888880213393837,3.8838773666181036e-05,1,9,0.0,0.0,1,,0.026878385464289997,0.022708195269240516,0.0004031757819643505,3.406229290386073e-05
1,0,11,-4.0,-0.10539000769620259,-0.11458705486861236,4.229283834576422e-05,1,9,0.0,0.0,1,,0.01934060790311149,0.03464167517719453,0.00038681215806222964,6.928335035438913e-05
1,0,12,-5.0,-0.1370569911908219,-0.139755723422632,3.6415778295043348e-06,1,9,0.0,0.0,1,,0.0034588733746578294,0.010210467112287095,8.647183436644565e-05,2.55261677807177e-05
1,0,13,-6.5,-0.15897384798703867,-0.16166968064294998,3.6337568543371088e-06,1,8,0.0,0.0,1,,0.0015158122151471916,0.006750354385809828,4.9263896992283916e-05,2.1938651753882017e-05
1,0,14,-8.0,-0.17156627129280105,-0.17202159528275338,1.0365996791311432e-07,1,8,0.0,0.0,1,,0.00011206190515531764,0.0005557757400205585,4.482476206212647e-06,2.2231029600822203e-06
1,0,15,-10.0,-0.17997856012390168,-0.17769183726426188,2.6145507184032183e-06,1,8,0.0,0.0,1,,-0.00021702343014492695,-0.0009222810180826605,-1.0851171507246261e-05,-4.61140509041327e-06
1,0,16,-13.0,-0.17848607394505406,-0.18062026864017144,2.2773934983343073e-06,1,7,0.0,0.0,1,,8.61049641807116e-05,0.00013221367596461233,5.596822671746741e-06,8.593888937702092e-07
1,0,17,-17.0,-0.18133881155134438,-0.18242110748032178,5.856822389401425e-07,1,7,0.0,0.0,1,,2.9004361110154083e-05,-6.440857900339243e-06,2.465370694363358e-06,-5.474729215282091e-08
1,0,18,-22.0,-0.18481388821094127,-0.18402715463883007,3.0947485674406033e-07,1,6,7.325604773153015e-08,1.3481103011692142e-08,1,,-1.5382530658025513e-05,1.455963482610822e-05,-1.6920783723826155e-06,1.6015598308714348e-07
1,0,19,-28.0,-0.18817824278287687,-0.18560178928813548,3.3190563052840706e-06,1,6,4.280458045667877e-08,7.944606722487535e-09,1,,-3.451791112319424e-05,6.972422337907684e-05,-4.832507557250594e-06,9.761391273073773e-07
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
2,0,1,3.0,-0.002908532692799996,0.005548062360193743,3.575699994515916e-05,1,5,2.72123290518294e-09,1.5097569895650143e-11,1,,0.009418432208709181,-1.8815224165175896e-18,-0.00014074923840228648,2.821607302531304e-21
