evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.0020827811436939327,-0.0030582615656138154,4.757810267744974e-07,1,9,0.0,0.0,1,,4.7238953075931136e-07,3.212662983621456e-07,4.385769665061425e-06,-1.5133699980303236e-06
1,0,1,-2.0,-0.02768356645375934,-0.027819355804052218,9.219373826492848e-09,1,9,0.0,0.0,1,,4.1500981204451525e-09,2.631508970311543e-06,9.396072080418141e-06,-1.5173233048574876e-06
1,0,2,-3.0,-0.06832607410743707,-0.07555511445500962,2.612951217341259e-05,1,9,0.0,0.0,1,,-0.00019402995964380612,0.0005091019504490106,0.0009063430830316532,-0.00012405045474243935
1,0,3,-4.0,-0.107826697007916,-0.11410872929367338,1.9731964819649414e-05,1,8,0.0,0.0,1,,-0.0004033233199839227,0.0006328040953781183,0.0005622659386760702,-0.00012082846359096834
1,0,4,-5.0,-0.13557975487184398,-0.13914818254647854,6.366838034549584e-06,1,8,0.0,0.0,1,,-0.00030736409321724617,0.0003833774938127026,0.0001556649732713127,-7.432921461174192e-05
1,0,5,-6.0,-0.1541978920627831,-0.15456712215055052,6.81654288565054e-08,1,8,0.0,0.0,1,,-3.7023261764120024e-05,4.041137357470817e-05,3.6944066795219675e-06,-8.397925059850862e-06
1,0,6,-7.0,-0.16327390457530078,-0.16384417664594506,1.6260511727825087e-07,1,8,0.0,0.0,1,,-5.8673880647181974e-05,6.003825518497544e-05,-3.921760499742187e-06,-1.3129245693026997e-05
1,0,7,-8.0,-0.17124174973306297,-0.16934500247063525,1.7988250887634246e-06,1,8,0.0,0.0,1,,0.00020045089323282372,-0.00019844219951153266,3.064332150152289e-05,4.467603382733826e-05
1,0,8,-9.0,-0.1745010496345606,-0.17260209268974758,1.803018739128736e-06,1,8,0.0,0.0,1,,0.00020388481046332404,-0.00019927373002723325,3.9032141247265276e-05,4.535316048990238e-05
1,0,9,-10.0,-0.18063497036134904,-0.17457645006117475,1.835283411380675e-05,1,8,0.0,0.0,1,,0.0006513477725650131,-0.0006352019173169992,0.00013528425657796957,0.00014455869287684523
2,0,0,-1.0,-0.0020827811436939327,-0.0030495298125919564,4.673014944080516e-07,1,8,0.0,0.0,1,,4.500567107646377e-07,3.0821721015138404e-07,4.323336962775947e-06,-1.495704224103842e-06
2,0,1,-2.0,-0.02768356645375934,-0.027669207847291814,1.0308478984337341e-10,1,9,0.0,0.0,1,,1.233263069181954e-07,-3.4625995602095753e-07,-7.485323244890366e-07,1.5075731892497845e-07
2,0,2,-3.0,-0.06832607410743707,-0.07528306405865054,2.4199854590639384e-05,1,9,0.0,0.0,1,,-0.00018891410933346084,0.0004824840950950857,0.0008643594107140729,-0.00011890706288514084
2,0,3,-4.0,-0.107826697007916,-0.11388607412168081,1.8358025503408704e-05,1,8,0.0,0.0,1,,-0.0003890600799309676,0.0006040780836073158,0.0005389183158521425,-0.00011617608207222942
2,0,4,-5.0,-0.13557975487184398,-0.13900664151357123,5.871776027624983e-06,1,8,0.0,0.0,1,,-0.00029481218034277455,0.0003658615753587814,0.00014887691310698617,-7.121520086823759e-05
2,0,5,-6.0,-0.1541978920627831,-0.15448554264837244,4.137142969505327e-08,1,8,0.0,0.0,1,,-2.8802558819273776e-05,3.136458139485803e-05,2.872230326589726e-06,-6.530422380895286e-06
2,0,6,-7.0,-0.16327390457530078,-0.16379744035774535,1.3704485774973674e-07,1,8,0.0,0.0,1,,-5.5082173991733204e-05,5.619534325116885e-05,-4.0414993074619535e-06,-1.2313586811548017e-05
2,0,7,-8.0,-0.17124174973306297,-0.16931588537209666,1.8544767684199833e-06,1,8,0.0,0.0,1,,0.00020327615227354364,-0.00020109255995351904,3.106189808815245e-05,4.530056916555301e-05
