phi_applied,target_current_density,simulated_current_density
-1,-0.001950612355250416,-0.002891371274450896
-2,-0.02817036065758107,-0.02397443837794699
-3,-0.06810972414510592,-0.06825697849249011
-4,-0.1075108560589132,-0.1086596982194953
-5,-0.1353060930048016,-0.1366534860278847
-6.5,-0.1600213569215176,-0.1603194132087705
-8,-0.1690909416555833,-0.1711406854305303
-10,-0.1768863609127894,-0.1768853736012354
-13,-0.1794351058089441,-0.1799011677961941
-17,-0.1859818610262782,-0.1819341868556995
-22,-0.1843362347735441,-0.1837650394182274
-28,-0.1898856796273728,-0.1854633066037051
-35,-0.1834472154754039,-0.1870619670506589
-41,-0.1897294222235476,-0.1882397873918968
-46.5,-0.1865473215473971,-0.1892039240754891
