evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,2,2.0,0.001657204100358968,0.00048584341175275674,6.860429314060088e-07,1,5,4.3962050772956075e-07,2.1358672735180897e-10,1,,0.0,0.0,0.0,0.0
1,0,3,1.0,0.0020274093050267556,0.00031768064593243556,1.4615860438642036e-06,1,5,1.7516741162203688e-06,5.56473939465011e-10,1,,9.431690656940096e-09,-3.610505074265062e-10,-1.6805344547348913e-08,5.262860680298019e-08
1,0,4,0.5,0.0016963589498702508,0.00021504682085821537,1.0971428117790791e-06,1,6,1.8664653481750732e-06,4.013781885255519e-10,1,,6.373265279296691e-09,-6.968527846922728e-10,-3.050755193017602e-08,5.362165173038622e-08
1,0,5,-0.25,9.787808224577296e-05,-0.0002350151976675807,5.540896790573511e-08,1,8,0.0,0.0,1,,8.033910757788346e-10,1.4468408330824843e-09,3.46799489835248e-08,-2.6778007631839428e-08
1,0,6,-0.5,0.0008284357544344418,-0.000671138192407259,1.1243610110231989e-06,1,8,0.0,0.0,1,,4.174852798188321e-08,3.6525235082558736e-08,6.931104067829762e-07,-4.089826420401421e-07
1,0,7,-1.0,-0.0030451579556228492,-0.003058261599130999,8.585273659423238e-11,1,9,0.0,0.0,1,,0.0,0.0,0.0,0.0
1,0,8,-1.5,-0.009629032660950181,-0.010740524809772951,6.177073984473395e-07,1,9,0.0,0.0,1,,2.999612261326916e-06,3.6648340009929485e-06,2.8869675925915385e-05,-6.119861413479468e-06
1,0,9,-2.0,-0.02806388000465943,-0.027819358931902193,2.989527751121954e-08,1,9,0.0,0.0,1,,4.844370334882547e-08,-4.811153270005266e-06,-1.6914286546211954e-05,2.742007384117655e-06
1,0,10,-3.0,-0.07062632658911619,-0.07555513478456875,1.214657511377922e-05,1,9,0.0,0.0,1,,-0.00013246402974516222,0.00034734791815815543,0.000617917011933944,-8.459667868272726e-05
1,0,11,-4.0,-0.11374410566656826,-0.11410875359302419,6.648405513430666e-08,1,9,0.0,0.0,1,,-2.5232213922450702e-05,3.818143741822691e-05,3.0803199971142594e-05,-7.323637380582259e-06
1,0,12,-5.0,-0.13529687004182023,-0.13914815398070327,7.416193988951147e-06,1,8,0.0,0.0,1,,-0.00033151116257817937,0.00041347947628112697,0.00016809017423971494,-8.020768812702209e-05
1,0,13,-6.5,-0.16231323682892557,-0.15980233950254263,3.1523026918211976e-06,1,8,0.0,0.0,1,,0.0002526892690594664,-0.0002660877466501774,-2.0886704370343017e-06,5.687145834000142e-05
1,0,14,-8.0,-0.16981444188710207,-0.16934503649341553,1.1017071181092676e-07,1,8,0.0,0.0,1,,5.0696006491391873e-05,-5.016121747566005e-05,7.883959681974307e-06,1.1300985989576083e-05
1,0,15,-10.0,-0.1747685287527713,-0.1745764841627059,1.8440562286686085e-08,1,8,0.0,0.0,1,,2.128428495552912e-05,-2.0755494448594285e-05,4.43505903214141e-06,4.724446105730365e-06
1,0,16,-13.0,-0.17783755579113814,-0.17741650422560556,8.864221041876114e-08,1,7,0.0,0.0,1,,4.7223435936771475e-05,-4.6642482946271195e-05,1.02898576527251e-05,1.0385761143033561e-05
1,0,17,-17.0,-0.18027428486837335,-0.17934928760728616,4.2780996650988975e-07,1,6,2.1198050399705238e-06,3.801855237850482e-07,1,,0.0001037980525535029,-0.00010478128286747129,2.250597320220625e-05,2.2544485366269223e-05
1,0,18,-22.0,-0.1826748221490028,-0.18109533244358392,1.247393864761934e-06,1,5,3.130766435168032e-05,5.669849393541426e-06,1,,0.00017990188960983512,-0.00018563170918828458,3.858175791851216e-05,3.859341336399947e-05
1,0,19,-28.0,-0.18435711908892516,-0.18271500951322123,1.3482619293080427e-06,1,6,9.460056660158867e-07,1.728494342656539e-07,1,,0.00019129006286883093,-0.00020068508447709622,4.0619010274532214e-05,4.062388957955971e-05
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
2,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
2,0,2,2.0,0.001657204100358968,0.0004858446855328269,6.8604143935092e-07,1,5,5.120521188523795e-07,2.48777800660252e-10,1,,0.0,0.0,0.0,0.0
2,0,3,1.0,0.0020274093050267556,0.0003176735720262541,1.4615981383493536e-06,1,5,1.8397505355244813e-06,5.844411994832856e-10,1,,9.457472605968642e-09,-3.576382401495002e-10,-1.6785444924330613e-08,5.2594545995190934e-08
2,0,4,0.5,0.0016963589498702508,0.00021502910837547574,1.0971690496514623e-06,1,7,0.0,0.0,1,,6.493023335038982e-09,-7.522348932009657e-10,-3.045361454390948e-08,5.359720230770566e-08
2,0,5,-0.25,9.787808224577296e-05,-0.0002349150795615654,5.5375644272862556e-08,1,7,0.0,0.0,1,,7.742734718907564e-10,1.3780241223181889e-09,3.461933754727261e-08,-2.6737651808523784e-08
2,0,6,-0.5,0.0008284357544344418,-0.0006706848997026732,1.1236813678302467e-06,1,8,0.0,0.0,1,,3.962348914920604e-08,3.661015577449698e-08,6.906954298183855e-07,-4.0817566891337146e-07
