label,steric_a,Ny_mesh,beta_mesh,lambda_max,exponent_clip,conc_floor,dt,max_ss_steps,eta_steps,linesearch_type,l_ref,max_eta_hat,max_v_rhe,n_converged,n_attempted,elapsed_s,c_O2_final,c_HP_final,failure_mode
baseline_no_steric,0.0,300,3.0,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,85.3,0.003391,0.000045,none (reached target)
steric_a=0.01,0.01,300,3.0,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,150.1,0.003374,0.000045,none (reached target)
steric_a=0.05,0.05,300,3.0,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,124.0,0.003296,0.000045,none (reached target)
steric_a=0.10,0.1,300,3.0,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,133.3,0.003176,0.000046,none (reached target)
steric_a=0.20,0.2,300,3.0,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-1.3953,0.6591,6,200,12.1,1.281541,0.940191,"ConvergenceError at eta=-1.63: Nonlinear solve failed to converge after 8 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
mesh_Ny500_b3.5,0.05,500,3.5,0.5,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,238.7,0.003297,0.000045,none (reached target)
lambda_max=0.3_a=0.05,0.05,300,3.0,0.3,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,112.4,0.003296,0.000045,none (reached target)
lambda_max=0.2_a=0.05,0.05,300,3.0,0.2,50.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,76.4,0.003296,0.000045,none (reached target)
clip=30_a=0.05,0.05,300,3.0,0.5,30.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,121.6,0.018308,0.003377,none (reached target)
clip=20_a=0.05,0.05,300,3.0,0.5,20.0,1e-12,0.5,80,200,l2,0.0001,-46.5115,-0.5000,200,200,119.9,0.042002,0.050597,none (reached target)
dt=0.2_ss=150_a=0.05,0.05,300,3.0,0.5,50.0,1e-12,0.2,150,200,l2,0.0001,-46.5115,-0.5000,200,200,194.9,0.003297,0.000045,none (reached target)
steps=500_a=0.05,0.05,300,3.0,0.5,50.0,1e-12,0.5,80,500,l2,0.0001,-15.3488,0.3006,165,500,300.1,0.076309,0.158452,Timeout (300s) at eta=-15.35
steps=500_dt=0.2_a=0.10,0.1,300,3.0,0.5,50.0,1e-12,0.2,150,500,l2,0.0001,-5.1163,0.5635,55,500,302.0,0.327209,1.681707,Timeout (300s) at eta=-5.12
