eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.333569029308283846e-03,-2.336395861877973296e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.273704605997728022e-02,7.710014418295159936e-06,9.872735826197643894e-01,4.939440851247804964e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.793497234565431808e-02,-1.808859979461734449e-02,2.200000000000000000e+01,1.000000000000000000e+00,9.825210858897961974e-02,4.190095512734768181e-04,9.017546565205124542e-01,1.039968771566185168e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-5.447323233455372143e-02,-5.610884918847160174e-02,2.400000000000000000e+01,1.000000000000000000e+00,3.016059217972308915e-01,4.461045787334611858e-03,6.983978712133751543e-01,1.542964054165293364e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-9.045266761071166228e-02,-9.624586580601426911e-02,2.300000000000000000e+01,1.000000000000000000e+00,5.092089287324369495e-01,1.580059678551521893e-02,4.907897553292704940e-01,1.785952557855397860e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.147117506664480091e-01,-1.268615187603434613e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.588764436656712187e-01,3.313775572961087656e-02,3.411183523771994519e-01,1.820199229362284177e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.285305680427767105e-01,-1.476459143327031320e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.532546086883827874e-01,5.213594787547999598e-02,2.467485385656827956e-01,1.709361664061270547e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-1.359169298416258442e-01,-1.609448514199664226e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.096725070700309113e-01,6.826213844358182403e-02,1.903339153581918575e-01,1.507339673904341870e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-1.401009868119004464e-01,-1.691132828614604067e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.433631701739384701e-01,7.912927820643088361e-02,1.566417198898205632e-01,1.266757930277732980e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-1.428961763374989313e-01,-1.740014614051768049e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.643190906733242418e-01,8.483777883715462598e-02,1.356980322933300787e-01,1.029244999144761197e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451143569524422916e-01,-1.769108742461183159e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.783042908935027038e-01,8.672307281812134672e-02,1.217190365140345815e-01,8.183606060216696010e-01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.470733271337147929e-01,-1.786821996457180484e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.884784458899507298e-01,8.621128305464974273e-02,1.115402359362280410e-01,6.423134782232892137e-01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.488905394456326581e-01,-1.798219529048073750e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.965433901782403625e-01,8.436355456831559629e-02,1.034649931233108666e-01,5.004610961136873870e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-1.506116025434681427e-01,-1.806176430698868685e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.034076820901230098e-01,8.183965600766157644e-02,9.660011467595099044e-02,3.884000211732943630e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-1.522511898661548235e-01,-1.812243926486332979e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.095344297737683048e-01,7.902265369103216031e-02,9.047290403412756865e-02,3.008311959823413151e-01
-1.395344990804232310e+01,3.365000000000000213e-01,-1.538163156778847296e-01,-1.817231275358694442e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.151634846803096135e-01,7.611413710906518582e-02,8.484341996214955772e-02,2.327877063816742309e-01
-1.488367990191181178e+01,3.125999999999999890e-01,-1.553107110159538951e-01,-1.821557735863757743e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.204193732143096662e-01,7.321828031036439755e-02,7.958711544256381887e-02,1.800689840189846624e-01
-1.581390989578130046e+01,2.887000000000000122e-01,-1.567369033535307710e-01,-1.825445415899391577e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.253695674878823496e-01,7.038876834743518218e-02,7.463651301717780240e-02,1.392827095495492162e-01
-1.674413988965078914e+01,2.647999999999999798e-01,-1.580980452154852889e-01,-1.829017541674425040e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.300562750226752939e-01,6.765061210108995471e-02,6.995444480823651001e-02,1.077482402194891997e-01
-1.767436988352027782e+01,2.409000000000000030e-01,-1.593938082604539619e-01,-1.832346751879999347e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.344984120500668956e-01,6.502451886502440270e-02,6.551158945140728163e-02,8.337607703799072845e-02
-1.860459987738976650e+01,2.169999999999999707e-01,-1.606271491763443249e-01,-1.835478726881157874e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.387165017996006444e-01,6.251488349482620110e-02,6.129280226154569522e-02,6.453893066249469235e-02
-1.953482987125925163e+01,1.931000000000000494e-01,-1.617998522262010241e-01,-1.838444137428578151e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.427237760017992407e-01,6.012520478250017036e-02,5.728485236767065503e-02,4.997808980900383946e-02
-2.046505986512874031e+01,1.692000000000000171e-01,-1.629136682804929737e-01,-1.841264904079752684e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.465309887488286833e-01,5.785668603414574618e-02,5.347698322168187302e-02,3.872035530576353746e-02
-2.139528985899822899e+01,1.452999999999999847e-01,-1.639717406238060116e-01,-1.843957728050346356e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.501512683140908022e-01,5.570530928695834050e-02,4.986272171638670564e-02,3.001316449173026951e-02
-2.232551985286771767e+01,1.214000000000000634e-01,-1.649728188160603792e-01,-1.846536208726220762e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.535849133481216766e-01,5.367819419045914003e-02,4.642796060680486753e-02,2.327776685675265328e-02
