eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.334125307153840818e-03,-2.336953466423591710e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.274008410665480005e-02,7.713632912263160532e-06,9.872705666686648618e-01,4.940047328735807097e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.795340045188129757e-02,-1.810736828097860018e-02,2.200000000000000000e+01,1.000000000000000000e+00,9.835356003970995020e-02,4.199379174495022752e-04,9.016541623648194337e-01,1.040601427356246278e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-5.453485467443049128e-02,-5.617522201758910760e-02,2.400000000000000000e+01,1.000000000000000000e+00,3.019550208591984530e-01,4.474002458675134693e-03,6.980492503441275698e-01,1.544449712507139472e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-9.052700488866242956e-02,-9.633631636528952602e-02,2.300000000000000000e+01,1.000000000000000000e+00,5.096583775659460080e-01,1.584454478323887860e-02,4.903267719060289687e-01,1.788064808779964876e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.147695069512074534e-01,-1.269489625632937158e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.592724681001507214e-01,3.321872663526290875e-02,3.406889602824272334e-01,1.822541670668296643e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.285642328810058521e-01,-1.477172429819453014e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.535409720587892268e-01,5.223867363613251408e-02,2.464168643947582393e-01,1.711466445512471513e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-1.359325971987990489e-01,-1.609968031249993936e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.098569339618643115e-01,6.836110180213274268e-02,1.901040353367971780e-01,1.508904403106199110e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-1.401070838450388378e-01,-1.691481405254366688e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.434748716268778423e-01,7.920772108303308912e-02,1.564928465616511610e-01,1.267745631691419739e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-1.428981992664711820e-01,-1.740236522925020790e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.643851323889807370e-01,8.489278572060313111e-02,1.356061423892125639e-01,1.029787848203902234e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451149133883898046e-01,-1.769247068888402941e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.783435362330382912e-01,8.675928286704637227e-02,1.216642471902928679e-01,8.186263992919947663e-01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.470718581151720661e-01,-1.786909343402014738e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.884982625804975775e-01,8.623911306318841896e-02,1.115029881923627481e-01,6.424454365217504570e-01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.488905350664482263e-01,-1.798277268854347466e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.965591264163146334e-01,8.437931469430980103e-02,1.034456869927328770e-01,5.005116765041319749e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-1.506115832276166688e-01,-1.806217101049267804e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.034187219987609430e-01,8.185080128192678828e-02,9.658798984928755604e-02,3.884212453989741021e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-1.522511702597161010e-01,-1.812274431652045603e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.095426963973642920e-01,7.903102726537357403e-02,9.046478463737379905e-02,3.008403394963580224e-01
-1.395344990804232310e+01,3.365000000000000213e-01,-1.538162957010670850e-01,-1.817255361735268804e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.151699996079047938e-01,7.612076100777789844e-02,8.483761595115602017e-02,2.327918859501235394e-01
