V_RHE,method,z_factor_ss,ic_fallback,ic_picard_iters,F_norm_total,F_blk_u_O2,F_blk_u_H2O2,F_blk_u_H,F_blk_phi,rel_u_O2,rel_u_H2O2,rel_u_H,rel_phi,abs_u_O2,abs_u_H2O2,abs_u_H,abs_phi,inf_u_O2,inf_u_H2O2,inf_u_H,inf_phi,ic_norm_u_O2,ic_norm_u_H2O2,ic_norm_u_H,ic_norm_phi,ss_norm_u_O2,ss_norm_u_H2O2,ss_norm_u_H,ss_norm_phi
-0.7000,warm<--23.353,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,6.196085e-03,1.000000e+00,3.501396e-01,7.702535e-01,1.166184e+00,2.290397e+01,1.887891e+02,1.873331e+02,6.268745e+02,6.989142e-01,2.438630e+01,1.329239e+01,2.206414e+01,0.000000e+00,3.917373e+02,6.845316e+01,9.285957e+02,2.290397e+01,5.391824e+02,2.432097e+02,5.375434e+02
-0.6000,warm<--19.461,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,6.147483e-03,1.000000e+00,3.501336e-01,7.683975e-01,1.168021e+00,2.275523e+01,1.887854e+02,1.849804e+02,5.335474e+02,6.941492e-01,2.438266e+01,1.329422e+01,1.855723e+01,0.000000e+00,3.917373e+02,6.845316e+01,7.959391e+02,2.275523e+01,5.391811e+02,2.407353e+02,4.567962e+02
-0.5000,warm<--15.569,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,6.079522e-03,1.000000e+00,3.501274e-01,7.662151e-01,1.160084e+00,2.259629e+01,1.887817e+02,1.822932e+02,4.385468e+02,6.890576e-01,2.437887e+01,1.329593e+01,1.504925e+01,0.000000e+00,3.917373e+02,6.845316e+01,6.632826e+02,2.259629e+01,5.391798e+02,2.379139e+02,3.780303e+02
-0.4000,warm<--11.677,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,5.977943e-03,1.000000e+00,3.501210e-01,7.635634e-01,1.131658e+00,2.242272e+01,1.887777e+02,1.791338e+02,3.416480e+02,6.834995e-01,2.437492e+01,1.329742e+01,1.155214e+01,0.000000e+00,3.917373e+02,6.845316e+01,5.306261e+02,2.242272e+01,5.391785e+02,2.346024e+02,3.019003e+02
-0.3000,warm<--7.784,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,5.810070e-03,1.000000e+00,3.501144e-01,7.601755e-01,1.056340e+00,2.222569e+01,1.887737e+02,1.752464e+02,2.425886e+02,6.771993e-01,2.437079e+01,1.329850e+01,8.085941e+00,0.000000e+00,3.917373e+02,6.845316e+01,3.979696e+02,2.222569e+01,5.391772e+02,2.305341e+02,2.296501e+02
-0.2000,warm<--3.892,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,5.482014e-03,1.000000e+00,3.501080e-01,7.554812e-01,8.614644e-01,2.198318e+01,1.887699e+02,1.700888e+02,1.412817e+02,6.694826e-01,2.436669e+01,1.329823e+01,4.699746e+00,0.000000e+00,3.917373e+02,6.845316e+01,2.653130e+02,2.198318e+01,5.391761e+02,2.251397e+02,1.640017e+02
-0.1000,warm<-+0.000,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,4.598968e-03,1.000000e+00,3.501070e-01,7.482319e-01,3.793246e-01,2.162805e+01,1.887697e+02,1.625115e+02,4.216115e+01,6.583549e-01,2.436552e+01,1.328874e+01,1.551975e+00,0.000000e+00,3.917373e+02,6.845316e+01,1.326565e+02,2.162805e+01,5.391771e+02,2.171940e+02,1.111480e+02
0.0000,warm<-+1.946,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,9.745442e-20,1.000000e+00,3.501562e-01,7.367104e-01,1.000000e+00,2.098642e+01,1.888019e+02,1.512023e+02,8.039919e+01,6.399033e-01,2.439403e+01,1.320433e+01,3.304794e+00,0.000000e+00,3.917373e+02,6.845316e+01,0.000000e+00,2.098642e+01,5.391934e+02,2.052398e+02,8.039919e+01
0.0500,warm<-+3.892,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,1.195872e-02,1.000000e+00,3.502531e-01,7.292424e-01,1.819447e+00,2.050289e+01,1.888638e+02,1.443764e+02,1.345289e+02,6.313127e-01,2.445542e+01,1.305482e+01,4.871965e+00,0.000000e+00,3.917373e+02,6.845316e+01,6.632826e+01,2.050289e+01,5.392210e+02,1.979814e+02,7.393945e+01
0.1000,warm<-+7.784,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,6.316945e-02,1.000000e+00,3.504494e-01,7.207411e-01,2.675926e+00,1.994520e+01,1.889873e+02,1.372341e+02,1.908029e+02,6.388387e-01,2.459135e+01,1.275679e+01,6.481166e+00,0.000000e+00,3.917373e+02,6.845316e+01,1.326565e+02,1.994520e+01,5.392712e+02,1.904069e+02,7.130352e+01
0.2000,warm<-+11.677,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,6.938377e-01,1.000000e+00,3.512161e-01,6.972000e-01,4.398860e+00,1.876503e+01,1.894561e+02,1.209362e+02,3.064255e+02,8.424394e-01,2.522774e+01,1.161767e+01,9.773016e+00,0.000000e+00,3.917373e+02,6.845316e+01,2.653130e+02,1.876503e+01,5.394290e+02,1.734599e+02,6.966020e+01
0.3000,warm<-+15.569,1.0000,False,21,2.687381e+04,5.462021e+02,1.201585e+04,2.403170e+04,3.943058e-03,1.792869e+00,3.182137e-01,3.885920e-01,6.864133e-01,2.725360e+01,1.716828e+02,5.508483e+01,4.340717e+01,4.200280e+00,2.088586e+01,7.170568e+00,5.036423e+00,3.299459e+01,3.987653e+02,1.474291e+02,8.506888e+01,1.520111e+01,5.395204e+02,1.417549e+02,6.323765e+01
0.4000,warm<-+19.461,1.0000,False,21,3.066080e+03,3.066076e+03,2.581959e-01,4.878713e+00,5.779024e-03,3.441026e+00,2.978829e-01,7.929771e-01,7.072101e-01,4.538965e+01,1.606160e+02,9.223854e+01,4.683821e+01,7.412821e+00,1.841609e+01,1.487263e+01,7.461201e+00,5.843923e+01,4.059684e+02,1.925570e+02,1.095617e+02,1.319073e+01,5.391916e+02,1.163193e+02,6.622955e+01
0.5000,warm<-+23.353,1.0000,False,21,1.105911e+03,1.105905e+03,9.312888e-02,3.505017e+00,6.370100e-03,2.722513e+00,2.724042e-01,9.425332e-01,8.075084e-01,6.214038e+01,1.454784e+02,1.249370e+02,6.240553e+01,9.913736e+00,1.058030e+01,1.973958e+01,9.789960e+00,8.481577e+01,4.151832e+02,2.424282e+02,1.358032e+02,2.282464e+01,5.340534e+02,1.325545e+02,7.728158e+01
0.6000,cold,1.0000,False,21,3.100233e+03,3.100228e+03,2.610718e-01,5.696601e+00,7.059373e-03,2.242633e+00,2.542590e-01,1.014371e+00,8.614019e-01,7.749764e+01,1.327941e+02,1.553920e+02,7.727131e+01,1.216178e+01,7.343130e+00,2.416824e+01,1.195637e+01,1.118709e+02,4.262412e+02,2.947882e+02,1.628034e+02,3.455653e+01,5.222789e+02,1.531905e+02,8.970413e+01
0.7000,warm<-+23.353,1.0000,False,21,3.728415e+03,3.728411e+03,3.139714e-01,5.502069e+00,8.256468e-03,1.916792e+00,2.234489e-01,1.036087e+00,8.818440e-01,9.180560e+01,9.101820e+01,1.839229e+02,9.130144e+01,1.422917e+01,1.409732e+01,2.823630e+01,1.396656e+01,1.393949e+02,4.389279e+02,3.485832e+02,1.902475e+02,4.789544e+01,4.073335e+02,1.775169e+02,1.035347e+02
0.8000,warm<-+27.245,1.0000,False,21,3.536542e+03,3.536539e+03,2.978127e-01,4.304508e+00,9.862412e-03,1.683623e+00,2.577587e-01,1.030253e+00,8.816003e-01,1.052765e+02,1.052717e+02,2.110229e+02,1.045793e+02,1.615641e+01,1.615577e+01,3.209843e+01,1.584393e+01,1.672436e+02,4.531063e+02,4.033510e+02,2.180290e+02,6.252972e+01,4.084117e+02,2.048262e+02,1.186244e+02
0.9000,warm<-+31.137,1.0000,False,21,1.363419e+03,1.363412e+03,1.148091e-01,4.539745e+00,9.865822e-03,1.506667e+00,2.847090e-01,1.005895e+00,8.674343e-01,1.179070e+02,1.179072e+02,2.362599e+02,1.169362e+02,1.796875e+01,1.796878e+01,3.569677e+01,1.761028e+01,1.954309e+02,4.689352e+02,4.594825e+02,2.465621e+02,7.825680e+01,4.141323e+02,2.348753e+02,1.348069e+02
1.0000,warm<-+35.030,1.0000,False,21,3.041115e+03,3.041108e+03,2.560730e-01,6.743054e+00,1.004123e-02,1.369064e+00,3.088120e-01,9.747152e-01,8.477525e-01,1.299550e+02,1.299556e+02,2.604072e+02,1.288053e+02,1.968490e+01,1.968498e+01,3.910461e+01,1.928314e+01,2.239634e+02,4.861679e+02,5.164048e+02,2.753662e+02,9.492250e+01,4.208244e+02,2.671624e+02,1.519373e+02
