v_rhe,phi_hat,current_density,peroxide_current
1.250000,48.6522,3.56476061e-09,3.57047602e-09
1.125000,43.7870,-6.48142224e-10,8.37444928e-10
1.000000,38.9217,-4.28989166e-08,4.29039121e-08
0.875000,34.0565,-5.57114332e-06,5.57113147e-06
0.750000,29.1913,-6.81009186e-04,6.81004101e-04
0.625000,24.3261,-2.94046896e-02,2.94037976e-02
0.600000,23.3530,-4.93358098e-02,4.93340993e-02
0.545455,21.2300,-8.65316714e-02,8.65264122e-02
0.500000,19.4609,-1.10789956e-01,1.10779155e-01
0.490909,19.1070,-1.13926490e-01,1.13912636e-01
0.436364,16.9840,-1.13035613e-01,1.12796488e-01
0.381818,14.8610,-1.14436356e-01,1.11525943e-01
0.375000,14.5957,-1.15574540e-01,1.11666312e-01
0.327273,12.7380,-1.16380822e-01,8.14124727e-02
0.272727,10.6150,-1.29112151e-01,-1.97841497e-13
0.250000,9.7304,-1.37484608e-01,-5.78437746e-13
0.218182,8.4920,-1.46092058e-01,-2.62921811e-12
0.163636,6.3690,-1.55084538e-01,-3.61125994e-11
0.125000,4.8652,-1.59254373e-01,-2.33261929e-10
0.109091,4.2460,-1.61338080e-01,-5.01890003e-10
0.054545,2.1230,-1.68900017e-01,-6.92193419e-09
0.000000,0.0000,-1.73296789e-01,-9.69367796e-08
-0.100000,-3.8922,-1.77528800e-01,-1.24828698e-05
-0.125000,-4.8652,-1.78180303e-01,-4.21211764e-05
-0.180000,-7.0059,-1.79327125e-01,-6.07550122e-04
-0.250000,-9.7304,-1.80492535e-01,-1.45637740e-02
-0.260000,-10.1197,-1.80655435e-01,-2.11692886e-02
-0.340000,-13.2334,-1.81997452e-01,-1.17241504e-01
-0.375000,-14.5957,-1.82507873e-01,-1.49726803e-01
-0.420000,-16.3471,-1.83065706e-01,-1.70840290e-01
-0.500000,-19.4609,-1.83904766e-01,-1.81120087e-01
