v_rhe,phi_hat,current_density,peroxide_current
1.250000,48.6522,1.34024858e+00,1.34024858e+00
1.125000,43.7870,3.55577338e-02,3.55577338e-02
1.000000,38.9217,9.43371590e-04,9.43371590e-04
0.875000,34.0565,2.50283092e-05,2.50283092e-05
0.750000,29.1913,6.64018578e-07,6.64018578e-07
0.625000,24.3261,1.76168781e-08,1.76168781e-08
0.600000,23.3530,8.52469192e-09,8.52469192e-09
0.545455,21.2300,1.74928250e-09,1.74928250e-09
0.500000,19.4609,4.67388116e-10,4.67388116e-10
0.490909,19.1070,3.58955992e-10,3.58955992e-10
0.436364,16.9840,7.36583953e-11,7.36583953e-11
0.381818,14.8610,1.51143187e-11,1.51143187e-11
0.375000,14.5957,1.23993762e-11,1.23993762e-11
0.327273,12.7380,3.09389297e-12,3.09389297e-12
0.272727,10.6150,5.22054372e-13,5.22054372e-13
0.250000,9.7304,-1.22445263e-14,-1.22445263e-14
0.218182,8.4920,-7.73512660e-13,-7.73512660e-13
0.163636,6.3690,-2.11829967e-11,-2.11829967e-11
0.125000,4.8652,-1.65179898e-10,-1.65179898e-10
0.109091,4.2460,-3.49822093e-10,-3.49822093e-10
0.054545,2.1230,-2.36983956e-07,-2.36983879e-07
0.000000,0.0000,-2.29761626e-04,-2.29733056e-04
-0.100000,-3.8922,-1.30951928e-01,-1.21109231e-01
-0.125000,-4.8652,-1.54093932e-01,-1.38323548e-01
-0.180000,-7.0059,-1.74483094e-01,-1.52896737e-01
-0.250000,-9.7304,-1.80059868e-01,-1.61384752e-01
-0.260000,-10.1197,-1.80386731e-01,-1.62356372e-01
-0.340000,-13.2334,-1.82040617e-01,-1.68775316e-01
-0.375000,-14.5957,-1.82521927e-01,-1.70947698e-01
-0.420000,-16.3471,-1.83054540e-01,-1.73276794e-01
-0.500000,-19.4609,-1.83885736e-01,-1.76344018e-01
