v_rhe,current_density_mAcm2,peroxide_current_mAcm2
0.700000,-2.05689425e-02,2.05689137e-02
0.650000,-6.05095618e-02,6.05094418e-02
0.600000,-9.01532406e-02,9.01529300e-02
0.550000,-1.14266621e-01,1.14265947e-01
0.500000,-1.30409378e-01,1.30408111e-01
0.450000,-1.32928229e-01,1.32916297e-01
0.400000,-1.32898644e-01,1.32744418e-01
0.350000,-1.33997661e-01,1.32202690e-01
0.300000,-1.35606688e-01,1.17064475e-01
0.250000,-1.39723715e-01,3.36772852e-02
0.200000,-1.49827768e-01,-6.27613684e-13
0.150000,-1.56671875e-01,-6.97243497e-12
0.100000,-1.62887184e-01,-7.76180395e-11
0.050000,-1.69358737e-01,-8.62087249e-10
0.000000,-1.73296789e-01,-9.69369211e-09
-0.050000,-1.75829483e-01,-1.09776416e-07
-0.100000,-1.77528762e-01,-1.24851954e-06
-0.150000,-1.78741030e-01,-1.42333822e-05
-0.200000,-1.79674120e-01,-1.62142532e-04
-0.250000,-1.80449389e-01,-1.80364892e-03
-0.300000,-1.81167815e-01,-1.62011121e-02
-0.350000,-1.81949391e-01,-6.87402019e-02
-0.400000,-1.82717623e-01,-1.30983484e-01
-0.450000,-1.83355025e-01,-1.64917774e-01
-0.500000,-1.83892047e-01,-1.77382248e-01
