v_rhe,current_density_mAcm2,peroxide_current_mAcm2
0.700000,-9.76345762e-02,9.76345748e-02
0.650000,-1.22841181e-01,1.22841179e-01
0.600000,-1.32805175e-01,1.32805170e-01
0.550000,-1.38987005e-01,1.38986997e-01
0.500000,-1.42804867e-01,1.42804853e-01
0.450000,-1.44635324e-01,1.44635194e-01
0.400000,-1.45639709e-01,1.45638023e-01
0.350000,-1.47277901e-01,1.47258019e-01
0.300000,-1.49094334e-01,1.48865546e-01
0.250000,-1.51156315e-01,1.48631544e-01
0.200000,-1.53444290e-01,1.27063495e-01
0.150000,-1.56881684e-01,2.31028941e-02
0.100000,-1.62887184e-01,-7.76183055e-13
0.050000,-1.69358737e-01,-8.62087939e-12
0.000000,-1.73296789e-01,-9.69369450e-11
-0.050000,-1.75829483e-01,-1.09776616e-09
-0.100000,-1.77528758e-01,-1.24854518e-08
-0.150000,-1.78740983e-01,-1.42367005e-07
-0.200000,-1.79673577e-01,-1.62572828e-06
-0.250000,-1.80443356e-01,-1.85759806e-05
-0.300000,-1.81113800e-01,-2.11751380e-04
-0.350000,-1.81724895e-01,-2.33888624e-03
-0.400000,-1.82341497e-01,-1.99114485e-02
-0.450000,-1.83054391e-01,-7.63134795e-02
-0.500000,-1.83752471e-01,-1.36303301e-01
