d0,d1,success,time_s,failure_reason,failure_reason_short,nonlinear_iters,log_tail
0.01,0.2,True,0.892287499998929,,Unknown,,step 0
0.01,0.236674,True,1.006487874998129,,Unknown,,step 0
0.01,0.280072,True,1.1014202079968527,,Unknown,,step 0
0.01,0.331428,True,0.9116883749957196,,Unknown,,step 0
0.01,0.392202,True,0.9420697499954258,,Unknown,,step 0
0.01,0.464119,True,1.031056541003636,,Unknown,,step 0
0.01,0.549224,False,0.9254583330039168,"ConvergenceError: Nonlinear solve failed to converge after 16 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,16,step 0
0.01,0.649934,True,1.2117464580005617,,Unknown,,step 0
0.01,0.769111,True,1.2247267499988084,,Unknown,,step 0
0.01,0.910142,True,1.328845458003343,,Unknown,,step 0
0.01,1.0,False,0.959194708004361,"ConvergenceError: Nonlinear solve failed to converge after 25 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,25,step 0
0.01,1.061471,False,1.0051075420051347,"ConvergenceError: Nonlinear solve failed to converge after 30 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,30,step 0
0.01,1.077033,False,1.5142073329989216,"ConvergenceError: Nonlinear solve failed to converge after 80 nonlinear iterations.
Reason:
   DIVERGED_MAX_IT",DIVERGED_MAX_IT,80,step 0
0.01,1.12672,False,0.9722193339985097,"ConvergenceError: Nonlinear solve failed to converge after 26 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,26,step 0
0.01,1.19598,False,1.0389959169988288,"ConvergenceError: Nonlinear solve failed to converge after 29 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,29,step 0
0.01,1.269498,False,1.3074314999976195,"ConvergenceError: Nonlinear solve failed to converge after 80 nonlinear iterations.
Reason:
   DIVERGED_MAX_IT",DIVERGED_MAX_IT,80,step 0
0.01,1.274526,False,0.9961239170006593,"ConvergenceError: Nonlinear solve failed to converge after 28 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",DIVERGED_LINE_SEARCH,28,step 0
