phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002823517842217851,-0.002756520325440063,-0.002819451201137672,-0.002752682575766919
-2,-0.02305320466840268,-0.02284338516164399,-0.02280168364757939,-0.02259846283449661
-3,-0.06648225800875268,-0.06638387255037548,-0.06408144171047786,-0.06400614159780707
-4,-0.1072782403066796,-0.1073314092662761,-0.09958232622819777,-0.09966262976626764
-5,-0.1361146131989165,-0.1362343410488503,-0.121117997357992,-0.1212505090781249
-6.5,-0.1608336546671907,-0.1609524652508509,-0.1357339594135733,-0.1358415953674851
-8,-0.1721558309712194,-0.1722359954223006,-0.1416567297415814,-0.1417267253010735
-10,-0.1780352025311289,-0.1780751769524421,-0.1463470490184126,-0.1463860760803312
-13,-0.1809172833720393,-0.1809371424265108,-0.1519549925578369,-0.1519642692240115
-17,-0.1827120844859513,-0.1827272105049794,-0.1582049806277019,-0.1581865595780812
-22,-0.1842950101847231,-0.1843052508165628,-0.1643747095730307,-0.1643351536365926
-28,-0.1857832631608049,-0.185786799799538,-0.1697171091007695,-0.1696681948695379
-35,-0.1872514473846629,-0.1872519756723937,-0.1735608880924956,-0.1735160339520579
-41,-0.1884009515381368,-0.188400976937085,-0.175125341354615,-0.1750921503174784
-46.5,-0.189398364617174,-0.1893983111343337,-0.1754809377639227,-0.1754594757586479
