evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,8.125656081487133e-05,0.0026805206504855144,0.0015000000000000005,6.000000000000003e-05,0.6,0.48
2,7.57258584942007e-05,0.0014940897082042516,0.0015001290329947179,5.997138092811048e-05,0.6018384045539975,0.47806063624788564
3,7.273623007521778e-05,0.00037169618958288024,0.0014982150497396055,5.994290542219883e-05,0.6037964763308926,0.4751672585327855
4,7.23318443683034e-05,0.00035805071803464704,0.001495447159098477,5.994728696895505e-05,0.6038102618638364,0.4741311630754238
5,7.115545440600434e-05,0.0005629592647001496,0.0014827860778177852,5.9987091046529616e-05,0.6028343849493238,0.47063838005344594
6,6.981234217695192e-05,0.0006142594755872477,0.0014622937071177306,6.007705178812343e-05,0.600519915087825,0.46623414351287806
7,6.839016946966154e-05,0.00026449842161674613,0.0014317309649656835,6.034734933076954e-05,0.598933518223088,0.4638784785201265
8,6.775078850740717e-05,0.00021935949549856695,0.001409026825867512,6.0621429698545295e-05,0.5991915681465254,0.46414081279344066
9,6.727190339098854e-05,0.000454646343486075,0.001389677146319412,6.0905099152085455e-05,0.6007008418850968,0.46558433093843404
10,6.624180437172746e-05,0.0008187376027337598,0.0013481979046515533,6.156794638943316e-05,0.6055409708017112,0.4695178500693963
11,6.421760932174382e-05,0.001198529186248643,0.001267313388448997,6.296988160337812e-05,0.6171718522150799,0.4778744435769705
12,6.116016088668556e-05,0.0012716646384624366,0.0011481841777032924,6.528276521698658e-05,0.6377251364068665,0.49118937989559075
13,5.839452176706779e-05,0.00040520101826397746,0.0010396525736429646,6.684346596288844e-05,0.6577110987796689,0.5005324341439149
14,5.7781373379756036e-05,8.903193997650657e-05,0.0010342877189722835,6.689410029973961e-05,0.6630296505281789,0.5048755347914803
15,5.772419148371722e-05,3.718818186142558e-05,0.0010402093320175903,6.672377621620491e-05,0.6635743644360976,0.5057229679148058
16,5.7717541603736804e-05,3.878953195178513e-05,0.0010406693488764533,6.667093794763342e-05,0.6635691065139536,0.5057991395588581
17,5.7696718640975285e-05,4.605305946141514e-05,0.0010425114515668133,6.64600029660843e-05,0.6635480748253776,0.5061038261350677
18,5.755520423659189e-05,0.00014065800492940117,0.001044568480174292,6.495872349422958e-05,0.663727951229697,0.5075307473775224
19,5.727967912963641e-05,0.00017387200481908848,0.0010330784310488201,6.203517863289874e-05,0.6661454766446128,0.5121540469833659
20,5.68576009860094e-05,0.00014393268607309126,0.0009912913594475388,5.716765432749554e-05,0.6731302906215446,0.5219036219718318
21,5.664366290500833e-05,0.00010529575827298034,0.0009562164926885333,5.425431529398182e-05,0.67757493693252,0.5272950226849078
22,5.6823988209276516e-05,0.00011636894578875277,0.0008972596976261668,5.4159441119603696e-05,0.6906550511640877,0.5377861796367444
23,5.661457132793393e-05,5.664894531595806e-05,0.0009399580948859874,5.422873283575128e-05,0.6810996860561283,0.5301221154470167
24,5.658891403246719e-05,2.7517613931013857e-06,0.0009364081938260787,5.414367787351547e-05,0.680649072207329,0.5295696665176028
