evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,2000000000.0001407,2.828449691905917,0.0022066837558533596,8.237318011049655e-05,0.5163510644285852,0.3971130081729266
2,2000000000.0212283,3.0169929803644697,0.002155716451584946,8.229070092293672e-05,0.05,0.05
3,2000000000.000504,2.8246635262423747,0.0021957120719919617,8.23555800294492e-05,0.4168764765285734,0.32307238496765267
4,2000000000.0001583,2.8277079286180795,0.002204361504694298,8.236946190075457e-05,0.4953377399460921,0.38147243430231853
5,2000000000.0001423,2.828295756193183,0.002206192873971742,8.237239446048877e-05,0.51191107157891,0.3938082461773569
6,2000000000.0001411,2.828417289311835,0.0022065800225924107,8.237301410071463e-05,0.5154128865310074,0.3964147064490341
7,2000000000.0001411,2.828442851582868,0.002206661838219499,8.237314503517918e-05,0.5161528420043707,0.3969654678600493
8,2000000000.0001411,2.828448248009004,0.002206679128444843,8.237317270517094e-05,0.5163092144484975,0.3970818585228276
9,2000000000.0001407,2.828449388145833,0.002206682782307287,8.237317855251443e-05,0.51634225974884,0.39710645470043454
10,2000000000.000141,2.828448635639019,0.002206680370757395,8.23731746932677e-05,0.516320449850614,0.39709022122321397
11,2000000000.0001407,2.8284492297964476,0.002206682274857726,8.2373177740434e-05,0.5163376704104474,0.39710303877801795
12,2000000000.000141,2.828448837643162,0.002206681018151323,8.237317572930421e-05,0.5163263048409573,0.3970945791918473
13,2000000000.0001407,2.828449147596796,0.002206682011446255,8.237317731889209e-05,0.516335288135098,0.3971012656100638
14,2000000000.000141,2.8284489430353985,0.00220668135587155,8.237317626976405e-05,0.5163293591609651,0.3970968525740409
15,2000000000.0001407,2.8284491050299176,0.0022066818750513953,8.237317710061701e-05,0.5163340545891839,0.39710034746091477
16,2000000000.000141,2.8284489981141654,0.002206681532392683,8.237317655225412e-05,0.5163309556065595,0.39709804083557804
17,2000000000.0001407,2.8284490831082376,0.002206681804750879,8.237317698811376e-05,0.5163334187960232,0.39709987422928006
18,2000000000.000141,2.8284490270073417,0.0022066816249944675,8.237317670044635e-05,0.5163317930909772,0.39709866418943673
