phi_applied,flux_noisy
5,0.0003361149174732931
3,-0.002851158567591019
1,-0.00197403277334694
-0.5,0.0002415136072073814
-1,-0.008266834380070053
-2,-0.04393013532785578
-3,-0.08862251557556107
-4,-0.122350625980642
-5,-0.1367560965079319
-6.5,-0.1555932016290867
-8,-0.1528776173773903
-10,-0.1605082047918878
-11.5,-0.1646071150983955
-13,-0.1690366344975062
-15,-0.1722539525883557
-17,-0.1722801995403773
-20,-0.1784336333131042
-22,-0.1820565244174584
-28,-0.1760466641295843
-35,-0.176565332119038
-41,-0.1776653751496126
-46.5,-0.1770598533294643
