seed,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct
0,0.00113795558,4.96944893e-05,0.647575,0.519402,9.9119,5.5805,3.2815,3.8803
1,0.00123516179,5.92890625e-05,0.648656,0.514878,2.2164,12.6492,3.454,2.9756
2,0.00168788696,5.82802511e-05,0.567362,0.451727,33.6244,10.7325,9.5116,9.6546
4,0.00132900799,5.72269727e-05,0.607645,0.480984,5.2131,8.7312,3.0868,3.8033
5,0.00149292615,8.14702069e-05,0.591975,0.451287,18.19,54.7934,5.5862,9.7426
6,0.00124970758,4.79205108e-05,0.638296,0.516017,1.0648,8.951,1.8016,3.2034
8,0.00168755622,7.82712175e-05,0.602907,0.468752,33.5982,48.7153,3.8425,6.2495
10,0.00120245148,4.6775423e-05,0.636599,0.515519,4.8059,11.1267,1.5309,3.1038
11,0.000844244474,3.49994646e-05,0.705018,0.574116,33.164,33.501,12.4431,14.8233
12,0.00140762882,6.72708693e-05,0.571434,0.440443,11.4373,27.8147,8.8623,11.9114
13,0.00215599358,7.29878758e-05,0.491065,0.386332,70.6828,38.677,21.6802,22.7335
14,0.00173084907,7.46332661e-05,0.593106,0.4703,37.0256,41.8032,5.4058,5.94
15,0.00167230652,7.8345995e-05,0.520862,0.380079,32.3909,48.8574,16.9279,23.9842
16,0.00100048122,3.22080207e-05,0.667939,0.548036,20.7952,38.8048,6.5294,9.6073
17,0.000983431019,4.90215208e-05,0.747083,0.623205,22.145,6.8591,19.152,24.641
18,0.00159515601,5.58341297e-05,0.537436,0.422751,26.2832,6.0848,14.2845,15.4499
19,0.000890141632,3.60386599e-05,0.69906,0.56768,29.5305,31.5265,11.4928,13.536
