phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002699958622831422,-0.002037117351984403,-0.002696506491847303
-2,-0.02340628769495274,-0.02244783375383085,-0.02094170364994419,-0.02222314117658362
-3,-0.06477056956628323,-0.06573761058365882,-0.06333339791782359,-0.06349335050435355
-4,-0.1069978687145439,-0.1067295146202766,-0.1025324149083589,-0.09932856973009759
-5,-0.1375463225152408,-0.1357745518145483,-0.1190684518165829,-0.121055943118733
-6,-0.1535713093831789,-0.154353019421628,-0.131373497521937,-0.1322806764549531
-7,-0.1621867293734878,-0.165584822905267,-0.139417062760819,-0.1379166335124816
-8,-0.1696244956881482,-0.1721205538799763,-0.1403411774956293,-0.1411475606991915
-9,-0.1777534819190489,-0.1758608339584224,-0.143362447225946,-0.1434576034852052
-10,-0.1814173452222933,-0.1780325986301973,-0.1456811764319968,-0.1454125211351843
