phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002701001650814035,-0.002037117351984403,-0.002697547882260279
-2,-0.02340628769495274,-0.02245112865743999,-0.02094170364994419,-0.02222645458442676
-3,-0.06477056956628323,-0.0657390362751091,-0.06333339791782359,-0.06349522899001765
-4,-0.1069978687145439,-0.1067282835765261,-0.1025324149083589,-0.09932864367428232
-5,-0.1375463225152408,-0.1357724475749476,-0.1190684518165829,-0.1210554373717061
-6,-0.1535713093831789,-0.1543509255042732,-0.131373497521937,-0.132279438289292
-7,-0.1621867293734878,-0.1655831567123958,-0.139417062760819,-0.1379141941771323
-8,-0.1696244956881482,-0.1721193657036861,-0.1403411774956293,-0.1411437394372859
-9,-0.1777534819190489,-0.1758599585675421,-0.143362447225946,-0.1434521356925781
-10,-0.1814173452222933,-0.1780320358999125,-0.1456811764319968,-0.1454058442722977
