evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.00031722374119986987,0.010625037997752365,0.0007844424529156559,4.5880285758523514e-05,0.6297035587688262,0.5173645186018533
2,0.00022030277948627855,0.007671395745530888,0.0007902847469499655,4.568703886555259e-05,0.6377156428277168,0.5114524041046323
3,9.526483672525915e-05,0.001647148625232232,0.0008110601231409393,4.5243770288128706e-05,0.6603292522440267,0.4991495868967323
4,8.430873932045415e-05,0.0010361252965403098,0.0008220007543145311,4.519609690890422e-05,0.6675642862152553,0.4994438065030598
5,7.431442078528779e-05,0.0012584079877536933,0.0008395976272518281,4.5251549578976584e-05,0.6756099261071744,0.5047975687498012
6,5.7332496024280534e-05,0.001680921931756952,0.0008786297589415578,4.5506568132600326e-05,0.6890378218302776,0.5214647209073928
7,3.899339081214983e-05,0.0012106564923835858,0.0009339931402094092,4.596914738007026e-05,0.702060101208783,0.5491525912225173
8,3.383949592375962e-05,0.00010724359633673343,0.0009614686822398965,4.609763508887763e-05,0.7021471362448739,0.5628197738594742
9,3.3750286146651344e-05,7.989718983617878e-05,0.000960766087165391,4.606050458868324e-05,0.7009176219574446,0.5621659201767923
10,3.3653299114734024e-05,0.00012955324345068902,0.0009612001634442841,4.598620032012945e-05,0.6992518688222615,0.5611620710071474
11,3.344123912733429e-05,0.00022045205424509894,0.0009651384646154515,4.579388689371959e-05,0.6957876828014447,0.5591801063860992
12,3.2917928673685813e-05,0.00035432430203472735,0.0009804617897386633,4.5277809736550625e-05,0.6875929488797707,0.5549036353638522
13,3.18961466646776e-05,0.00047980526099885976,0.0010212226223802556,4.418047655218804e-05,0.6713990501637312,0.5471576739853063
14,3.057440486269748e-05,0.00044870144979760907,0.0010906861338351092,4.267844168701071e-05,0.6502269271451262,0.5378201577068629
15,2.964887876319862e-05,0.00022346652623530153,0.0011630770753788924,4.207200065067743e-05,0.6382392995882284,0.5346815517624918
16,2.9508339754931304e-05,2.0978615838288813e-05,0.0011676831791859485,4.199110006901193e-05,0.6361291114007045,0.5312765082169814
17,2.9502453751641156e-05,1.2564874173189967e-05,0.001164590154070627,4.208982095861087e-05,0.6374872051398006,0.5321854317818708
18,2.9497807596431392e-05,1.2000273239988314e-05,0.001164161243450934,4.216746952573893e-05,0.6377635486802166,0.5322189115430306
19,2.9440357475576436e-05,1.4997351241806282e-05,0.0011656925344847675,4.321980483283402e-05,0.6386697925583235,0.5304179779712972
20,2.938243802863022e-05,1.7614544477580905e-05,0.0011763059590444468,4.4555886095404716e-05,0.6367340621068495,0.5258525902625525
21,2.9336716162366316e-05,1.576106968533939e-05,0.0012009887669268476,4.5742570802946986e-05,0.6302954224281286,0.518641657865991
22,2.9340428744892603e-05,2.1477053925714562e-05,0.0011951470666838927,4.6317650021848804e-05,0.6306698447207897,0.5164666896813459
23,2.9331668127242924e-05,2.944663674626735e-06,0.0011984482317324303,4.599144391488194e-05,0.6304580330947789,0.5176970746149921
24,2.9330373933053377e-05,6.958406369318112e-07,0.0012008216067079913,4.591421651006413e-05,0.6296362552212235,0.517301788242064
