voltage,factor_0.5_total,factor_0.5_peroxide,factor_0.75_total,factor_0.75_peroxide,factor_1.0_total,factor_1.0_peroxide,factor_1.5_total,factor_1.5_peroxide,factor_2.0_total,factor_2.0_peroxide
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.0004489501486337658,-0.0004489501486337658,-0.00038385233772335174,-0.00038385233772335174,-0.0003281891352325227,-0.0003281891352325227,-0.00023989955047467988,-0.00023989955047467988,-0.00017535552018632005,-0.00017535552018632005
-0.5,0.000595386808669967,0.000595386808669967,0.0006427788873283562,0.0006427788873283562,0.0006938475670028616,0.0006938475670028616,0.0008081069299101459,0.0008081069299101459,0.0009405305284508225,0.0009405305284508225
-1.0,0.004001578579515145,0.004001578579515145,0.004541138303665234,0.004541138303665234,0.005139161398939574,0.005139161398939574,0.006524824483103104,0.006524824483103104,0.008184652067059373,0.008184652067059373
-2.0,nan,nan,nan,nan,nan,nan,0.1201802807408461,0.1201802807408461,0.1219815129189035,0.1219815129189035
-3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.0,nan,nan,nan,nan,nan,nan,nan,nan,0.1903113600026835,0.1903113600026835
-5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-46.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
