voltage,factor_0.5_total,factor_0.5_peroxide,factor_0.75_total,factor_0.75_peroxide,factor_1.0_total,factor_1.0_peroxide,factor_1.5_total,factor_1.5_peroxide,factor_2.0_total,factor_2.0_peroxide
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.0003281891352326902,-0.0003281891352326902,-0.0003281891352326064,-0.0003281891352326064,-0.0003281891352325227,-0.0003281891352325227,-0.0003281891352323552,-0.0003281891352323552,-0.0003281891352321878,-0.0003281891352321878
-0.5,0.000693771115347315,0.000693771115347315,0.000693809343390429,0.000693809343390429,0.0006938475670028616,0.0006938475670028616,0.0006939240009427498,0.0006939240009427498,0.0006940004171815392,0.0006940004171815392
-1.0,0.005136495960861399,0.005136495960861399,0.0051378292688868624,0.0051378292688868624,0.005139161398939574,0.005139161398939574,0.0051418221323026704,0.0051418221323026704,0.005144478175260704,0.005144478175260704
-2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.5,nan,nan,nan,nan,nan,nan,nan,nan,0.20506789272749704,0.20506789272749704
-8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-46.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
